001_00	Ha, Mim.
002_00	Revelación descendida por el Misericordioso, el Compasivo.
003_00	Un Libro cuyos signos son un claro discernimiento, que ha sido expresado en una Recitación árabe para gente que sabe.
004_00	Es portador de buenas noticias y advertidor, pero la mayoría de ellos se han apartado y no escuchan.
005_00	Y dicen: Nuestros corazones están cerrados a lo que nos llamas, en nuestros oídos hay sordera y entre nosotros y tú hay un velo, así pues, actúa en consecuencia, que nosotros también lo haremos.
006_00	Di: Yo sólo soy un ser humano como vosotros al que le ha sido inspirado que vuestro dios es un Único Dios, así pues dirigíos a Él sin desviaros y pedidle perdón.Y perdición para los que Le atribuyen asociados.
007_00	Los que no dan el zakat y son incrédulos con respecto a la Última Vida.
008_00	Realmente los que crean y practiquen las acciones de bien, tendrán una recompensa sin interrupción.
009_00	Di: ¿Cómo es que os negáis a creer en Aquel que creó la tierra en dos días y Le atribuís semejantes?Él es el Señor de los mundos.
010_00	Y puso sobre ella cordilleras, la bendijo y repartió con medida sus provisiones, en cuatro días completos, para los que lo quieran saber.
011_00	Luego dirigió (Su voluntad) al cielo, que era humo, y le dijo junto con la tierra: Venid a Mí de buen grado o a la fuerza; dijeron: Venimos a Ti obedientes.
012_00	Y en dos días lo culminó en siete cielos, a cada uno de los cuales Le inspiró su cometido.
012_01	Hemos embellecido el cielo de este mundo con lámparas y protección; ese es el decreto del Poderoso, el Conocedor.
013_00	Pero si se apartan, di: Os he advertido de caer fulminados como cayeron los Ad y los Zamud.
014_00	Cuando antes y después, les llegaron mensajeros diciendo: ¡Adorad únicamente a Allah!
014_01	Dijeron: Si nuestro Señor quisiera, haría bajar ángeles; así pues nosotros nos negamos a creer en aquello con lo que habéis sido enviados.
015_00	Los Ad fueron soberbios en la tierra sin razón, dijeron: ¿Quién tiene más poderío que nosotros?
015_01	¿Es que no veían que Allah, que los había creado, tenía más fuerza y poder que ellos?Negaron sistemáticamente Nuestros signos.
016_00	Entonces enviamos contra ellos un viento gélido a lo largo de días fatales para que probaran así el castigo
016_01	de la humillación en esta vida.Sin embargo el castigo de la Última será más humillante y nadie los auxiliará.
017_00	Y a los Zamud les dimos la guía, pero ellos prefirieron la ceguera a la guía y los sorprendimos con un castigo fulminante e infame a causa de lo que se habían buscado.
018_00	Y salvamos a los que creían y temían (a su Señor).
019_00	El día en que reunamos a los enemigos de Allah de cara al fuego, se les conducirá como al ganado.
020_00	Y cuando lleguen a él, sus oídos, vista y piel atestiguarán contra ellos por lo que hicieron.
021_00	Y le dirán a su piel: ¿Por qué das testimonio en nuestra contra? Dirá: Allah, que hace hablar a todas las cosas, es Quien nos hace hablar.Él os creó por primera vez y a Él tenéis que volver.
022_00	No os guardasteis de que vuestro oído, vuestra vista y vuestra piel iban a dar testimonio contra vosotros y pensasteis que Allah no sabría gran parte de lo que hacíais.
023_00	Y eso que pensasteis sobre vuestro Señor os ha llevado a la ruina y os habéis convertido en perdedores.
024_00	Y aunque tengan paciencia... el Fuego será el refugio para ellos.Y si piden disculpas no serán disculpados.
025_00	Les habíamos asignado compañeros inseparables que les embellecieron lo que tenían ante ellos y lo que había de venir, y así fue como la Palabra se hizo realidad en su contra, como ya ocurriera con las comunidades anteriores de genios y de hombres.
025_01	Fueron, en verdad, perdedores.
026_00	Y dicen los que se niegan a creer: no escuchéis esta Recitación, intentad desviar de ella la atención y puede que venzáis.
027_00	A los que se niegan a creer les haremos probar un durísimo castigo y les pagaremos por lo peor que hayan hecho.
028_00	Esa es la recompensa de los enemigos de Allah: el Fuego.En él tendrán la morada de la eternidad como recompensa por haber negado Nuestros signos.
029_00	Y dirán los que se negaron a creer: ¡Señor nuestro! Muéstranos a aquellos genios y hombres que nos extraviaron para que los pongamos bajo nuestros pies y queden entre los más bajos.
030_00	Realmente los que hayan dicho: Mi Señor es Allah y hayan sido rectos, los ángeles descenderán a ellos: No temáis ni os entristezcáis y alegraos con la buena nueva del Jardín que se os había prometido.
031_00	Somos vuestros protectores en esta vida y en la Última, allí tendréis lo que deseen vuestras almas y todo cuanto pidáis.
032_00	Hospedaje de un Perdonador, Compasivo.
033_00	¿Y qué mejor palabra que la de aquel que llama (a los demás) a Allah, obra con rectitud y dice: Yo soy de los musulmanes?
034_00	No son iguales la bondad y la maldad; responde con la mejor actitud y aquel con el que tenías enemistad será un amigo ardiente*.
035_00	Pero esto no lo consiguen sino los que tienen paciencia, no lo consigue sino el dotado de un suerte inmensa.
036_00	Y si te solivianta una tentación procedente del Shaytán, pide refugio en Allah; es cierto que Él es el que oye y el que sabe.
037_00	Entre Sus signos están la noche y el día, el sol y la luna.No os postréis ni ante el sol
037_01	ni ante la luna sino postraos ante Allah que es Quien los ha creado, si sólo a Él Lo adoráis.
038_00	Y si muestran soberbia... aquéllos que están junto a tu Señor Lo glorifican noche y día y no se hastían.
039_00	Y entre Sus signos está cuando ves la tierra humillada y entonces hacemos que caiga agua sobre ella, con la que se estremece y
039_01	se hincha; realmente Aquel que le da vida es Quien dará vida a los muertos; es verdad que Él tiene poder sobre todas las cosas.
040_00	Es cierto que aquéllos que se apartan de Nuestros signos no se Nos ocultan.
040_01	¿Acaso alguien que va a ser arrojado al Fuego es mejor que quien se presente a salvo el Día del Levantamiento? Haced lo que queráis; Él ve lo que hacéis.
041_00	Es cierto que los que se han negado a creer en el Recuerdo cuando les ha llegado...Es un Libro sin igual.
042_00	Al que no le afecta la falsedad por ningún lado. Y es una Revelación cuyo descenso procede de uno que es Sabio, y en Sí mismo Alabado.
043_00	No se te ha dicho sino lo que se dijo a los mensajeros anteriores a ti, realmente tu Señor es Poseedor de perdón, pero también de un doloroso castigo.
044_00	Y si hubiéramos hecho que fuera una Recitación en lengua no árabe, habrían dicho: ¿Por qué no se han expresado con claridad sus signos (aleyas)?¿No es árabe siendo él árabe*?
044_01	Di: Para los que creen es una guía y una cura, pero los que no creen tienen sordera en sus oídos y es una ceguera para ellos, es como si los llamaran desde muy lejos.
045_00	Y en verdad le dimos a Musa el Libro y hubo diferencias sobre él. De no haber sido por una palabra previa de tu Señor se habría decidido entre ellos, que dudaban de él con desconfianza.
046_00	Quien obre con rectitud lo hará en su propio bien, y quien obre mal lo hará en contra de sí mismo; tu Señor no es injusto con los siervos.
047_00	A Él se remite el conocimiento de la Hora.
047_01	No hay fruto que salga de su envoltura, ni hembra que quede preñada ni que dé a luz, que no sea con Su conocimiento.El día en que se les llame: ¿Dónde están los que asociabais conmigo? Dirán: Te anunciamos que no tenemos ningún testigo.
048_00	Se les habrá extraviado aquello que antes invocaban y sabrán con certeza que no habrá escapatoria para ellos.
049_00	El hombre no se cansa de pedir lo bueno, pero si el mal le toca se queda abatido, desesperado.
050_00	Y si después del daño que le tocó le hacemos probar una misericordia de Nuestra parte, dice: Esto es cosa mía, no creo que la Hora vaya a llegar y aún en el caso de
050_01	que volviera a mi Señor, sin duda que tendría junto a Él lo más hermoso.Les haremos saber a los que se negaron a creer lo que hicieron y les haremos gustar parte de un duro castigo.
051_00	Y cuando favorecemos al hombre, éste se desentiende y se aleja con arrogancia, pero cuando le toca algún daño se vuelve muy suplicante.
052_00	Di: ¿Que me diríais si procediera* de junto a Allah y vosotros os hubierais negado a creer en él?¿Quién está más extraviado que quien se encuentra en una profunda oposición?
053_00	Les haremos ver Nuestros signos en el horizonte y en ellos mismos hasta que se les haga evidente que es la verdad. ¿Es que no basta con que tu Señor es Testigo de todas las cosas?
054_00	¿Acaso no ponen en duda el encuentro con su Señor?¿Y no rodea Él todas las cosas?
