001_00	Qaf. ¡Por la gloriosa Recitación!
002_00	Mas se sorprenden de que les haya llegado un advertidor que es uno de ellos.Y dicen los que se niegan a creer. Es una cosa increíble.
003_00	¿Acaso cuando hayamos muerto y seamos tierra...? Ese retorno es muy remoto.
004_00	Sabemos lo que la tierra consumirá de ellos y junto a Nos hay un libro protegido.
005_00	Sin embargo cuando la verdad ha venido a ellos la han negado y están en absoluta confusión.
006_00	¿Es que no ven sobre ellos el cielo, cómo lo hemos edificado y embellecido, sin que haya en él ninguna grieta?
007_00	¿Y la tierra cómo la hemos extendido y cómo hemos puesto en ella cordilleras y hemos hecho crecer toda clase de espléndidas especies?
008_00	Que son una evidencia y un recuerdo para todo siervo que sólo se mire en su Señor.
009_00	Y hacemos que del cielo caiga agua bendita con la que hacemos brotar jardines y las semillas que cosechan.
010_00	Y esbeltas palmeras de apretados brotes.
011_00	Como provisión para los siervos.Y con ella devolvemos la vida a una tierra muerta.Así será el resurgir.
012_00	Antes de ellos ya negaron la verdad la gente de Nuh, los Dueños del Pozo* y los Zamud.
013_00	Así como los Ad, Firaún y los hermanos de Lut.
014_00	Y también los Dueños de la Espesura* y la gente de Tubba*. Todos negaron a los mensajeros y hubo de cumplirse Mi amenaza.
015_00	¿Acaso no fuimos capaces de crear la primera vez?Al contrario; sin embargo ellos hablan con asombro de una nueva creación.
016_00	Hemos creado al hombre y sabemos lo que su alma le susurra. Estamos más cerca de él que su propia vena yugular.
017_00	Cuando los ángeles que se ocupan de él escriben, sentados a su derecha y a su izquierda.
018_00	No hay nada que diga sin que tenga a su lado, presente, un vigilante.
019_00	Y vendrá la embriaguez de la muerte con la verdad.Eso es de lo que huíais.
020_00	Y se soplará en el cuerno. Ese es el día prometido.
021_00	Cada alma vendrá acompañada de uno que la conducirá y de un testigo.
022_00	Habías estado descuidado de esto y ahora te hemos quitado el velo de manera que tu vista, hoy, es aguda.
023_00	Y dirá su acompañante: Lo que me incumbe está dispuesto.
024_00	Que todo desagradecido rebelde sea arrojado a Yahannam;
025_00	ése que no se desprende de los bienes, transgrede y está en duda.
026_00	Y pone junto a Allah a otro dios. Arrójalo al castigo inmenso.
027_00	Dirá su acompañante: Señor nuestro no fui yo quien lo extravió, sino que él estaba en un profundo extravío.
028_00	Dirá: No discutáis ante Mí, pues realmente os advertí por anticipado.
029_00	Y la palabra que doy no cambia ni soy injusto con los siervos.
030_00	El día en que Él le diga a Yahannam: ¿Estás lleno? Y éste responda: ¿Hay más?
031_00	Y el Jardín sea acercado a los temerosos, nada lejos.
032_00	Esto es lo que se prometió a todo el que de vosotros se volviera (a Allah) y fuera cumplidor,
033_00	temiera al Misericordioso sin verlo* y se presentara con un corazón obediente.
034_00	¡Entrad en él a salvo! Este es el Día de la Eternidad.
035_00	Allí tendrán lo que quieran y más aún junto a Nos.
036_00	¿A cuántas generaciones anteriores a ellos hemos destruido?Tenían mayor poderío que ellos y recorrieron el país intentando huir. ¿Pero hay alguna escapatoria?
037_00	Realmente en esto hay un recuerdo para el que tenga corazón o escuche estando presente.
038_00	Y es cierto que creamos los cielos, la tierra y lo que entre ambos hay, en seis días sin que Nos afectara fatiga alguna.
039_00	Así pues, ten paciencia con lo que dicen y glorifica a tu Señor con Su alabanza antes de que salga el sol y antes del ocaso.
040_00	Y glorifícalo parte de la noche y después de la postración.*
041_00	Y ten presente el día en que el anunciador llamará desde un lugar cercano.
042_00	El día en que oigan el grito con la verdad, así será el Día del Resurgir.
043_00	Nosotros somos Quienes damos la vida y Quienes damos la muerte y a Nosotros es el retorno.
044_00	El día en que la tierra se les abra, acudirán veloces.Será fácil para Nosotros reunirlos.
045_00	Nosotros sabemos mejor lo que dicen.Tú no tienes poder de coacción sobre ellos, así pues llama con el Corán al recuerdo, a quien tema Mi amenaza.
