001_00	¡Hombres!
001_01	Temed a vuestro Señor que os creó a partir de un solo ser, creando de él a su pareja y generando a partir de ambos muchos hombres y mujeres.Y temed a Allah, por Quien os pedís unos a otros*, y respetad los lazos de sangre. Realmente Allah os está observando.
002_00	Dad a los huérfanos* los bienes que sean suyos y no pongáis lo malo en lugar de lo bueno.No os aprovechéis de sus bienes juntándolos a los vuestros, porque eso sería una grave injusticia.
003_00	Y si teméis no ser justos con los huérfanos*...
003_01	Casaos entonces, de entre las mujeres que sean buenas* para vosotros, con dos, tres o cuatro; pero si os teméis no ser equitativos... entonces con una sóla o las que posea vuestra diestra.Esto se acerca más a que no os apartéis de la equidad.
004_00	Dad a las mujeres la dote correspondiente de buen grado, pero si renuncian voluntariamente a parte de ella en vuestro favor, disfrutadlo con provecho.
005_00	No deis a los incapaces la riqueza que Allah ha dispuesto para vuestro mantenimiento. Alimentadlos con ella, vestidlos y habladles con palabras convenientes.
006_00	Examinad a los huérfanos y cuando hayan alcanzado la edad del matrimonio, si encontráis en ellos sensatez y rectitud, entregadles sus bienes.
006_01	No los malgastéis incurriendo en delito y adelantándoos a que se hagan mayores.Él que sea rico que se abstenga de ellos, y
006_02	el pobre que gaste según lo reconocido.Y cuando les entreguéis sus bienes, pedidles que lo testifiquen.Allah basta para tomar cuenta (de las acciones).
007_00	A los hombres les pertenece una parte de lo que dejen los padres y los parientes, y a las mujeres les pertenece una parte de lo que dejen los padres y los parientes sea poco o mucho.
007_01	Es una parte preceptiva.
008_00	Y si en la partición están presentes parientes, huérfanos y pobres, dadles algo de ello como sustento y habladles con palabras convenientes.
009_00	Y que tengan* el mismo cuidado que tendrían si fueran a dejar tras de sí una descendencia débil*. Que teman a Allah y digan palabras acertadas.
010_00	Es cierto que quienes se coman los bienes de los huérfanos injustamente, estarán llenando sus vientres de fuego y entrarán en un Fuego abrasador.
011_00	Allah os prescribe acerca de (la herencia de) vuestros hijos: al varón le corresponde la misma parte que a dos hembras.Si éstas son dos o más mujeres, les corresponde dos tercios de lo
011_01	que se deje, y si es una sola le corresponde la mitad. Y a los padres les corresponde, a cada uno de ellos, un sexto de lo que deje si tiene algún hijo;
011_02	pero si no tiene ninguno y son sus padres los herederos, entonces a su madre le corresponderá un tercio.Y si tiene hermanos, a su madre le corresponde un sexto, una vez se hayan
011_03	descontado los legados que deje* o las deudas.Vuestros padres y vuestros hijos, no sabéis cual de ellos os beneficia más de cerca.Es un precepto de Allah*, es cierto que Allah es Conocedor y Sabio.
012_00	Y a vosotros os corresponde la mitad de lo que dejen vuestras esposas, si no tuvieran hijos; pero si los tuvieran, entonces os corresponde un cuarto
