001_00	Habrán triunfado los creyentes.
002_00	Aquéllos que en su salat están presentes y se humillan.
003_00	Los que de la frivolidad se apartan.
004_00	Los que hacen efectivo el zakat.
005_00	Y preservan sus partes privadas,
006_00	excepto con sus esposas o las que poseeen sus diestras, en cuyo caso no son censurables.
007_00	Pero quien busque algo más allá de eso... Esos son los transgresores.
008_00	Y aquéllos que con lo que se les confía y de sus compromisos son cumplidores.
009_00	Y los que cumplen sus oraciones*.
010_00	Ellos son los herederos,
011_00	que heredarán el Firdaus, donde serán inmortales.
012_00	En verdad creamos al hombre de una esencia extraída del barro.
013_00	Luego hicimos que fuera una gota de esperma dentro de un receptáculo seguro.
014_00	Luego transformamos la gota de esperma creando un coágulo de sangre y el coágulo de sangre creando un trozo de carne y
014_01	el trozo de carne en huesos que revestimos de carne haciendo de ello otra criatura.Bendito sea Allah, el mejor de los creadores.
015_00	Y luego, después de eso, tendréis que morir.
016_00	Después, el Día del Levantamiento, seréis devueltos a la vida.
017_00	Y hemos creado por encima de vosotros siete vías.No estamos descuidados de la Creación.
018_00	Hacemos que caiga agua del cielo en una determinada cantidad y la asentamos en la tierra, pero es cierto que tenemos poder como para llevárnosla.
019_00	Y por medio de ella originamos para vosotros jardines de palmeras y vides de los que obtenéis muchos frutos y de los que coméis.
020_00	Y un árbol que crece en el monte Sinaí que produce grasa y aderezo para disfrute de los que lo comen.
021_00	Y por cierto que en los animales de rebaño tenéis una lección: Os damos de beber de lo que hay en sus vientres y de ellos obtenéis muchos beneficios. De ellos coméis.
022_00	Y ellos y las naves os sirven de transporte.
023_00	Enviamos a Nuh a su gente y dijo: Gente mía, adorad a Allah, no tenéis otro dios que Él. ¿No vais a temerle?
024_00	Y dijeron los magnates, que eran los que de su pueblo se habían negado a creer: No es más que un hombre como
024_01	vosotros que busca la supremacía entre vosotros, si Allah hubiera querido habría hecho bajar ángeles.No habíamos oído nada de esto a nuestros primeros padres.
025_00	No es más que un hombre poseso, dadle un tiempo de espera.
026_00	Dijo: ¡Señor mío, ayúdame ya que me tratan de mentiroso!
027_00	Entonces le inspiramos: Construye una nave bajo Nuestra mirada e inspiración.
027_01	Cuando Nuestra orden llegue y el horno se inunde*, embarca en ella a dos ejemplares de cada especie y a tu gente, con la excepción de aquel contra el que se haya decretado una palabra previa.Y no Me hables en favor de los injustos, pues en verdad han de perecer ahogados.
028_00	Cuando tú y quienes están contigo hayáis subido en la nave, di: Las alabanzas a Allah que nos ha salvado de la gente injusta.
029_00	Y di: ¡Señor mío! Haz que arribe a un lugar bendito.Tú eres el mejor en hacer llegar a buen término.
030_00	Es cierto que en eso hay signos. No hicimos sino ponerlos a prueba.
031_00	Luego, una vez pasaron, originamos otra generación.
032_00	Y les enviamos un mensajero que era uno de ellos: Adorad a Allah, no tenéis otro dios que Él.¿No vais a temerle?
033_00	Dijeron los magnates, que eran los que de su gente no creían y negaban la veracidad del encuentro de la Última Vida y a quienes habíamos
033_01	dado una vida regalada en este mundo: ¿Quién es éste sino un humano como vosotros que come de lo que coméis y bebe de lo que bebéis?
034_00	Si obedecéis a un hombre que es como vosotros, estáis perdidos.
035_00	Os asegura que cuando estéis muertos y seáis tierra y huesos se os hará salir (de las tumbas).
036_00	Qué lejos, qué remoto es lo que os asegura.
037_00	Sólo existe esta vida nuestra de aquí, vivimos y morimos y no seremos devueltos a la vida.
038_00	No es mas que un hombre que ha inventado una mentira sobre Allah, nosotros no le creemos.
039_00	Dijo: ¡Señor mío! Auxíliame ya que me tratan de mentiroso.
040_00	Dijo: Pronto os arrepentiréis.
041_00	El grito de la verdad los agarró y los dejamos convertidos en despojos. ¡Fuera con la gente injusta!
042_00	Después, una vez pasaron, originamos otras generaciones.
043_00	Ninguna comunidad puede adelantar o atrasar su plazo.
044_00	Luego fuimos enviando sucesivamente a Nuestros mensajeros.
044_01	Cada vez que uno de los mensajeros llegaba a una comunidad era tachado de mentiroso.Fueron pasando unas tras otras y las convertimos en casos ejemplares. ¡Fuera con una gente que no cree!
045_00	Después enviamos a Musa y a su hermano Harún con Nuestros signos y un poder visible;
046_00	a Firaún y su corte, pero ellos se llenaron de soberbia y fueron altivos.
047_00	Dijeron: ¿Cómo vamos a creer en dos seres humanos como nosotros cuyo pueblo es esclavo nuestro?
048_00	Negaron la verdad que decían y fueron destruídos.
049_00	Y le dimos el Libro a Musa para que pudieran guiarse.
050_00	E hicimos del hijo de Maryam y de su madre un signo. A ambos les dimos cobijo en una colina fértil con agua corriente.
051_00	Mensajeros, comed de las cosas buenas y obrad con rectitud que Yo sé lo que hacéis.
052_00	Y realmente vuestra comunidad es una única comunidad y Yo soy vuestro Señor, por lo tanto tened temor de Mí.
053_00	Pero fragmentaron lo que tenían, en escrituras. Y cada facción quedó contenta con lo suyo.
054_00	Déjalos en su confusión hasta un tiempo.
055_00	¿Acaso creen que esas riquezas e hijos que con tanta largueza les concedemos...
056_00	Son porque Somos solícitos con ellos en darles bienes?Por el contrario no se dan cuenta.
057_00	En verdad los que están estremecidos por temor de su Señor,
058_00	ésos que creen en los signos de su Señor,
059_00	y que no asocian a otros con su Señor;
060_00	los que dan de lo que se les da y sienten temor en su corazón porque saben que han de retornar a su Señor.
061_00	Esos son los que se apresuran en hacer el bien y son los primeros en ello.
062_00	No obligamos a nadie sino en la medida de su capacidad.Junto a Nos hay un Libro que dice la verdad y ellos no sufrirán ninguna injusticia.
