001_00	Ha, Mim.
002_00	Descenso del Libro procedente del Poderoso, el Sabio.
003_00	En los cielos y en la tierra hay signos para los creyentes.
004_00	Y en vuestra propia creación y en la de las criaturas que ha repartido, hay signos para gente que tenga certeza.
005_00	Y en la sucesión de la noche y el día, en la provisión que Allah hace bajar del cielo con la que Le da vida a la tierra después de muerta y en el cambio de los vientos, hay signos para gente que razona.
006_00	Esos son los signos de Allah que te recitamos con la verdad.¿En qué relato más allá de Allah y de Sus signos creerán?
007_00	¡Perdición para todo embustero y malvado!
008_00	Que oye los signos de Allah cuando se le recitan y, sin embargo, persiste y se llena de soberbia como si no los hubiera oído. Anúnciale un castigo doloroso.
009_00	Y cuando llegan a su conocimiento Nuestros signos los toma a burla. Esos tendrán un castigo infame.
010_00	Detrás de ellos tienen Yahannam. No les servirá de nada lo que lograron, ni los protectores que tomaron fuera de Allah.Tendrán un castigo inmenso.
011_00	Esto es una guía; y los que se nieguen a creer en los signos de su Señor tendrán el castigo de un tormento doloroso.
012_00	Allah es Quien os ha sometido el mar para que la nave navegara en él por mandato Suyo y buscarais parte de Su favor.Tal vez así fuerais agradecidos.
013_00	Y os ha subordinado lo que hay en los cielos y en la tierra, todo gracias a Él.Realmente en eso hay signos para la gente que reflexiona.
014_00	Di a los que creen que perdonen a aquéllos que no esperan los días de Allah; para que Él recompense a una gente por lo que adquirió.
015_00	Quien obre con rectitud lo hará para sí mismo y quien obre mal lo hará contra si mismo, luego regresaréis a vuestro Señor.
016_00	Y a los hijos de Israel les dimos el Libro, el Juicio y la Profecía, les dimos cosas buenas como provisión y los preferimos por encima de los mundos.
017_00	Y les dimos pruebas claras de lo que debían asumir.
017_01	No hubo diferencias entre ellos sino después de haberles llegado el conocimiento, a causa de envidias mutuas.Tu Señor juzgará entre ellos el Día del Levantamiento sobre lo que discreparon.
018_00	Luego a ti, dentro de la misma vía, te hemos dado un camino ya trazado*. Síguelo, y no sigas los deseos de los que no saben.
019_00	Ellos no te van a servir de nada ante Allah. Es cierto que los injustos son amigos unos de otros, pero Allah es el Amigo de los que Le temen.
020_00	Esto son evidencias para los hombres y una guía y misericordia para la gente que tiene certeza.
021_00	¿O es que piensan los que tienen en su haber malas acciones que los consideraremos como a los que creyeron y practicaron las acciones de bien, y que su vida y su muerte serán iguales? ¡Malo es lo que juzgan!
022_00	Allah creó los cielos y la tierra con la verdad.Y para recompensar a cada alma por lo que adquirió sin ser tratada injustamente.
023_00	¿Has visto a quien toma por dios a su pasión y Allah lo extravía en virtud de un conocimiento, sella su oído y su corazón y pone un velo sobre su vista?
023_01	¿Quién lo guiará fuera de Allah?¿Es que no vais a recapacitar?
024_00	Y dicen: Sólo existe esta vida nuestra de aquí, morimos y vivimos y no es sino el tiempo lo que acaba con nosotros.Pero no tienen conocimiento de eso, no hacen sino conjeturar.
025_00	Y cuando se les recitan Nuestros signos evidentes su único argumento es decir: Traednos a nuestros padres si es verdad lo que decís.
026_00	Di: Allah os da la vida, luego os hace morir y luego os reunirá para el Día del Levantamiento acerca del que no hay duda.Sin embargo la mayoría de los hombres no sabe.
027_00	Y a Allah pertenece la soberanía de los cielos y de la tierra; el día que llegue la Hora, ese día perderán los farsantes.
028_00	Y verás a todas las comunidades de rodillas, cada una será llamada a su libro: Hoy se os pagará lo que hicisteis.
029_00	Este Libro Nuestro habla en vuestra contra con la verdad, habíamos mandado escribir lo que hacíais.
030_00	A los que creyeron y practicaron las acciones de bien su Señor los hará entrar en Su misericordia; ése es el triunfo indudable.
031_00	Pero a los que se negaron a creer... ¿No se os recitaron Mis signos y sin embargo vosotros os llenasteis de soberbia y fuisteis gente de mal?.
032_00	Y cuando se dijo: La promesa de Allah es verdadera y no hay duda sobre la Hora, dijisteis: No sabemos qué es la Hora, sólo tenemos conjeturas y ninguna certeza.
033_00	Pero han aparecido ante ellos las malas acciones que cometieron y aquéllo de lo que se burlaban los ha rodeado.
034_00	Y se dirá: Hoy os olvidamos, al igual que vosotros olvidasteis el encuentro de este día vuestro; vuestra morada será el Fuego y no tendréis quien os auxilie.
035_00	Eso es por haber tomado los signos de Allah a burla y porque la vida del mundo os sedujo. Hoy no serán sacados de él ni se les pedirá que busquen el agrado (de su Señor).
036_00	Y las alabanzas pertenecen a Allah, el Señor de los cielos, el Señor de la tierra y el Señor de los mundos.
037_00	Suya es la grandeza en los cielos y en la tierra y Él es el Poderoso, el Sabio.(las Dunas)En el nombre de Allah, el Misericordioso, el Compasivo.
