001_00	¡Vosotros que creéis!
001_01	No toméis por amigos aliados a los que son enemigos Míos y vuestros -les dais muestras de afecto cuando ellos se han negado a creer en la verdad que os ha llegado y han expulsado al Mensajero y os han expulsado a vosotros porque creíais en Allah vuestro Señor- si habéis salido a luchar en Mi camino buscando Mi beneplácito.
001_02	Les confiáis secretos por amistad; pero Yo sé lo que escondéis y lo que mostráis. El que de vosotros lo haga, se habrá extraviado del camino llano.
002_00	Si os alcanzan, serán vuestros enemigos y alargarán hacia vosotros sus manos para haceros mal. Querrían que dejarais de creer.
003_00	Ni vuestra consanguinidad ni vuestros hijos os servirán el Día del Levantamiento. Cada uno de vosotros tendrá el juicio que le corresponda. Allah ve lo que hacéis.
004_00	En Ibrahim y en los que con él estaban tenéis un hermoso ejemplo, cuando le dijeron a su gente: No respondemos de vosotros y de lo que adoráis fuera de
004_01	Allah, sino que renegamos de vosotros.La enemistad y el odio habrán surgido entre nosotros para siempre a menos que creáis en Allah y en nadie más.Sin embargo lbrahim le dijo
004_02	a su padre: Pediré perdón por ti, pero no puedo hacer nada en tu favor ante Allah.¡Señor nuestro! A Ti nos confiamos, a Ti nos volvemos y a Ti hemos de retornar.
005_00	¡Señor nuestro! No pongas a prueba a los que se niegan a creer dándoles poder sobre nosotros y perdónanos Señor.Realmente Tú eres el Poderoso, el Sabio.
006_00	En ellos tenéis un hermoso ejemplo para quien tenga esperanza en Allah y en el Último Día.Pero el que se desentienda...Allah es Rico, en Sí mismo alabado.
007_00	Puede ser que Allah ponga afecto entre vosotros y los que de ellos hayáis tenido como enemigos.Allah es Poderoso y Allah es Perdonador y Compasivo.
008_00	Allah no os prohibe que tratéis bien y con justicia a los que no os hayan combatido a causa de vuestra creencia ni os hayan hecho abandonar vuestros hogares.
008_01	Es cierto que Allah ama a los equitativos.
009_00	Allah sólo os prohibe que toméis por amigos aliados a los que os hayan combatido a causa de vuestra
009_01	creencia, os hayan hecho abandonar vuestros hogares o hayan colaborado en vuestra expulsión.Quien los tome como amigos...Esos son los injustos.
010_00	¡Vosotros que creéis!
010_01	Cuando vengan a vosotros las creyentes después de haber emigrado, comprobad su situación; Allah conoce su creencia, de manera que si verificáis que son creyentes no las devolváis a los incrédulos.Ellas no son lícitas para ellos ni ellos lo son para ellas.Dadles a ellos lo que gastaron y no hay impedimento en que os caséis con ellas, siempre que les hagáis entrega de una dote.No mantengáis los lazos conyugales con las no creyentes.
010_02	Pedid lo que hayáis gastado y que ellos pidan lo que hayan gastado.
010_03	Este es el juicio que Allah decide entre vosotros.
010_04	Allah es Conocedor y Sabio.
011_00	Y si alguna de vuestras esposas huye hacia los incrédulos y conseguís algún botín, dadles a aquéllos cuyas
011_01	esposas se marcharon algo similar a lo que gastaron (en sus dotes).Y temed a Allah en Quien creéis.
012_00	¡Profeta!
012_01	Cuando vengan a ti las creyentes para jurarte fidelidad en los términos de no asociar nada a Allah, no robar, no cometer adulterio, no matar a sus hijos, no inventar ninguna falsedad sobre su situación* y no desobedecerte en nada de lo reconocido como bueno, acéptales el juramento y pide perdón por ellas.Es cierto que Allah es Perdonador, Compasivo.
013_00	¡Vosotros que creéis! No toméis por amigos aliados a gente con la que Allah se ha enojado.Ellos han desesperado de la Última Vida al igual que los incrédulos no esperan nada con respecto a los que están en las tumbas*.
