001_00	Ha, Mim.
002_00	Descenso del Libro procedente de Allah, el Poderoso, el Sabio.
003_00	No hemos creado los cielos y la tierra y lo que entre ambos hay, sino con la verdad y por un tiempo determinado. Pero los que se niegan a creer se apartan de lo que se les advierte.
004_00	Di: ¿Habéis visto lo que invocáis aparte de Allah?
004_01	Mostradme qué parte de la tierra han creado o si tienen alguna participación en los cielos. Traedme un libro anterior a éste o vestigios de algún conocimiento, si es verdad lo que decís.
005_00	¿Y quién está más extraviado que aquél que invoca, fuera de Allah, a quien el Día del Levantamiento no le responderá y se desentenderá de su invocación?
006_00	Cuando los hombres sean reunidos, ellos serán sus enemigos y renegarán de la adoración de la que fueron objeto por su parte.
007_00	Y cuando se les recitan Nuestro signos claros, dicen los que se niegan a creer de la verdad que les llega: Esto es magia evidente.
008_00	O dicen: Lo ha inventado.
008_01	Di: Si lo hubiera inventado, nada podríais hacer por mí ante Allah. Él sabe mejor lo que difundís sobre ello, Él basta como Testigo entre vosotros y yo; y Él es el Perdonador, el Compasivo.
009_00	Di: No soy una novedad entre los mensajeros y no sé lo que será de mí ni lo que será de vosotros, sólo sigo lo que se me ha inspirado y no soy sino un advertidor explícito.
010_00	Di: ¿Y si yo os digo que viene de junto a Allah, y vosotros no habéis querido creer, a pesar de que uno de los hijos
010_01	de Israel lo ha atestiguado tal y como es y ha creído*, mientras vosotros os llenabais de soberbia?Es cierto que Allah no guía a la gente injusta.
011_00	Y dicen los que se han negado a creer, de los que han creído: Si fuera un bien no se nos habrían adelantado en ello.Y como no han sido guiados, dicen: Esto es una vieja patraña.
012_00	Antes de él, fue el Libro de Musa, dirección y misericordia.Y éste es un Libro que es una confirmación en lengua árabe, para que adviertas a los que son injustos; y con buenas noticias para los que hacen el bien.
013_00	Los que dicen: Nuestro Señor es Allah y luego se conducen con rectitud, no tendrán qué temer ni se entristecerán.
014_00	Esos son los compañeros del Jardín donde serán inmortales como recompensa por lo que hicieron.
015_00	Y le hemos encomendado al hombre que haga el bien a sus padres.
015_01	Su madre lo llevó en el vientre con fatiga, y con fatiga lo parió, durando su embarazo y la lactancia treinta meses.Y al alcanzar la madurez, tras haber llegado a los cuarenta años, dice: ¡Señor mío!
015_02	Infunde en mí que te agradezca el beneficio con el que me has favorecido a mí y a mis padres y que lleve a cabo buenas acciones que sean de Tu agrado; y haz mi descendencia recta.En verdad a Ti me vuelvo y soy de los sometidos.
016_00	Esos son a los que se les aceptará lo mejor que hayan hecho y se les pasarán por alto las malas acciones que hayan cometido; junto a los compañeros del Jardín.Promesa verídica que se les ha hecho.
017_00	Y el que le dijo a sus padres: ¡Uf!
017_01	¿Acaso me prometéis que se me hará salir de la tumba cuando pasaron antes de mí otras generaciones?Y ellos pedían auxilio a Allah: ¡Ay de ti! Cree, que la promesa de Allah es cierta.Él decía: ¿Qué es todo esto sino leyendas de los antiguos?
018_00	Esos son aquéllos contra los que se hará realidad la Palabra, sumándose así a las comunidades de hombres y genios que hubo antes que ellos.Realmente estaban perdidos.
019_00	Cada uno tiene un grado que le viene de sus acciones. Y para pagarles como corresponde sus obras sin que se les haga injusticia.
020_00	El día en que los que se negaron a creer sean expuestos al Fuego: Habéis consumido las cosas buenas que tuvisteis en vuestra vida de aquí y os
020_01	habéis contentado con ésta; así pues, hoy se os pagará con el castigo degradante por haberos llenado de soberbia, sin verdad, en la tierra y por haberos descarriado.
021_00	Y recuerda al hermano de los Ad, cuando advirtió a su gente en las dunas*.
021_01	Antes de él ya habían venido advertidores, como lo harían después: No adoréis sino a Allah, temo por vosotros el castigo de un día grave.
022_00	Dijeron: ¿Has venido a nosotros para apartarnos de nuestros dioses? Tráenos aquello con lo que nos amenazas si eres de los que dicen la verdad.
023_00	Dijo: Realmente el conocimiento sólo está junto a Allah, yo no hago sino haceros llegar aquello con lo que he sido enviado; sin embargo os veo gente ignorante.
024_00	Y cuando lo vieron como una nube frente a sus valles, dijeron: Esta es la nube que nos trae lluvia.Pero no, es aquello cuya venida estabais urgiendo: Un viento que encierra un doloroso castigo.
025_00	Lo arrasó todo por mandato de su Señor; y amanecieron, y sólo podían verse sus moradas. Así es como recompensamos a la gente que hace el mal.
026_00	Les habíamos dado una posición que no os hemos dado a vosotros y les habíamos dado oído, vista y corazón; pero ni su oído, ni
026_01	su vista ni su corazón les sirvieron de nada cuando negaron los signos de Allah, y aquello de lo que se habían burlado los rodeó.
027_00	Y es cierto que hemos destruido las ciudades de vuestro alrededor y hemos explicado repetidamente los signos para que pudieran volverse atrás.
028_00	Pero, ¿por qué no les auxiliaron ésos que ellos habían tomado como objeto de adoración y dioses, fuera de Allah?Ni siquiera pudieron encontrarlos. Y así fue su mentira y lo que habían inventado.
029_00	Y cuando te enviamos a un pequeño grupo de genios para que escucharan el Corán y al llegar ante él* se dijeron: ¡Callad!Y cuando acabó, se volvieron a su gente para advertirles.
030_00	Dijeron: ¡Pueblo nuestro! Hemos oído un Libro que ha descendido después de Musa, que confirma lo que había antes de él y guía a la verdad y a un camino recto.
031_00	¡Pueblo nuestro! Responded al que llama hacia a Allah y creed en él. Él os perdonará vuestras faltas y os preservará de un doloroso castigo.
032_00	Y quien no responda al que llama hacia a Allah...No tendrá forma de escapar en la tierra y fuera de Él no tendrá quien lo proteja. Esos están en un extravío evidente.
033_00	¿Acaso no han visto que Allah, que creó los cielos y la tierra y no está fatigado por
033_01	haberlos creado, tiene el poder de dar la vida a los muertos?Sí, Él tiene poder sobre todas las cosas.
034_00	Y el día en que los que se negaron a creer sean expuestos al Fuego.. ¿Acaso no es esto verdad? Dirán: Sí, por nuestro Señor. Dirá: Gustad pues el castigo por haberos negado a creer.
035_00	Así pues, ten paciencia, como la tuvieron los mensajeros dotados de resolución.
035_01	No pidas que se les apresure.El día en que vean lo que se les prometió, será como si sólo hubieran permanecido* una hora del día.Esto es una transmisión.¿Acaso se destruye a alguien sino a la gente descarriada?
