001_00	A Allah glorifican todos los que están en los cielos y en la tierra y Él es el Poderoso, el Sabio.
002_00	¡Vosotros que creéis! ¿Por qué decís lo que no hacéis?
003_00	Es grave ante Allah que digáis lo que no hacéis.
004_00	Es verdad que Allah ama a los que combaten en Su camino en filas, como si fueran un sólido edificio.
005_00	Y cuando Musa le dijo a su gente: ¡Gente mía! ¿Por qué me perjudicáis si sabéis que yo soy el mensajero de Allah para vosotros?
005_01	Y cuando se apartaron, Allah apartó sus corazones. Allah no guía a la gente descarriada.
006_00	Y cuando dijo Isa, hijo de Maryam: ¡Hijos de Israel!
006_01	Yo soy el mensajero de Allah para vosotros, para confirmar la Torá que había antes de mí y para anunciar a un mensajero que ha de venir después de mí cuyo nombre es Ahmad*.Pero cuando fue a ellos con las pruebas evidentes, dijeron: Esto es pura magia.
007_00	¿Pero quién es más injusto que quien inventa mentiras sobre Allah habiendo sido llamado al Islam?Allah no guía a la gente injusta.
008_00	Quieren apagar la luz de Allah con lo que sale de sus bocas, pero Allah siempre hace culminar Su luz por mucho que les pese a los incrédulos.
009_00	Él es Quien ha enviado a Su mensajero con la guía y la verdadera práctica de Adoración para hacerla prevalecer sobre todas las demás, por mucho que les pese a los asociadores.
010_00	¡Vosotros que creéis! ¿Queréis que os diga un negocio que os salvará de un doloroso castigo?
011_00	Que creáis en Allah y en Su mensajero y que luchéis en el camino de Allah con vuestros bienes y personas.Eso es lo mejor para vosotros, si queréis saberlo.
012_00	Él os perdonará vuestras faltas y os hará entrar en jardines por cuyo suelo corren los ríos y en buenas estancias en los jardines de Adn.Y ese es el gran triunfo.
013_00	Y otra ganancia que amáis: Una ayuda de Allah y una próxima victoria. Anuncia buenas nuevas a los creyentes.
014_00	¡Vosotros que creéis!
014_01	Sed auxiliares de Allah; tal y como dijo Isa, el hijo de Maryam, a los discípulos: Quién me ayudará en favor de Allah?Y dijeron los discípulos: Nosotros somos los auxiliares de Allah.
014_02	Hubo una parte de los hijos de Israel que creyó, pero otros descreyeron.Dimos apoyo a los que habían creído contra sus enemigos y fueron los vencedores.(aL-YUMUA)En el nombre de Allah, el Misericordioso, el Compasivo.
