001_00	Alif, Lam, Mim.
002_00	Ese Libro, sin duda, contiene una guía para los temerosos (de su Señor).
003_00	Esos que creen en el No-Visto*, establecen el salat* y de la provisión que les hemos asignado, dan.
004_00	Y esos que creen en la Revelación que se hizo descender sobre ti y en la que se hizo descender antes de ti; y de la Otra Vida tienen certeza.
005_00	Ellos son los que van en una dirección de su Señor y son los que tendrán éxito.
006_00	A los que se niegan a creer, es igual que les adviertas o que no les adviertas, no creerán.
007_00	Allah les ha sellado el corazón y el oído y en los ojos tienen un velo. Tendrán un inmenso castigo.
008_00	Hay hombres que dicen: Creemos en Allah y en el Último Día, pero no son creyentes.
009_00	Pretenden engañar a Allah y a los que creen, pero sólo se engañan a sí mismos sin darse cuenta.
010_00	En sus corazones hay una enfermedad que Allah les acrecienta.Tendrán un doloroso castigo por lo que tacharon de mentira.
011_00	Cuando se les dice: No corrompáis las cosas en la tierra, responden: Pero si sólo las hacemos mejores.
012_00	¿Acaso no son los corruptores, aunque no se den cuenta?
013_00	Y cuando se les dice: Creed como han creído los hombres.Dicen: ¿Es que vamos a creer como los necios?¿No son ellos los necios sin saberlo?
014_00	Cuando se encuentran con los que creen, les dicen: Creemos.Pero cuando se quedan a solas con sus demonios, les dicen: La verdad es que estamos con vosotros y sólo queremos burlarnos.
015_00	Allah se burlará de ellos y los dejará vagar errantes fuera de los límites.
016_00	Esos son los que han cambiado la guía por el extravío; su negocio no ha prosperado y no están guiados.
017_00	Se parecen a quienes encienden un fuego y cuando alumbra en torno a ellos, Allah se lleva la luz y los deja a oscuras, sin ver.
018_00	Sordos, mudos y ciegos, no podrán volver (de su extravío).
019_00	O como el que está en medio de una tormenta donde hay tinieblas, truenos y relámpagos.
019_01	El estampido del rayo al caer, les hace taparse los oídos por temor a la muerte.Pero Allah tiene rodeados a los incrédulos.
020_00	A punto está el relámpago de quitarles la vista.
020_01	Cada vez que les alumbra andan, pero cuando se hace oscuro, se detienen. Si Allah quisiera les quitaría el oído y la vista.Es verdad que Allah tiene poder sobre todas las cosas.
021_00	¡Hombres! Adorad a vuestro Señor que os ha creado a vosotros y a los que os precedieron.Tal vez así os guardéis.
022_00	Él ha hecho para vosotros de la tierra un lecho y del cielo un techo, y hace caer agua del cielo y que gracias a ella broten frutos, que son para vosotros provisión.
022_01	Así pues, no atribuyáis iguales a Allah una vez que sabéis.
023_00	Y si tenéis alguna duda sobre lo que hemos revelado a Nuestro siervo, venid vosotros con una sura igual; y si decís la verdad, llamad a esos testigos que tenéis en vez de Allah.
024_00	Mas si no lo hacéis, que no lo haréis, temed al Fuego cuyo combustible son los hombres y las piedras, preparado para los incrédulos.
025_00	Y dales la buena noticia a los que creen y practican las acciones de bien, de que tendrán jardines por cuyo suelo corren los ríos.
025_01	Cada vez que se les provea con frutos de estos jardines para que se alimenten, dirán: Esto es lo mismo que antes se nos daba.
025_02	Sin embargo lo que se les dé, sólo será parecido. Allí tendrán esposas puras y serán inmortales.
026_00	Allah no se avergüenza de utilizar un ejemplo cualquiera, ya sea un mosquito o algo de más importancia.Los que creen, reconocerán la verdad procedente de su Señor, pero los que se niegan a creer, dirán: ¿Qué pretende Allah con este ejemplo?Extraviar con él a muchos y guiar a muchos.
026_01	Pero sólo los que se apartan de la obediencia se extraviarán.
027_00	Esos que rompen el pacto con Allah después de haberse comprometido. Separan lo que Allah mandó mantener unido y corrompen en la tierra. Esos son los perdidos.
028_00	¿Cómo es que no creéis en Allah si estábais muertos y os dió la vida, luego os hará morir y de nuevo os dará la vida y volveréis a Él?
029_00	Él es Quien creó para vosotros todo cuanto hay en la tierra.Luego, dirigió Su voluntad al cielo y conformó siete cielos en perfecto equilibrio.Él conoce todas las cosas.
030_00	Y cuando tu Señor dijo a los ángeles: Voy a poner en la tierra a un representante Mío*.Dijeron: ¿Vas a poner en ella a quien extienda la corrupción y derrame sangre mientras que nosotros Te glorificamos con la alabanza que Te es debida y declaramos Tu absoluta pureza?
030_01	Dijo: Yo sé lo que vosotros no sabéis.
031_00	Y enseñó a Adam todos los nombres (de los seres creados) y mostró éstos a los ángeles diciéndoles: ¡Decidme sus nombres si sois veraces!
032_00	Dijeron: ¡Gloria a Ti! No tenemos más conocimiento que el que Tú nos has enseñado. Tú eres, en verdad, el Conocedor perfecto, el Sabio.
033_00	Dijo: ¡Adam!
033_01	Diles sus nombres.Y cuando lo hubo hecho, dijo:¿No os dije que conocía lo desconocido de los cielos y de la tierra, así como lo que mostráis y lo que ocultáis?
034_00	Y cuando dijimos a los ángeles: ¡Postraos ante Adam!Se postraron todos menos Iblis que se negó, se llenó de soberbia y fue de los rebeldes.
035_00	Dijimos: ¡Adam! Habita con tu pareja el Jardín y comed sin restricciones de lo que haya en él, pero no os acerquéis a este árbol porque entonces seríais de los injustos*.
036_00	Pero el Shaytán les hizo caer a causa de él*, sacándolos de donde estaban.
036_01	Dijimos: ¡Descended!: Unos seréis enemigos de otros*.Tendréis temporalmente en la tierra un lugar de asentamiento y bienes de los que disfrutar.
037_00	Luego Adam, recibió palabras inspiradas por su Señor, que se volvió a él; es verdad que Él es el que se vuelve en favor de Sus siervos, el Compasivo.
038_00	Dijimos: Descended todos de aquí; y si os llega de Mí una guía, los que la sigan no tendrán nada que temer ni se entristecerán.
039_00	Pero los que se nieguen a creer y tachen de mentira Nuestros signos... Esos serán los compañeros del Fuego donde vivirán para siempre.
040_00	¡Hijos de Israel! Recordad los beneficios con los que os favorecí y cumplid vuestra parte del pacto que Yo cumpliré la Mía, y temedme sólo a Mí.
041_00	Y creed en lo que he revelado confirmando lo que ya teníais.No seáis los primeros en negarlo. Y no vendáis Mis signos a bajo precio y tenedme sólo a Mí.
042_00	No disfracéis la verdad con falsedad, para ocultarla, después de lo que sabéis.
043_00	Estableced el salat, entregad el zakat e inclinaos con los que se inclinan.
044_00	¿Cómo es que ordenáis a los hombres la virtud y olvidáis incluiros a vosotros mismos que recitáis el Libro? ¿Es que no váis a entender?
045_00	Buscad ayuda en la constancia y en el salat, porque éste* no es un peso para los humildes.
046_00	Los que creen con certeza que encontrarán a su Señor y que a Él han de volver.
047_00	¡Hijos de Israel! Recordad los beneficios con los que os favorecí y recordad cómo os preferí sobre los mundos.
048_00	Guardaos de un día en el que a nadie le valdrá lo que otro haya hecho, ni se aceptará que nadie interceda por nadie, ni habrá posibilidad de pagar ningún rescate, ni habrá ayuda.
049_00	Y (recordad) cuando os salvamos de la gente de Firaún que os causaban un horrible castigo, degollando a vuestros hijos varones y dejando con vida a vuestras mujeres.
049_01	Ahí teníais una enorme prueba que os ponía vuestro Señor.
050_00	Y cuando, por vosotros, hicimos que el mar se abriera en dos y os salvamos, ahogando a las gentes de Firaún ante vuestros propios ojos.
051_00	Y cuando emplazamos a Musa durante cuarenta noches y durante su ausencia, tomásteis el becerro* y fuisteis injustos.
052_00	Luego, a pesar de lo que habíais hecho, os perdonamos para que pudierais agradecer.
053_00	Y cuando dimos el Libro a Musa y el discernimiento para que os pudierais guiar.
054_00	Cuando Musa dijo a sus gentes: ¡Pueblo mío!
054_01	Habéis sido injustos con vosotros mismos habiendo tomado el becerro; volveos a vuestro Creador y que unos den muerte a los otros*, eso es lo mejor para vosotros ante vuestro Creador.Él os ha aceptado de nuevo, porque Él es el que se vuelve en favor de Sus siervos, el Compasivo.
055_00	Y cuando dijisteis: ¡Musa! No creeremos en ti hasta que no veamos a Allah abiertamente.El rayo os fulminó mientras mirabais.
056_00	Luego, después de muertos, os devolvimos a la vida para que pudierais agradecer
057_00	Y os cubrimos con la sombra de la nube e hicimos que bajaran el maná y las codornices: ¡Comed de las cosas buenas con las que os sustentamos!
057_01	Y no Nos perjudicaron, sino que fueron ellos los perjudicados.
058_00	Y cuando dijimos: Entrad en esta ciudad* y comed de lo que hay en ella donde queráis y sin limitaciones, pero entrad por la puerta con respeto y decid: ¡Alivia nuestras faltas!
058_01	y se os perdonarán.Y a los hombres de excelencia les daremos aún más.
059_00	Pero los que de ellos eran injustos dijeron otras palabras de las que se les había mandado decir, e hicimos que bajara del cielo una plaga contra ellos por no haber cumplido lo mandado.
060_00	Y cuando Musa pidió que se diera de beber a su pueblo y dijimos: Golpea la piedra con tu vara.Brotaron de ella doce manantiales y cada uno supo donde debía beber.
