001_00	¿Sobre qué se preguntan?
002_00	Sobre la Gran Noticia
003_00	acerca de la cual difieren.
004_00	¡Pero no! Ya sabrán,
005_00	sabrán de verdad.
006_00	¿Acaso no hemos hecho de la tierra un lecho,
007_00	hemos puesto las montañas como estacas,
008_00	os hemos creado en parejas,
009_00	hemos hecho de vuestro sueño reposo,
010_00	hemos hecho de la noche un vestido,
011_00	hemos hecho del día un medio de vida,
012_00	hemos edificado sobre vosotros siete firmamentos,
013_00	hemos puesto una lámpara reluciente,
014_00	y hacemos caer de las nubes agua de lluvia
015_00	con la que hacemos que broten granos y plantas
016_00	y vergeles de espeso arbolado?
017_00	El Día de la Distinción es una cita con un momento fijado.
018_00	El día en que se sople en el cuerno y vengan en grupos.
019_00	El cielo se abrirá y será todo puertas.
020_00	Y las montañas serán transportadas cual espejismo.
021_00	Yahannam es un lugar acechante,
022_00	un lugar de retorno para los que se excedieron,
023_00	que en él permanecerán eternidades.
024_00	Y donde no probarán ni frescor ni bebida,
025_00	tan sólo agua hirviendo y pus.
026_00	Apropiada recompensa.
027_00	Ellos no esperaban tener que rendir cuentas
028_00	y negaron rotundamente la veracidad de Nuestros signos.
029_00	Pero cada cosa la registramos en un libro.
030_00	Así pues, gustad. Sólo habrá aumento en el castigo.
031_00	Los temerosos tendrán un lugar de triunfo:
032_00	Jardines y viñedos
033_00	y doncellas de senos formados y edad invariable.
034_00	Y una copa rebosante.
035_00	Allí no oirán vanidad ni mentira.
036_00	Recompensa de tu Señor, regalo idóneo.
037_00	El Señor de los cielos, de la tierra y de lo que entre ambos hay, el Misericordioso, no tienen el poder de dirigirle la palabra.
038_00	El día en que el espíritu* y los ángeles se pongan en filas, no hablarán sino aquéllos a los que el Misericordioso autorice y hablen con verdad.
039_00	Ese es el día de la verdad. Quien quiera, que tome refugio en su Señor.
040_00	Os hemos advertido de un castigo próximo.El día en que el hombre contemple lo que sus manos presentaron y diga el incrédulo: ¡Ay de mí! Ojalá fuera tierra.
