001_00	Ha, Mim.
002_00	Ayn, Sin, Qaf.
003_00	Así te inspira, como a los que hubo antes de ti, Allah, el Poderoso, el Sabio.
004_00	Suyo es cuanto hay en los cielos y en la tierra y es el Excelso, el Inmenso.
005_00	A punto están de abrirse de arriba abajo los cielos y la tierra, y los ángeles glorifican a su Señor con la alabanza que Le es debida y piden perdón por los que están en la tierra.
005_01	¿Acaso no es Allah el Perdonador, el Compasivo?
006_00	Y a los que han tomado protectores aparte de Él; Allah los vigila, tú no eres su guardián.
007_00	Y así es como te hemos inspirado una Recitación árabe para que advirtieras a la madre de las ciudades* y a quien hay a su alrededor
007_01	y advirtieras del Día de la Concentración sobre el que no hay duda.Un grupo en el Jardín y un grupo en el Sair.
008_00	Y si Allah hubiera querido habría hecho una sola comunidad, sin embargo Él hace entrar en Su misericordia a quien quiere y los injustos no tendrán quien los proteja ni quien los auxilie.
009_00	¿O es que han tomado protectores aparte de Él? Allah es el Protector, Él da la vida y da la muerte y tiene poder sobre todas las cosas.
010_00	Todo aquello en lo que no estáis de acuerdo, su juicio se remite a Allah. Ese es Allah mi Señor, a Él me confío y a Él me vuelvo en todo.
011_00	El Originador de los cielos y de la tierra, os ha dado, de vosotros mismos, esposas y ha hecho a los animales de rebaño también en parejas, así es como os multiplica.
011_01	No hay nada como Él; Él es el que oye y el que ve.
012_00	Posee las llaves de los cielos y de la tierra y expande y restringe la provisión a quien quiere. Realmente Él es el Conocedor de toda las cosas.
013_00	Os ha legislado, dentro de la Práctica de Adoración, lo que encomendó a Nuh, lo que te hemos inspirado a ti y lo que encomenda
013_01	mos a Ibrahim, Musa e Isa: que establecierais firmemente la Práctica de Adoración y no os dividierais en ella.Les resulta exce
013_02	sivo a los asociadores aquéllo a lo que los llamáis. Allah elige para Sí a quien quiere y guía hacia Él a quien a Él se vuelve.
014_00	Y no se dividieron sino después de haberles llegado el conocimiento, por envidias entre ellos.
014_01	Y si no hubiera sido por una palabra previa que establecía un plazo fijo, se habría decidido entre ellos. Y los que, después de ellos, han heredado el Libro están recelosos en la duda.
015_00	Por eso, extiende la llamada, sé recto como se te ha ordenado, no sigas sus deseos y di: Creo en los libros que Allah ha hecho descender y me ha sido ordenado hacer justicia entre vosotros.
015_01	Allah es nuestro Señor y vuestro Señor, para nosotros serán nuestras obras y para vosotros las vuestras, no hay discusión entre nosotros, Allah nos reunirá y el retorno es hacia Él.
016_00	Los que cuestionan a Allah, después de la respuesta que ha tenido*, su argumento no tiene ninguna validez ante su Señor. Sobre ellos caerá la ira y tendrán un violento castigo.
017_00	Allah es Quien ha hecho descender el Libro con la verdad y la Balanza; y ¿quién sabe si la Hora estará próxima?
018_00	Los que no creen en ella están pidiendo que se adelante, pero los que creen están estremecidos por su causa y saben que es verdad.
018_01	¿Acaso los que discuten la Hora no están extraviados, muy lejos?
019_00	Allah es Sutil con Sus siervos, provee a quien quiere y es el Fuerte, el Irresistible.
020_00	Quien quiera cultivar la Última Vida, le daremos aumento en su cultivo, y quien quiera cultivar esta vida le daremos algo de ella, pero no tendrá parte en la Última.
021_00	¿O es que tienen asociados* que les han legitimado cosas en la Práctica de Adoración que Allah no ha autorizado?
021_01	Si no fuera por la sentencia definitiva*, se habría decidido ya entre ellos, realmente los injustos tendrán un doloroso castigo.
022_00	Verás a los injustos aterrados a causa de lo que se ganaron; se les vendrá encima.Y los que creyeron y practicaron las acciones de bien tendrán, en los vergeles de los Jardines, lo que quieran junto a su Señor.
022_01	Ese es el gran favor.
023_00	Estas son las buenas noticias que Allah anuncia a Sus siervos que hayan creído y practicado las acciones de bien.
023_01	Di: No os pido recompensa alguna por ello, sólo que seáis afectuosos con los parientes próximos. Quien adquiera en su haber una buena acción se la aumentaremos con un bien mucho mayor; es cierto que Allah es Perdonador, Agradecido.
024_00	¿O es que dicen: Ha inventado una mentira sobre Allah? Cuando, si Allah quisiera, sellaría tu corazón.
024_01	Allah borra lo falso y confirma la verdad con Su palabra; realmente Él conoce lo que encierran los pechos.
025_00	Él es Quien se vuelve sobre Sus siervos pasando por alto sus malas acciones. Y sabe lo que hacen.
026_00	Él responde a los que creen y practican las acciones de bien y les aumenta Su favor.Pero los incrédulos tendrán un violento castigo.
027_00	Si Allah les hubiera dado a Sus siervos una provisión sin límites, se habrían excedido en la tierra, sin embargo la hace descender en la proporción que Él quiere.Allah tiene pleno conocimiento de Sus siervos y los ve.
028_00	Él es Quien hace que caiga la lluvia cuando ellos ya han perdido la esperanza y hace Su misericordia extensa.Él es el Amigo, el Digno de alabanza.
029_00	Entre Sus signos está la creación de los cielos y de la tierra y los animales que a lo largo de ella repartió; y Él tiene poder para reunirlos a todos cuando quiera.
030_00	Cualquier dolor que os aflija es a causa de lo que se buscaron vuestras manos, sin embargo Él pasa por alto muchas cosas.
031_00	No podréis escaparos de Él en la tierra ni tendréis, aparte de Allah, quien os proteja ni defienda.
032_00	Y entre Sus signos están las naves, como hitos, en el mar.
033_00	Si quiere cambia los vientos y entonces se quedan inmóviles en la superficie, es cierto que en eso hay signos para todo el que tenga paciencia y sea agradecido.
034_00	O las hace naufragar porque ellos se lo buscaron. Pero perdona muchas cosas.
035_00	Y que sepan los que discuten Nuestros signos que no tendrán escapatoria.
036_00	Las cosas que se os dan son sólo disfrute de la vida de este mundo, pero lo que hay junto a Allah es, para los que creen y se abandonan en su Señor, mejor y más duradero.
037_00	Los que se apartan de las faltas graves y las indecencias y, cuando se enfandan, perdonan.
038_00	Y los que responden a su Señor, establecen el salat, se piden consejo en los asuntos y dan de la provisión que les damos.
039_00	Y aquéllos que cuando son víctimas de algún abuso se defienden.
040_00	La recompensa de una maldad es una maldad semejante a ella, pero quien pasa por alto y se reconcilia...su recompensa incumbe a Allah; es cierto que Él no ama a los injustos.
041_00	Y quien se defienda después de haber sufrido alguna injusticia...No hay razón para ir contra ellos.
042_00	Sólo la habrá contra los que abusen de los hombres y se excedan en la tierra sin derecho; ésos tendrán un castigo doloroso.
043_00	Pero quien tenga paciencia y perdone...Eso es parte de los asuntos que hay que asumir con resolución.
044_00	A quien Allah extravía no tendrá a nadie que lo proteja aparte de Él. Y verás cuando los injustos vean el castigo y digan: ¿Hay alguna forma de volver atrás?
045_00	Verás cómo son expuestos ante él, humillados, con la mirada baja a causa de la humillación.
045_01	Y dirán los que creyeron: Realmente los perdedores son los que se pierdan a sí mismos y a sus familias el Día del Levantamiento. ¿Acaso los incrédulos no estarán en un castigo permanente?
046_00	No tendrán amigos que los auxilien aparte de Allah.Y aquel al que Allah extravía no hay camino para él.
047_00	Responded a vuestro Señor antes de que os llegue un día en el que no haya vuelta atrás de parte de Allah.Ese día no tendréis ningún refugio ni podréis negar nada.
048_00	Y si se apartan...
048_01	No te hemos enviado como guardián de ellos, a ti sólo te incumbe transmitir. Y es verdad que cuando al hombre le damos a probar una misericordia que viene de Nos, se alegra, pero si algún mal le afecta a causa de lo que sus manos hicieron, entonces el hombre es desagradecido.
049_00	De Allah es la soberanía de los cielos y de la tierra.Él crea lo que quiere concediéndole a quien quiere hembras y a quien quiere varones.
050_00	O concediéndole parejas de varones y hembras. Y a quien quiere lo hace estéril. Realmente Él es Conocedor, Poderoso.
051_00	No es propio que Allah le hable a ningún ser humano, excepto por inspiración, o a través de un velo, o por medio de enviar a un mensajero que le inspire con Su permiso lo que Él quiera.Verdaderamente Él es el Excelso, el Sabio.
052_00	Asímismo te hemos inspirado un espíritu que viene de Nuestra orden; antes no sabías qué era el Libro ni qué era creer, pero
052_01	lo hemos hecho una luz con la que guiar a quien queremos de Nuestros siervos. Es cierto que tú guías hacia un camino recto.
053_00	El camino de Allah, a Quien pertenece cuanto hay en los cielos y en la tierra.¿Acaso no vuelven a Allah todas las cosas?
