001_00	Sad.
002_00	¡Por el Corán que contiene el Recuerdo! Sin embargo los que se niegan a creer muestran arrogancia y oposición.
003_00	¿Cuántas generaciones anteriores a ellos destruimos? Imploraron cuando ya había pasado el tiempo de salvarse.
004_00	Se extrañan de que les haya llegado un advertidor que es uno de ellos; y dicen los que se niegan a creer: Este es un mago farsante.
005_00	¿Acaso pretende que los dioses sean un único dios? Realmente es algo asombroso.
006_00	Sus cabecillas han salido diciendo: Id y seguid fieles a vuestros dioses pues en todo esto se persigue algo contra vosotros.
007_00	No lo habíamos oído en la forma de Adoración anterior, sólo es una invención.
008_00	¿Cómo puede ser que, de entre todos nosotros, se le haya hecho descender el Recuerdo a él? Pero no es por eso, es que dudan de Mi Recuerdo.Aún no han probado Mi castigo.
009_00	¿O es que poseen los tesoros de la misericordia de tu Señor, el Irresistible, el Dador?
010_00	¿O tienen el dominio de los cielos y de la tierra y de lo que entre ellos hay? Que suban entonces por los accesos (a los cielos).
011_00	Sólo son una tropa más, entre los coligados, que pronto será derrotada.
012_00	Antes de ellos ya negaron la verdad la gente de Nuh, los Ad y Firaún, el de las estacas.*
013_00	Y los Zamud, la gente de Lut y los compañeros de la Espesura*.Esos eran realmente los coligados*.
014_00	No hubo ninguno que no negara la verdad de los mensajeros y Mi castigo se hizo realidad.
015_00	Y éstos* sólo tendrán que esperar un único grito que no tendrá vuelta atrás.
016_00	Dicen: ¡Señor nuestro! Adelántanos nuestra parte antes del Día de la Cuenta.
017_00	Ten paciencia con lo que dicen.Y recuerda a Nuestro siervo Daud, el que había sido dotado de fortaleza; es cierto que él se volvía mucho a su Señor.
018_00	Le subordinamos las montañas que con él glorificaban al anochecer y al amanecer.
019_00	Y las aves reunidas, todas obedientes a él.
020_00	Fortalecimos su reino y le dimos sabiduría y un juicio certero.
021_00	¿Te ha llegado el caso de los litigantes, cuando escalaron hasta lo más alto del templo?
022_00	Y se presentaron ante Daud, que sintió miedo de ellos, entonces dijeron: No temas, somos dos litigantes.
022_01	Uno de nosotros ha abusado del otro, así que juzga entre nosotros con la verdad, sin inclinarte por ninguno, y guíanos al camino medio.
023_00	Este es mi hermano, él tiene noventa y nueve ovejas y yo sólo tengo una. Él me dijo: Déjala a mi cuidado y luego ha podido más que yo con sus argumentos.
024_00	Dijo: Él ha sido injusto contigo al pedirte tu oveja para juntarla a las suyas; realmente muchos de los que se asocia n con otros cometen abusos, pero no así los que creen y practican las obras de bien.
024_01	Sin embargo éstos son pocos.
024_02	Y en tonces Daud se dio cuenta de que lo habíamos puesto a prueba y pidió perdón a su Señor, cayó postrado y se arrepintió.
025_00	Le perdonamos aquello y es cierto que goza de proximidad ante Nos y de un hermoso lugar de destino.
026_00	¡Daud! Te hemos hecho representante Nuestro en la tierra, juzga pues entre los hombres con la verdad y no sigas los deseos, ya que te extraviarían del camino de Allah;
026_01	cierto que aquéllos que se extravían del camino de Allah tendrán un violento castigo por haberse olvidado del Día de la Cuenta.
027_00	Y no hemos creado el cielo, la tierra y lo que entre ambos hay, en vano, ésa es la opinión de los que se niegan a creer. ¡Ay de los que se niegan a creer! ¡Por el Fuego!
