001_00	Alif, Lam, Mim.
002_00	Es una revelación del Libro en el que no hay duda, procedente del Señor de los mundos.
003_00	¿O es que dicen que se lo ha inventado?Pero no, es la verdad procedente de tu Señor para que adviertas a unas gentes a las que antes de ti no les había llegado ningún advertidor.Quizás se puedan guiar.
004_00	Allah es Quien creó los cielos y la tierra y lo que hay entre ellos en seis días, a continuación se asentó en el Trono.
004_01	Fuera de Él no tenéis quien os proteja ni quien interceda por vosotros. ¿No vais a recapacitar?
005_00	Los asuntos que decreta bajan desde el cielo a la tierra y luego ascienden a Él en un día que equivale a mil años de los que contáis.
006_00	Él es Quien conoce el No-Visto y lo Aparente; el Poderoso, el Compasivo.
007_00	Aquel que todo lo que ha creado lo ha hecho bien y comenzó la creación del hombre a partir de barro.
008_00	E hizo que su descendencia se produjera a partir de una gota de agua insignificante.
009_00	Luego le dio forma e insufló en él parte de Su espíritu. Y os dio el oído, la vista y el corazón. ¡Qué poco agradecéis!
010_00	Y dicen: ¿Acaso cuando hayamos desaparecido bajo la tierra iremos a ser creados de nuevo? Pero no, ellos se niegan a creer que habrán de encontrarse con su Señor.
011_00	Di: El ángel de la muerte, que está encargado de vosotros, os tomará, luego volveréis a vuestro Señor.
012_00	Y si pudierais ver cuando los malhechores inclinen la cabeza ante su Señor: ¡Señor nuestro! Míranos, escúchanos y déjanos regresar para que actuemos con rectitud, realmente ahora tenemos certeza.
013_00	Si hubiéramos querido le habríamos dado a cada uno su guía, sin embargo se ha de cumplir Mi palabra: "Llenaré Yahannam de genios y hombres todos juntos".
014_00	Así pues, gustad, porque olvidasteis que os íbais a encontrar con este día. Nosotros os hemos olvidado.¡Gustad el castigo de la inmortalidad por lo que hicisteis!
015_00	Sólo creen en Nuestros signos aquéllos que cuando se les mencionan caen postrados, glorifican a su Señor con las alabanzas que Le son debidas y no tienen soberbia.
016_00	Levantan su costado de los lechos para invocar a su Señor con temor y anhelo y dan de la provisión que les damos.
017_00	Nadie sabe la frescura de ojos que les espera como recompensa por lo que hicieron.
018_00	¿Acaso el que es creyente es como el descarriado? No son iguales.
019_00	Los que creen y llevan a cabo las acciones de bien, tendrán como hospedaje, por lo que hicieron, los Jardines del Refugio.
020_00	Pero los descarriados tendrán como refugio el Fuego.
020_01	Cada vez que quieran salir de él serán devueltos y se les dirá: ¡Gustad el castigo del Fuego cuya realidad negabais!

020_01	
021_00	Y además del castigo mayor les haremos probar el castigo más inmediato por si pudieran volverse atrás.
022_00	¿Y quién es más injusto que aquél al que se le mencionan los signos de su Señor y se aparta de ellos? Es cierto que nos vengaremos de los que hagan el mal.
023_00	Es verdad que le dimos el Libro a Musa, no tengas ninguna duda del encuentro con Nosotros; y lo hicimos un guía para los hijos de Israel.
024_00	E hicimos de algunos de ellos dirigentes que guiaban según Nuestro mandato, mientras eran pacientes y tenían certeza de Nuestros signos.
025_00	Tu Señor resolverá entre ellos el Día del Levantamiento acerca de lo que discrepaban.
026_00	¿Es que no les sirven de guía todas las generaciones anteriores a ellos que hemos destruido? Caminan por donde vivían.Realmente en eso hay signos.¿No prestarán atención?
027_00	¿Acaso no ven que llevamos el agua a una tierra seca y gracias a ella, hacemos que broten semillas de las que come su ganado y ellos mismos? ¿Es que no van a ver?
028_00	Y dicen: ¿Cuándo tendrá lugar la victoria si es verdad lo que decís?
029_00	Di: El día de la victoria, de nada les servirá a los que se negaron a creer que crean ni se les dará un tiempo de espera.
030_00	Apártate de ellos y espera, que su caso es sólo cuestión de tiempo.*
