001_00	Alif, Lam, Ra. Estos son los signos del Libro Sabio.
002_00	¿Les resulta sorprendente a los hombres que hayamos inspirado a uno de ellos: Advierte a la gente y anuncia a quienes
002_01	creen que tienen un precedente verdadero* junto a su Señor? Los incrédulos dicen: Este es, en verdad, un mago evidente.
003_00	Vuestro Señor es Allah que creó los cielos y la tierra en seis días y luego se asentó en el Trono dirigiendo el Mandato.
003_01	No hay intercesor sino después de haber sido autorizado por Él. Ese es Allah, vuestro Señor; así pues, adoradle. ¿Es que no vais a recapacitar?
004_00	A Él retornaréis todos.La promesa de Allah es verídica. Él empieza la creación y luego la repite, para recompensar con equidad a quienes han creido y han llevado a cabo las acciones de bien.
004_01	Pero los que se hayan negado a creer, tendrán una bebida de agua hirviente y un doloroso castigo por haber negado.
005_00	Él es Quien hizo el sol iluminación y la luna luz y decretó fases para que pudierais conocer el número de años y el cómputo.
005_01	No creó Allah todo esto sino con la verdad. Detallamos los signos para gente que sabe.
006_00	Verdaderamente en la sucesión de la noche y el día y en lo que Allah ha creado en el cielo y en la tierra, hay signos para gente que teme (a Allah).
007_00	Aquéllos que no esperan encontrarse con Nosotros y se satisfacen con la vida de aquí, acallando su inquietud con ella; así como aquéllos a los que les tienen sin cuidado Nuestros signos;
008_00	ésos tendrán como refugio el Fuego a causa de lo que adquirieron.
009_00	En verdad los que creen y practican las acciones de bien; a ésos, a causa de su creencia, su Señor los guiará y en los Jardines de las Delicias los ríos correrán por debajo de ellos.
010_00	Allí, su oración será: ¡Gloria a Ti, Allah! Y su saludo: ¡Paz!Y el final de su oración: ¡Las alabanzas a Allah, Señor de los mundos!
011_00	Y si Allah precipitara el mal a los hombres como ellos quieren precipitar el bien, el plazo se les habría cumplido;
011_01	sin embargo, a los que no esperan que han de encontrarse con Nosotros, los dejamos errantes en su extravío.
012_00	Y cuando el hombre es tocado por el mal, Nos suplica acostado, sentado o de pie; pero cuando lo libramos de él, sigue como antes, como si no Nos hubiera suplicado por un mal que le tocó.
012_01	Así es como hacemos que a los que se exceden les parezcan hermosas sus acciones.
013_00	Ya destruimos a las generaciones anteriores a vosotros cuando fueron injustas. Les habían llegado sus mensajeros con las pruebas claras, pero ellos no quisieron creer.
013_01	Así es como recompensamos a la gente que hace el mal.
014_00	Luego, después de ellos, os hicimos sucesores en la tierra para ver cómo actuabais.
015_00	Y cuando se les recitan Nuestros signos claros, aquéllos que no esperan que han de encontrarse con Nosotros, dicen: Tráenos un Corán distinto o cámbialo por otro.
015_01	Di: No me pertenece modificarlo por iniciativa propia, yo sólo digo lo que se me inspira, pues temo, en verdad, si desobedezco a mi Señor, el castigo de un día terrible.
016_00	Di: Si Allah quisiera, no os lo recitaría ni os enseñaría con él. Pero ahí tenéis el hecho de que antes de él, he permanecido entre vosotros una vida. ¿No vais a razonar?
017_00	¿Y quién es más injusto que quien inventa una mentira sobre Allah o niega la verdad de sus signos?Es cierto que los que hacen el mal no prosperarán.
018_00	Adoran fuera de Allah lo que ni les daña ni les beneficia y dicen: Estos son nuestros intercesores ante Allah.
018_01	Di: ¿Vais a decirle a Allah algo que Él no sepa en los cielos y en la tierra? ¡Lejos está en Su gloria de lo que Le asocian!
019_00	Los hombres eran una única comunidad pero entraron en discordia; y si no hubiera sido por una palabra previa de tu Señor, se habría decidido entonces entre ellos con respecto a lo que discrepaban.
020_00	Y dicen: ¿Cómo es que se le ha hecho descender un signo de su Señor?Di: Realmente el No-Visto pertenece a Allah, esperad pues que yo también soy con vosotros de los que esperan.
021_00	Y cuando les hacemos probar a los hombres una misericordia después de haberles tocado el mal, intentan burl
021_01	ar Nuestros signos. Di: Allah es más Rápido en tramar. En verdad, Nuestros emisarios escriben lo que tramáis.
022_00	Él es Quien os hace viajar por la tierra y el mar. Y cuando os encontráis en las naves y éstas navegan con viento favorable, se regocijan* por ello;
022_01	pero cuando les llega un viento tempestuoso y las olas se alzan por todas partes y se sienten rodeados,
022_02	invocan a Allah con sincero reconocimiento y sumisión: Si nos salvas de ésta, seremos de los agradecidos.
023_00	Pero una vez que han sido salvados por Él, cometen actos de desobediencia en la tierra sin derecho. ¡Hombres! Toda la injusticia que cometáis será en contra de vosotros mismos.
023_01	Tendréis el disfrute de la vida de este mundo pero luego habréis de volver a Nosotros y entonces os haremos saber lo que hacíais.
024_00	La vida del mundo se parece al agua que hacemos caer del cielo y se mezcla con las plantas de la tierra de las que comen hombres y ganad
024_01	o. Y cuando la tierra ha florecido, se ha embellecido y sus habitantes se creen con poder sobre ella, viene entonces Nuestra orden de noche
024_02	o de día y la dejamos lisa como si el día anterior no hubiera sido fértil. Así es como explicamos los signos a la gente que reflexiona.
025_00	Y Allah invita a la Morada de la Paz y guía a quien quiere al camino recto.
026_00	Los que hicieron el bien tendrán lo más hermoso* y aún más.No cubrirá sus rostros ni la negrura ni la humillación; ésos son los compañeros del Jardín, allí serán inmortales.
027_00	Pero los que adquirieron las malas acciones tendrán como pago un mal equivalente y la humillación les cubrirá y no tendrán quien pueda impedirlo frente a Allah.
027_01	Será como si un fragmento de noche oscura les cubriera el rostro. Esos son los compañeros del Fuego donde serán inmortales.
028_00	Y el día en que los reunamos a todos y a continuación les digamos a los que fueron asociadores: Quedaos en vuestro sitio vosotros y aquéllos a los que asociasteis.
028_01	Entonces se hará distinción entre ellos. Dirán los asociados: No nos adorabais...
029_00	Allah es suficiente Testigo entre nosotros dos, de que éramos indiferentes a vuestra adoración.
030_00	Allí cada alma experimentará lo que hizo antes y serán devueltos a Allah, su Señor verdadero, y no podrán encontrar lo que inventaron.
031_00	Di: ¿Quién os provee desde el cielo y la tierra? ¿Quién tiene en Su poder el oído y la vista?
031_01	¿Quien hace salir lo vivo de lo muerto y lo muerto de lo vivo? ¿Quien rige el mandato? Dirán: Allah. Di entonces: ¿Es que no vais a temer?
032_00	Ese es Allah vuestro Señor, la Verdad.¿Y qué hay más allá de la verdad sino el extravío?, ¿cómo es que os apartáis?
033_00	Así se cumplirán las palabras de tu Señor contra los que se salieron de la obediencia. Ellos no creían.
034_00	Di: ¿Hay alguien entre ésos que asociáis que haya originado la creación y la repita de nuevo?Di: Allah origina la creación y después la repite. ¿Cómo podéis apartaros?
035_00	Di: ¿Hay alguno de ésos que asociáis que guíe a la verdad? Di: Allah guía a la verdad.
035_01	¿Acaso quien guía a la verdad no es más digno de ser seguido que quien, lejos de guiar, es él el guiado? ¿Qué os pasa?, ¿cómo juzgáis?
036_00	La mayor parte de ellos no siguen sino suposiciones. Y la suposición carece de valor ante la verdad. Allah sabe lo que hacen.
037_00	Este Corán no ha sido inventado fuera de Allah en nada, sino que es una confirmación de lo que ya había antes de él y una aclaración precisa del Libro, en el que no hay duda, procedente del Señor de los mundos.
038_00	Dicen: Lo ha inventado.Di: Traed una sura como él y llamad a quien podáis fuera de Allah si sois veraces.
039_00	Por el contrario niegan la verdad de aquello que no abarcan con su conocimiento y cuya interpretación no les ha sido dada.Así mismo negaron la verdad los que hubo antes que ellos y mira cuál fue el final de los injustos.
040_00	Algunos de ellos creen en él y otros no creen.Tu Señor es Quien mejor conoce a los corruptores.
041_00	Y si te tachan de mentiroso, di: Para mí serán mis obras y para vosotros las vuestras.Vosotros no seréis responsables de lo que yo haga ni yo seré responsable de lo que vosotros hagáis.
042_00	Y hay algunos de ellos que te prestan atención. ¿Pero acaso puedes hacer que los sordos oigan aunque no razonen?
043_00	Y los hay que te miran.¿Podrías tú acaso guiar a los ciegos aunque no vean?
044_00	Realmente Allah no perjudica en nada a los hombres, sino que son los hombres los injustos consigo mismos.
045_00	El día en que los reunamos, como si sólo hubieran permanecido* una hora del día, se reconocerán entre ellos; y los que negaron la verdad del encuentro con Allah se habrán perdido.
045_01	No estaban guiados.
046_00	Y tanto si te mostramos parte de lo que les hemos prometido como si te llevamos con Nosotros, ellos volverán a Nosotros. Después...Allah era Testigo de lo que hacían.
047_00	Cada comunidad tiene un mensajero. Y una vez que su mensajero les llega, se decide entre ellos con ecuanimidad y no son tratados injustamente.
048_00	Y dicen: ¿Cuándo se cumplirá esta promesa si decís la verdad?
049_00	Di: No tengo poder ni de dañarme ni de beneficiarme, es sólo lo que Allah quiera.
