001_00	Kaf, Ha, Ya, Ayn, Sad.
002_00	Este es el recuerdo de la misericordia de tu Señor con Su siervo Zakariyya.
003_00	Cuando llamó a su Señor en súplica escondida.
004_00	Dijo: ¡Señor mío! Mis huesos se han debilitado y mi cabello ha encanecido y nunca, Señor, en lo que Te he pedido, he sido decepcionado.
005_00	Temo por mis parientes cuando yo no esté; y mi mujer es estéril, concédeme de Tu parte un hijo
006_00	que sea mi heredero y herede de la familia de Yaqub y hazlo, Señor, complaciente.
007_00	¡Zakariyya! Te anunciamos un hijo cuyo nombre será Yahya, nadie antes de él ha recibido ese nombre.
008_00	Dijo: ¡Señor! ¿Y cómo tendré un hijo siendo mi mujer estéril y habiendo llegado yo, a causa de mi edad, a la decrepitud?
009_00	Dijo: Así lo ha dicho tu Señor, eso es simple para Mi; igual que una vez te creé y no eras nada.
010_00	Dijo: ¡Señor mío! Dáme un signo. Dijo: Tu signo será que durante tres noches y sin que tengas ningún impedimento para ello, no podrás hablar a la gente.
011_00	Así apareció ante su gente desde el lugar de oración y les dijo por señas que glorificaran mañana y tarde.
012_00	¡Yahya! ¡Toma el libro con fuerza! Y siendo un niño le dimos el juicio,
013_00	así como ternura procedente de Nosotros y pureza, y era temeroso (de su Señor).
014_00	Y bueno con sus padres, ni arrogante ni rebelde.
015_00	Paz sobre él el día en que nació, el día de su muerte y el día en que sea devuelto a la vida.
016_00	Y recuerda en el Libro a Maryam cuando se apartó de su familia retirándose en algún lugar hacia oriente.
017_00	Entonces se ocultó de ellos con un velo y le enviamos a Nuestro espíritu* que tomó la apariencia de un ser humano completo.
018_00	Dijo: Me refugio de ti en el Misericordioso, si tienes temor (de Él).
019_00	Dijo: Yo sólo soy el mensajero de tu Señor para concederte un niño puro.
020_00	Dijo: ¿Cómo habría de tener un niño si ningún mortal me ha tocado y no soy una fornicadora?
021_00	Dijo: Así lo ha dicho tu Señor: Eso es simple para Mí, para hacerlo un signo para los hombres y una misericordia de Nuestra parte.Es un asunto decretado.
022_00	Así pues lo concibió y se retiró a un lugar apartado.
023_00	Y le sobrevino el parto junto al tronco de la palmera.Dijo: ¡Ojalá y hubiera muerto antes de esto desapareciendo en el olvido!
024_00	Y la llamó desde abajo: No te entristezcas, tu Señor ha puesto un arroyo a tus pies.
025_00	Sacude hacia ti el tronco de la palmera y caerán dátiles maduros y frescos.
026_00	Come y bebe, y refresca tus ojos. Y si ves a algún humano dile: He hecho promesa de ayuno al Misericordioso y hoy no puedo hablar con nadie.
027_00	Y llegó a su gente llevándolo en sus brazos, dijeron: ¡Maryam! Has traído algo muy grave.
028_00	¡Hermana de Harún! Tu padre no ha sido un hombre de mal ni tu madre una fornicadora.
029_00	Entonces hizo un gesto señalándolo, dijeron: ¿Cómo vamos a hablar con un niño de pecho?
030_00	Dijo: Yo soy el siervo de Allah. Él me ha dado el Libro y me ha hecho profeta.
031_00	Y me ha hecho bendito dondequiera que esté y me ha encomendado la Oración y la purificación* mientras viva.
032_00	Y ser bondadoso con mi madre; no me ha hecho ni insolente ni rebelde.
033_00	La paz sea sobre mí el día en que nací, el día de mi muerte y el día en que sea devuelto a la vida.
034_00	Ese es Isa, el hijo de Maryam, la palabra de la Verdad, sobre el que dudan.
035_00	No es propio de Allah tomar ningún hijo. ¡Gloria a Él! Cuando decide algo, sólo dice: Sea, y es.
036_00	Y verdaderamente Allah es mi Señor y el vuestro, adoradlo pues. Este es un camino recto.
037_00	Pero los partidos que había entre ellos discreparon.¡Perdición para los que no creyeron porque habrán de comparecer en un día transcendente!
038_00	¡Cómo verán y cómo oirán el día que vengan a Nos! Pero hoy los injustos están en un claro extravío.
039_00	Y adviérteles del Día de la Lamentación cuando el asunto quede decidido. Y sin embargo ellos están descuidados y no creen.
040_00	Es cierto que Nosotros heredaremos la tierra y a quien haya en ella y a Nosotros regresarán.
041_00	Y recuerda en el Libro a Ibrahim, él fue realmente sincero y profeta.
042_00	Cuando dijo a su padre: ¡Padre mío! ¿Por qué adoras lo que ni oye ni ve ni te sirve de nada?
043_00	¡Padre! Me ha llegado un conocimiento que no te ha llegado a ti, sígueme y te guiaré por un camino llano.
044_00	¡Padre! No adores al Shaytán, pues ciertamente el Shaytán es rebelde con el Misericordioso.
045_00	¡Padre! Temo de verdad que te llegue un castigo del Misericordioso y seas de los que acompañen al Shaytán.
046_00	Dijo: ¿Acaso desprecias a mis dioses, Ibrahim? Si no dejas de hacerlo te lapidaré; aléjate de mí durante mucho tiempo.
