001_00	Te hemos dado una clara apertura*
002_00	Para que Allah te perdonara tus faltas pasadas y las que pudieran venir, completara Su gracia contigo y te guiara a un camino recto.
003_00	Y para que Allah te auxiliara con un auxilio definitivo.
004_00	Él es Quien hizo descender el sosiego a los corazones de los creyentes para afianzar su creencia.
004_01	Y a Allah pertenecen los ejércitos de los cielos y de la tierra. Allah es Conocedor, Sabio.
005_00	Para hacer entrar a los creyentes y a las creyentes en jardines por cuyo suelo corren los ríos, donde serán inmortales.
005_01	Y cubrir sus malas acciones. Eso es ante Allah un gran triunfo.
006_00	Y castigar a los hipócritas y a las hipócritas, a los asociadores y a las asociadoras que piensan mal de Allah. Sobre ellos se cernirá el mal.
006_01	Allah se ha enojado con ellos, los ha maldecido y les ha preparado Yahannam. ¡Qué mal lugar de retorno!
007_00	Y a Allah pertenecen los ejércitos de los cielos y de la tierra; Allah es Conocedor, Sabio.
008_00	Es cierto que te hemos enviado como testigo, anunciador de buenas nuevas y advertidor.
009_00	Para que creáis en Allah y en Su mensajero y lo asistáis, lo honréis y Lo glorifiquéis mañana y tarde*.
010_00	Los que te han jurado fidelidad, se la han jurado en realidad a Allah; la mano de Allah estaba sobre sus manos.
010_01	Y quien falte a su juramento* sólo lo hará en contra de sí mismo. Pero al que cumpla el compromiso con Allah le daremos una enorme recompensa.
011_00	Y te dirán los beduinos que se quedaron atrás: Tuvimos que ocuparnos de nuestras riquezas y de nuestras familias, pide perdón por nosotros. Dicen con sus lenguas lo que no hay en sus corazones.
011_01	Di: ¿Y quién tiene poder ante Allah si Él quiere perjudicaros o quiere beneficiaros? Allah conoce al detalle lo que hacéis.
012_00	Sin embargo pensasteis que el Mensajero y los creyentes no regresarían nunca a sus familias y esto cautivó vuestros corazones y pensasteis mal convirtiéndoos en gente perdida.
013_00	Y quien no ha creído en Allah y en Su mensajero... Hemos preparado para los incrédulos un fuego abrasador.
014_00	Y a Allah Le pertenece la soberanía de los cielos y de la tierra, perdona a quien quiere y castiga a quien quiere.Allah es Perdonador, Compasivo.
015_00	Y cuando hayáis partido a tomar posesión de los botines, dirán los que se quedaron atrás: Dejad que os sigamos. Querrán cambiar las palabras de Allah.
015_01	Di: No nos seguiréis; así lo dijo antes Allah. Y ellos dirán: Estáis recelosos. Sin embargo poco es lo que comprenden.
016_00	Di a los beduinos que se quedaron atrás: Se os llamará para que luchéis contra una gente de gran coraje o para que se sometan*, y si
016_01	obedecéis Allah os dará una hermosa recompensa; pero si os echáis atrás, como hicisteis antes, os castigará con un doloroso castigo.
017_00	No hay nada que reprochar al ciego, ni al cojo ni al enfermo.
017_01	Quien obedezca a Allah y a Su mensajero lo haremos entrar en jardines por cuyo suelo corren los ríos, pero al que se aparte, lo castigaremos con un doloroso castigo.
018_00	Realmente Allah quedó complacido con los creyentes cuando te juraron fidelidad bajo el árbol y supo lo que había en sus corazones e hizo descender sobre ellos el sosiego y los recompensó con una victoria cercana*.
019_00	Y muchos botines que habrían de conseguir.Allah es Poderoso, Sabio.
020_00	Allah os ha prometido numerosos botines que obtendréis y os ha anticipado éstos.
020_01	Y alejó de vosotros la mano de los hombres para que fuera un signo para los creyentes y para guiaros a un camino recto.
021_00	Y otros que no habríais podido conseguir*, pero Allah os los tiene reservados.Allah tiene poder sobre todas las cosas.
022_00	Y si os hubieran combatido los que se niegan a creer, habrían dado la espalda y después no habrían encontrado quien les auxiliara ni les defendiera.
023_00	Es la constante de Allah que ya sucedió otras veces, no encontrarás en la práctica de Allah ninguna alteración.
024_00	Y Él es Quien hizo que sus manos se alejaran de vosotros y las vuestras de ellos en la hondonada de Meca*, después de haberos dado la victoria sobre ellos. Allah ve lo que hacéis. Los cautivos fueron llevados a la presencia del Profeta, que Allah le dé Su gracia y paz, que los liberó y esto fue una de las causas del acuerdo de paz al que llegaron.]
025_00	Ellos son los que se negaron a creer y os apartaron de la Mezquita Inviolable y de las ofrendas, impidiendo que llegaran al lugar de sacrificio.
025_01	Y de no haber sido porque había hombres y mujeres creyentes que no conocíais, habríais atacado* y entonces, sin saberlo, habríais incurrido en delito a causa de ellos.
025_02	Para que Allah incluyera en Su misericordia a quien quiso. Pero si hubieran estado aparte de ellos, habríamos castigado a los que de ellos se negaron a creer con un doloroso castigo.
026_00	Cuando los que se negaban a creer pusieron la arrogancia en su corazón, la arrogancia de la ignorancia*, y Allah hizo descender Su sosiego sobre Su mensajero y sobre los creyentes y les infundió la palabra* del temor de Él de la que ellos eran más merecedores y más dignos.
026_01	Allah conoce cada cosa. También se refiere a la negativa de los Quraysh a que los musulmanes entraran ese año en Meca dejándolo aplazado para el siguiente.]
027_00	Así fue como Allah le confirmó la visión a Su mensajero con la verdad*: Entraréis en la Mezquita Inviolable si Allah quiere, a salvo, con la cabeza afeitada o los cabellos recortados y no tendréis nada que temer.
027_01	Él supo lo que vosotros no sabíais y dispuso, además de esto, una conquista cercana.
028_00	Él es Quien envió a Su enviado con la guía y la práctica de Adoración verdadera para hacerla prevalecer sobre todas las demás; y Allah basta como Testigo.
029_00	Muhammad es el mensajero de Allah, los que están con él son duros con los incrédulos y compasivos entre ellos, los ves inclinados y postrados buscando favor de Allah y aceptación, y en sus caras llevan la huella de la postración; así son descritos en la Torá.
029_01	Y su descripción en el Inyil es que son como una semilla que echa su brote, lo fortalece, cobra grosor y toma forma completa sobre su tallo maravillando a los sembradores.
029_02	Para con ellos indignar a los incrédulos.
029_03	Allah ha prometido a los que de ellos crean y practiquen las acciones de bien un perdón y una enorme recompensa. *
