001_00	Ha, Mim!
002_00	¡Por el Libro clarificador!
003_00	Lo hicimos descender en una noche bendita; en verdad somos advertidores.
004_00	En ella se distribuye todo asunto sabio.
005_00	Mandato que procede de Nos.Nosotros somos Quienes lo hemos enviado.
006_00	Como misericordia de tu Señor, Él es Quien oye, Quien sabe.
007_00	El Señor de los cielos y de la tierra y de lo que entre ambos hay, si tenéis certeza.
008_00	No hay dios excepto Él, da la vida y da la muerte, es vuestro Señor y el Señor de vuestros primeros padres.
009_00	Sin embargo ellos juegan en la duda.
010_00	Aguarda el día en que el cielo aparezca con un humo evidente
011_00	que envolverá a los hombres. Ese será un día doloroso.
012_00	¡Señor nuestro! Aparta de nosotros el castigo, realmente somos creyentes.
013_00	Pero cómo recordarán si ya les vino un mensajero explícito
014_00	y se apartaron de él y dijeron: Es un poseso que recibe instrucciones.
015_00	Apartaremos el castigo por un tiempo breve, puesto que reincidiréis.
016_00	El día en que acometamos con máxima violencia, en verdad que nos vengaremos.
017_00	Ya antes de vosotros habíamos puesto a prueba a la gente de Firaún, a la que le llegó un noble mensajero:
018_00	Dejad marchad conmigo a los siervos de Allah, realmente soy para vosotros un mensajero fiel.
019_00	No os rebeléis contra Allah, os traigo una prueba evidente.
020_00	Me refugio en mi Señor y en el vuestro de que me lapidéis.
021_00	Y si no me creéis, dejadme en paz.
022_00	Y rogó a su Señor: ¡Estos son gente de mal!
023_00	¡Sal de noche con Mis siervos porque vais a ser perseguidos!
024_00	Y deja el mar abierto, porque van a ser un ejército anegado.
025_00	¡Cuántos jardines y fuentes dejaron!
026_00	¡Cuántos cultivos y qué noble posición!
027_00	¡Y qué deleites de los que gozaban!
028_00	Así fue. Lo dejamos en herencia para otra gente.
029_00	Ni el cielo ni la tierra lloraron por ellos ni se les esperó.
030_00	Así fue como salvamos a los hijos de Israel del castigo infame
031_00	de Firaún. En verdad él destacaba entre los que se exceden.
032_00	Y los elegimos, en virtud de un conocimiento, por encima de todos los mundos*.
033_00	Y les dimos signos que constituían una evidencia.
034_00	Y seguro que éstos van a decir:
035_00	No existe mas que nuestra primera muerte y no se nos devolverá a la vida.
036_00	Haced que vengan nuestros antepasados si es verdad lo que decís.
037_00	¿Pero es que son acaso mejores que la gente de Tubba* y sus antecesores a los que destruimos? Ellos hicieron el mal.
038_00	Y no hemos creado los cielos y la tierra y lo que entre ambos hay para jugar.
039_00	No los creamos sino con la verdad, sin embargo la mayoría de ellos no sabe.
040_00	Es verdad que el Día de la Distinción será el término fijado para todos ellos.
041_00	El día en que ningún amigo cercano podrá hacer nada por el otro ni habrá auxilio.
042_00	Sólo para aquel de quien Allah tenga misericordia; es cierto que Él es Poderoso, Compasivo.
043_00	Ciertamente el árbol de Zaqqum*
044_00	Será el alimento del malvado.
045_00	Cual metal fundido, se derretirá en sus vientres
046_00	como el hervor del agua hirviendo.
047_00	¡Agarradlo y llevadlo a rastras en medio del Yahim!
048_00	Luego, verted sobre su cabeza parte del tormento del Yahim.
049_00	¡Gústalo! Tú que eres el poderoso y noble*.
050_00	Esto es, en verdad, aquello de lo que dudabais.
051_00	Ciertamente los temerosos (de su Señor) estarán en una situación segura:
052_00	En jardines y manantiales.
053_00	Vestirán de raso y brocado y estarán enfrente unos de otros*.
054_00	Así es. Y los uniremos a unas de piel blanquísima y grandes y hermosos ojos.
055_00	Pedirán toda clase de frutas; a salvo.
056_00	En ellos no experimentarán la muerte, sólo la que ya conocieron*. Y Él los habrá librado del castigo del Yahim.
057_00	Favor de su Señor. Y ese es el gran triunfo.
058_00	Y realmente lo* hemos hecho fácil en tu lengua para que pudieran reflexionar.
059_00	Así pues, espera porque ellos están en espera.
