001_00	Bendito sea Aquel en cuyas manos está la Soberanía y es Poderoso sobre todas las cosas.
002_00	Quien creó la muerte y la vida para probaros y ver cuál de vosotros sería mejor en obras. Y es el lrresistible, el Perdonador.
003_00	El que creó siete cielos, uno sobre el otro.No verás en la creación del Misericordioso ninguna imperfección. Vuelve la vista: ¿Ves algún fallo?
004_00	Vuelve a mirar una y otra vez, la vista regresará a ti derrotada y exhausta.
005_00	Hemos adornado el cielo de este mundo con luceros, dispuestos para lapidar a los demonios. Y a ellos les hemos preparado el castigo del Sair.
006_00	Y los que se niegan a creer en su Señor, tendrán el castigo de Yahannam. ¡Qué mal lugar de destino!
007_00	Cuando sean arrojados en él le escucharán como un horrible rebuzno y estará hirviendo.
008_00	A punto de reventar de rabia.Cada vez que algún grupo sea arrojado en él, les preguntarán sus guardianes: ¿Acaso no os llegó uno que os advirtió?
009_00	Dirán: Sí, nos llegó un advertido, pero negamos la verdad y dijimos: Allah no ha hecho descender nada; no estáis sino en un extravío.
010_00	Y dirán: Si hubiéramos escuchado o hubiéramos tenido juicio, no estaríamos entre los compañeros del Asir.
011_00	Y reconocerán sus faltas.¡Fuera con los compañeros de Sair!
012_00	Es cierto que los que temen a Allah cuando nadie los ve*, tendrán perdón y una gran recompensa.
013_00	Y tanto si guardáis en secreto lo que decís como si lo divulgáis... Él es Conocedor de lo que encierran los pechos.
014_00	¿No habría de tener conocimiento Aquel que ha creado y es el Sutil, al que nada se Le oculta?
015_00	Él es Quien ha hecho la tierra dócil para vosotros, caminad pues por sus confines y comed de Su provisión.A Él es el retorno.
016_00	¿Es que estáis a salvo de que Quien está en el cielo no haga que la tierra se hunda con vosotros en un temblor?
017_00	¿O estáis a salvo acaso de que Quien está en el cielo no envíe una pedrisca sobre vosotros? Entonces sabríais cómo es Mi advertencia.
018_00	Ya habían negado la verdad los que os precedieron. Y cómo fue Mi reprobación.
019_00	¿Es que no han visto las aves sobre ellos y cómo mueven sus alas? No las sostiene sino el Misericordioso.Realmente Él todo lo ve.
020_00	¿En quién tendréis un soporte que os auxilie, sino en el Misericordioso? Los incrédulos no están seducidos sino por un engaño.
021_00	¿Y quién será el que os provea, si Él retiene Su provisión?Sin embargo persisten en la insolencia y en el rechazo.
022_00	¿Acaso quien camina cabizbajo y tropezando de frente es como el que camina derecho por un camino recto?
023_00	Di: Él es Quien os ha creado y os ha dado el oído, la vista y el corazón. ¡Qué poco es lo que agradecéis!
024_00	Di: Él es Quien os ha repartido por la tierra y para Él seréis reunidos.
025_00	Y dicen: ¿Cuándo se cumplirá esta promesa si es verdad lo que decís?
026_00	Di: El conocimiento está junto a Allah; yo sólo soy un advertidor explícito.
027_00	Cuando la vean próxima, el mal se reflejará en el rostro de los que se negaron a creer y alguien dirá: Esto es lo que estabais pidiendo.
028_00	Di: Decidme: ¿Y si Allah me destruyera a mí y a los que conmigo están o se apiadara de nosotros? ¿Quién librará a los incrédulos de un doloroso castigo?
029_00	Di: Él es el Misericordioso, en Él creemos y en Él nos abandonamos.Ya sabréis quién es el que está en un claro extravío.
030_00	Di: ¿Qué haríais si vuestra agua se quedara en la profundidad de la tierra? ¿Quién podría traeros agua de manantial?
