001_00	Alif, Lam, Mim.
002_00	Allah, no hay dios sino Él, el Viviente, el Sustentador.
003_00	Ha hecho que descienda sobre ti el Libro con la Verdad confirmando lo que ya había, al igual que hizo descender la Torá y el Inyil*
004_00	Anteriormente como guía para los hombres. Y ha hecho descender el Discernimiento.Es cierto que los que niegan los signos de Allah tendrán un fuerte castigo.Allah es Irresistible, Dueño de venganza.
005_00	No hay nada, ni en la tierra ni en el cielo, que se esconda a Allah.
006_00	Él es Quien os forma en las matrices como quiere.No hay dios sino Él, el Poderoso, el Sabio.
007_00	Él es Quien ha hecho descender sobre ti el Libro, en el que hay signos (aleyas) precisos que son la madre del Libro y otros ambiguos.
007_01	Los que tienen una desviación en el corazón siguen lo ambiguo, con ánimo de discordia y con pretensión de interpretarlo, pero su interpretación sólo Allah la conoce.
007_02	Y los arraigados en el conocimiento dicen: Creemos, en él, todo procede de nuestro Señor. Pero sólo recapacitan los que saben reconocer lo esencial.
008_00	¡Señor nuestro! No desvíes nuestros corazones después de habernos guiado y concédenos misericordia procedente de Ti, ciertamente Tú eres el Dador Generoso.
009_00	¡Señor nuestro! Es verdad que vas a reunir a los hombres en un día sobre el que no hay duda.Allah no falta a la promesa.
010_00	Es cierto que a los que se niegan a creer, de nada les servirán sus riquezas y sus hijos ante Allah; son combustible del Fuego.
011_00	Tal y como ocurrió con la familia de Firaún y con quienes les precedieron: Negaron la verdad de Nuestros signos y Allah los agarró a causa de sus transgresiones. Allah es Fuerte castigando.
012_00	Di a quienes se niegan a creer: Seréis vencidos y reunidos (para ser llevados) a Yahannam. ¡Qué mal lecho!
013_00	Hubo un signo para vosotros en los dos ejércitos que se enfrentaron. Unos combatían en el camino de Allah y a ojos de los otros, que eran incrédulos, les parecieron el doble que ellos.
013_01	Y Allah apoya con Su ayuda a quien Él quiere. En eso hay una lección para los de entendimiento. Allah ayuda con Su auxilio a quien quiere.
