001_00	(خداوند) رحمن
002_00	قرآن را تعلیم داد.
003_00	انسان را آفرید .
004_00	به او (نطق و) سخن گفتن آموخت.
005_00	خورشید وماه به حساب منظم (و دقیقی) در حرکتند.
006_00	وگیاه( ) و درخت (برای او) سجده می کنند.
007_00	و آسمان را برافراشت ومیزان را قرار داد.
008_00	تا در میزان تجاوز نکنید.
009_00	و وزن را بر اساس عدل بر پا دارید و میزان را کم نکنید.
010_00	و زمین را برای مردمان قرار داد (وگسترانید).
011_00	که در آن میوه ها ونخلهای خوشه دار است.
012_00	و (در آن) دانۀ برگ دار (که بصورت کاه در می آید) و ریحان (وگیاهان خوشبو) است.
013_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!( )
014_00	انسان را از گِل خشکیده ای چون سفال آفرید,
015_00	و جن را از شعله ای از آتش خلق کرد( ).
016_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
017_00	(او) پروردگار دو مشرق و پروردگار دو مغرب است.
018_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
019_00	دو دریا (ی مختلف شور وشیرین) را به جریان آورد در حالی که با یکدیگر بر خورد می کنند.
020_00	میان آن دو حایلی است که یکی بر دیگری غلبه نمی کند. (و در هم نیا میزند).
021_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
022_00	از آن دو (دریا) مروارید ومرجان بیرون می آید.
023_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
024_00	و برای اوست کشتیهایی همچون کوه که در دریا به حرکت در می آیند.
025_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
026_00	هر چه بر روی آن (= زمین) است, فانی شود.
027_00	و (تنها) روی پروردگار ذو الجلال وگرامی توست که باقی می ماند.
028_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
029_00	(تمام) کسانی که در آسمانها وزمین هستند از او سؤال (ودرخواست نیاز) می کنند, و او هر روز در کاری است.
030_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
031_00	ای دوگروه (انس وجن) بزودی به (حساب) شما می پردازیم.
032_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
033_00	ای گروه جن وانس اگر می توانید از کناره ها (و مرزهای) آسمانها وزمین بگذرید, پس بگذرید, ولی جز با غلبه و نیرو (بی فوق العاده) نمی توانید بگذرید (که شما ندارید).
034_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
035_00	شعله هایی از آتش, ودود بر شما (جن وانس) فرستاده می شود پس نمی توانید از خودتان دفاع کنید.
036_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
037_00	پس آنگاه که آسمان بشکافد, پس همچون چرم (و روغن مذاب) سرخ گون شود (در آن روز قیامت حوادث هولناکی رخ می دهد).
038_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
039_00	پس در آن روز (قیامت) هیچ جن وانسی از گناهش پرسیده نشود (چون با علامات چهره شان شناخته می شوند).
040_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
041_00	گناهکاران از چهره هایشان شناخته می شوند, پس (آنها را) با موی جلو سر وپاها (یشان) گرفته (وبه دوزخ افکنده) می شوند.
042_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
043_00	این (همان) جهنمی است که گناهکاران آن را انکار می کردند.
044_00	(امروز آنها) در میان آن و آب سوزان می گردند.
045_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
046_00	وبرای کسی که از ایستادن در پیشگاه پروردگارش بترسد, دو باغ (بهشتی) است( ).
047_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
048_00	(آن دو باغ) دارای (درختان و) شاخسارهای بسیار است.
049_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
050_00	در آن دو (باغ) دو چشمه روان است.
051_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
052_00	در آن دو (باغ) ازهر میوه ای دو نوع است.
053_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
054_00	(بهشتیان) بر فرشهایی که آسترشان از دیبای ضخیم است, تکیه کرده اند, ومیوه ی (آن) دوباغ) (بهشتی) در دسترس است.
055_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
056_00	در آن (کاخها و باغهای بهشتی) حوریانی دیده فروهشته هستند, که هیچ انس وجن پیش از اینها (= مؤمنان) با آنان تماس نگرفته است.
057_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
058_00	گویی آنها (= حوریان) یاقوت ومرجانند.
059_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
060_00	آیا پاداش نیکی جز نیکی است؟!
061_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
062_00	وغیر از آن دو (باغ) دو باغ (بهشتی) دیگر است.
063_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
064_00	(آن دو باغ) سر سبز که (از شدت سبزی) به سیاهی متمایل است.
065_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
066_00	در آن دو (باغ بهشتی) دو چشمۀ جوشان است.
067_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
068_00	در آن دو (باغ) میوه ونخل وانار است.
069_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
070_00	در آن (کاخها وباغهای بهشتی زنانی) نیک سیرت وصورت هستند.
071_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
072_00	حورانی که در خیمه ها (ی بهشتی مستور) نگاه داشته شده اند.
073_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
074_00	(دو شیزگانی که) هیچ انس وجن پیش از اینها (= مؤمنان) با آنان تماس نگرفته است.
075_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
076_00	(در حالی که بهشتیان) بر بالشهای سبز وفرشهای نیکو تکیه زده اند,
077_00	پس (ای گروه انس وجن) کدامین نعمتهای پروردگارتان را تکذیب می کنید؟!
078_00	(ای پیامبر) نام پروردگار صاحب جلال وگرامی تو با برکت وفرخنده است.
