001_00	حم (حا . میم).
002_00	سوگند به کتاب روشنگر.
003_00	بی گمان ما این (کتاب) را قرآنی عربی قرار دادیم, شاید که شما (آن را) در یابید.
004_00	و به راستی که آن در ام الکتاب (= لوح محفوظ) نزد ما بلند مرتبه (و) حکمت آمیزاست.
005_00	آیا بدان سبب که شما (مشرکان) گروهی اسرافکارید, اعراض کنان این پند (قرآن) را از شما بگیریم؟!.
006_00	و چه بسیار پیامبرانی که (برای هدایت) به میان پیشینیان فردستادیم.
007_00	وهیچ پیامبری به سوی آنان نیامد, مگر این که اورا مسخره (واستهزاء) می کردند.
008_00	پس ما (کافرانی) نیرومند تر از اینها (= کفار قریش) را هلاک کردیم, و داستان پیشینیان گذشت.
009_00	(ای پیامبر) اگر از آنها (= مشرکان) بپرسی: «چه کسی آسمانها وزمین را آفریده است؟» یقیناً می گویند: «(خداوند) پیروزمند دانا آنها را آفریده است».
010_00	(همان) کسی که زمین را برای شما بستر قرار داد, و برای شما در آن را ههایی قرار داد, باشد که هدایت شوید.
011_00	و (آن) کسی که از آسمان آبی به اندازه (معین) فرو فرستاد, پس با آن (آب) سر زمین مرده را زنده کردیم شما (نیز) این گونه (پس از مرگ, از گورها) بیرون آورده می شوید.
012_00	و(آن) کسی که همه ی اصناف را (جفت) آفرید, وبرای شما از کشتی وچهار پایان مرکبهایی قرار داد که (بر آنها) سوار شوید.
013_00	تا بر پشتشان (درست) قرار گیرید, آنگاه چون بر آنها قرار گرفتید (وسوار شدید) نعمت پروردگارتان را یاد کنید, وبگویید: «پاک ومنزه است کسی که این را برایمان مسخر گرداند, و(گرنه) ما توانایی آن را نداشتیم,
014_00	وما به سوی پروردگارمان باز می گردیم».
015_00	وآنها برای او (= خداوند) از میان بندگانش جزئی (= فرزندی) قرار دادند, بی گمان انسان نا سپاس آشکاری است.
016_00	آیا از (میان) آنچه می آفریند دختران را (برای خود) انتخاب کرده است, وپسران را برای شما بر گزیده است؟!
017_00	وچون یکی از آنها را به (تولد) همان چیزی که برای (خدای) رحمان نسبت داده, مژده دهند, (از شدت ناراحتی) چهره اش سیاه گردد, واو خشمگین شود.
018_00	آیا کسی را که در زیور (وزینت) پرورده می شود, و او در (هنگام) جدال (قادر به) آشکار (وتبین مقصودش) نیست (به خدا نسبت می دهید؟!).
019_00	و آنها فرشتگان را که بندگان (خدای) رحمان هستند, مونث پنداشتند, آیا به هنگام آفرینش آنها (آنجا) حاضر بوده اند؟ به زودی گواهی آنان نوشته خواهد شد, و(ازآن) باز خواست می شوند.
020_00	و گفتند: «اگر (خدای) رحمان می خواست, ما آنها را پرستش نمی کردیم» آنان به این (امر) هیچ گونه علمی ندارند, آنان جز دروغ (چیزی) نمی گویند.
021_00	آیا پیش از این (قرآن) کتابی به آنان داده ایم پس آنان به آن تمسک می جویند؟!
022_00	بلکه می گویند: «بی گمان ما نیاکان خود را بر آیینی یافتیم, وما (نیز) از پی آنها (می رویم و) هدایت یافته ایم».
