001_00	سوگند به آغاز روز.
002_00	و سوگند به شب هنگامی که آرام گیرد.
003_00	(که) پروردگارت تو را وانگذاشته و (بر تو) خشم نگرفته است.
004_00	ومسلماً آخرت برای تو از دنیا بهتراست.
005_00	وبزودی پروردگارت به تو (آن قدر) عطا کند که خشنود گردی.
006_00	آیا تو را یتیم نیافت, پس پناه داد؟!
007_00	و تو را (راه نا یافته و) سرگشته یافت, پس هدایت کرد,
008_00	و تو را فقیر یافت, پس بی نیاز نمود,
009_00	پس (توهم) یتیم را میازار.
010_00	و سؤال کننده را مران (و با او خشونت نکن).
011_00	و (وسپاس بگفرار) نعمتهای پروردگارت را باز گوکن.
