001_00	فرمان خدا فرا رسیده است ، پس برای آن شتاب نکنید ، او پاک وبرتر است از آنچه شریک او قرار می دهند .
002_00	(خداوند) فرشتگان را با روح (= وحی) به فرمان خویش بر هرکس از بندگانش بخواهد نازل می کند ، (با این پیام) که (مردم را) هشدار دهید ، (و بگویید:) معبودی (به حق) جز من نیست ، پس از من بترسید .
003_00	آسمانها و زمین را به حق آفرید ، از آنچه که شریکش می سازند برتر است .
004_00	انسان را از نطفه آفرید ، آنگاه او (دشمنی) ستیزه جویی آشکار شده است .
005_00	و چهار پایان را برای شما آفرید ، که در آنها پوشش (گرم) و منافع (دیگری) است ، و از(گوشت ، برخی) آنها می خورید .
006_00	و در آنها برای شما (زینت و) زیبائی است ، چون شامگاهان (از صحرا) باز می گردانید، وچون صبحگاهان (به صحرا) می فرستید .
007_00	و (آنها) بارهای سنگین شما را به شهری که جز با رنج و مشقت زیاد ، به آن نمی رسیدید ، حمل می کنند ، بی گمان پروردگارتان روؤف مهربان است .
008_00	و (همچنین) اسبان واستران و خران را (آفرید) تا برآنها سوار شوید ، و (نیز برای شما) زینت است ، و چیزهایی را می آفریند که نمی دانید .
009_00	و برخداست که راه راست را (به بند گانش) بنمایاند ، و برخی از آن راهها بیراهه (و کج) است ، و اگر می خواست همه ی شما را هدایت می کرد .
010_00	او کسی است که از آسمان برایتان آبی نازل کرد ، که از آن (آب) آشامیدنی است ، و از آن (گیاهان و) درختانی (می روید) که (حیوانات خود را) در آن می چرانید .
011_00	(خداوند) با آن (آب) برای شما زراعت و زیتون و (درختان) خرما و تاکستانها ، و از همه نوع میوه ها می رویاند. بی گمان در این نشانه ای است برای گروهی که اندیشه می کنند .
012_00	و شب و روز و خورشید و ماه را برای شما مسخر کرد ، و ستارگان (نیز) به فرمان او مسخر هستند ، بی تردید در این نشانه ای است برای گروهی که خرد می ورزند .
013_00	و (همچنین مسخر گرداند) آنچه را که برای شما در زمین به رنگهای گوناگون آفرید ، مسلماً در این نشانه ای است برای گروهی که پند می پذیرند.
014_00	و او کسی است که دریا را مسخر ساخت ، تا از آن گوشت تازه بخورید ، و زینتی (مانند مروارید) که آن را بپوشید؛ بیرون آرید ،
014_01	و کشتیها را می بینی که در آن روانند (و سینه ی دریا را می شکافند) و تا از فضل او (= خداوند) روزی بجویید ، و باشد که شکر گزارید.
015_00	و در زمین کوههای استوار (و محکمی) افکند ، که مبادا شما را بلرزاند ، و نهرها و راهها (پدید آورد) شاید هدایت شوید .
016_00	و (نیز) نشانه ها (قرار داد) و (در هنگام شب) بوسیله ستارگان راه می یابند .
017_00	آیا کسی که می آفریند ، مانند کسی است که نمی آفریند ؟! آیا پند نمی گیرید ؟!
018_00	و اگر (بخواهید) نعمت (های) خدا را بشمارید ، نمی توانید آن را بشمارید ، بی تردید خداوند آمرزنده ی مهربان است .
