001_00	(اعلام) بیزاری از سوی خدا وپیامبرش, به کسانی از مشرکان است که (با آنها) پیمان بسته اید.
002_00	پس چهارماه (مهلت دارید که) در زمین سیر کنید, وبدانید که شما نمی توانید خدا را نا توان سازید, وهمانا خداوند خوار و رسوا کنندۀ کافران است.
003_00	و (این) اعلامی است از جانب خدا وپیامبرش به مردم, در روز حج اکبر ( = روز عید قربان) که: خداوند و پیامبرش از مشرکان بیزارند, پس اگر توبه کنید, برا
003_01	ی شما بهتراست, واگر روی بگردانید (وسر پیچی کنید) پس بدانید که شما نمی توانید خدا را نا توان سازید, وکسانی که کافر شدند به عذاب دردناکی بشارت ده!.
004_00	مگر کسانی از مشرکان که با آنها پیمان بسه اید, آنگاه آنها چیزی (از آن در حق شما) فرو گذارنکردند, وکسی را بر (علیه) شما یاری ندادند,
004_01	پس پیمان آنها را تا مدت (پیمان) شان به آخر (واتتمام) برسانید, همانا خداوند پرهیزگاران را دوست دارد.
005_00	پس هنگامی که ماههای حرام پایان پذیرفت؛ مشرکان را هر کجا یافتید, بکشید, وآنها را (اسیر) بگیرید, وآنها را محاصره کنید, ودر هر کمینگاه, بر سر راهشان بنشینید,
005_01	پس اگر توبه کردند, ونماز را برپا داشتند, وزکات را پرداختند؛ آنها را رها کنید, بی گمان خداوند آمرزندۀ مهربان است.
006_00	واگر یکی از مشرکان از تو پناه خواست, پس اورا پناه بده, تا سخن خدا را بشنود, سپس اورا به محل امنش برسان, این بدان سبب است که آنها گروهی اند که نمی دانند.
007_00	چگونه برای مشرکان نزد خدا ونزد رسولش (عهد و) پیمانی خواهد بود, مگر کسانی که نزد مسجد الحرام با آنها پیمان بستید,
007_01	تا زمانی که (برپیمانشان) وفا دارماندند, شما نیز(بر سرپیمانتان) وفادارباشید, بی گمان خداوند پرهیزگاران را دوست دارد.
008_00	چگونه (پیمانی باشد) درحالی که اگر بر شما پیروز شوند, نه خویشاوندی را رعایت می کنند و نه پیمان را؟! شما را با زبان های شان خشنود می کنند, و(لی) دلهایشان ابا دارد, وبیشتر شان نافرمانند.
009_00	آیات خدا را به بهای اندکی فروختند, پس (مردم را) از راه او (= خدا) بازداشتند, آنها کار بدی انجام می دادند!
010_00	در بارۀ هیچ فرد مؤمنی خویشاوندی وپیمان را رعایت نمی کنند, وآنان مردمی تجاوز کاراند.
011_00	پس اگر توبه کنند, ونماز را بر پا دارند, وزکات را بدهند, برادران دینی شما هستند, وما آیات خود را برای گروهی که می دانند بیان می کنیم.
012_00	واگر سوگند (وپیمانهای) خود را پس از عهد (وبیمان) خویش شکستند, ودر دین شما طعن زدند, پس با پیشوایان کفر جنگ کنید, زیرا آنها عهد (وپیمانی) ندارند, باشد که (از کردار خود) دست بر دارند.
013_00	آیا با گروهی که پیمانهای خود را شکستند, وقصد اخراج پیامبر کردند, نمی جنگید؟! درحالی که آنها نخستین بار (جنگ با شما را) آغاز کردند, آیا از آنها می ترسید؟!
013_01	پس خداوند سزاوارتر است که ازاوبترسید, اگرایمان دارید.
014_00	با آنها بجنگید, تا خداوند با دستان شما عذابشان کند, وآنان را رسوا سازد, وشما را بر آنها پیروزی دهد, وسينۀ گروه مؤمنان راشفا می بخشد.
015_00	وخشم دلهایشان را از میان می برد, وخداوند توبه ی هرکس را بخواهد می پذیرد, وخداوند دانای حکیم است.
016_00	آیا گمان کردید که (به حال خود) رها می شوید؛ در حالی که خداوند هنوز کسانی را که از شما جهاد کردند, وغیر از الله ورسولش ومؤمنان را همراز (خویش) نگرفته اند (از دیگران) مشخص نکرده است؟!
016_01	وخداوند به آنچه انجام می دهید؛ آگاه است.
017_00	مشرکان را (سزاوار) نیست, که مساجد خدا را آباد کنند, در حالی که به کفر خویش گواهی می دهند, آنها اعمالشان نابود (وحبط) شده, ودر آتش (جهنم) جاودانه خواهند ماند.
018_00	مساجد خدا را فقط کسی آباد می کند که به خدا وروز آخرت ایمان آورده, ونماز را بر پا دارد, وزکات را بدهد, و جز از خدا نترسد,
018_01	امید است که اینان از هدایت یا فتگان باشند.
019_00	آیا آب دادن به حجاج, وآباد ساختن مسجد الحرام را, همچون (عمل) کسی که به خدا وروز قیامت ایمان آورده, ودر راه خدا جهاد کرده است, برابر می گیرید؟! (خیر, آنها) نزد خداوند برابر نيستند،
019_01	وخداوند گروه ستمکاران را هدایت نمی کند.
020_00	(مقام) کسانی که ایمان آوردند, وهجرت کردند, وبا اموالشان وجانهایشان در راه خدا جهاد کردند, نزد خدا برتر (وبلند مرتبه تر) است, وآنها همان رستگارانند.
021_00	پروردگارشان آنها را به رحمتی از نزد خود وخشنودی (خویش) وبه باغهایی (از بهشت) که درآن نعمتهای جاویدانه دارند, بشارت می دهد.
022_00	همواره در آن جاودانند, بی گمان اجر (وپاداش) بزرگ نزد خداوند است.
023_00	ای کسانی که ایمان آورده اید! پدران خود وبرادران خود را دوستان (واولیاء) خود قرار ندهید, اگر کفر را بر ایمان ترجیح دادند,
023_01	وکسانی از شما که آنان را دوست (وولی) خود قرار دهند, پس آنان ستمکارانند.
024_00	بگو: «اگر پدرانتان, وفرزندانتان, وبرادرانتان وهمسرانتان, وخویشاوندانتان, واموالی که به دست آورده اید, وتجارتی که از کساد آن می ترسید, وخانه هایی که بدان دلخوش هستید, در نزد شما از خدا وپیامبرش وجهاد در راه او محبنوتر است,
024_01	پس منتظر باشید, تا خداوند فرمان (عذاب) خویش را بیاورد, وخداوند گروه نافرمان را هدایت نمی کند».
025_00	به راستی خداوند شما را در جاهای زیادی یاری کرد, (و پیروزی بخشید) ودر روز حنین (نیزیاری کرد) آنگاه که فزونی جمعیت تان شما را شگفت آورده بود (ومغرور ساخت) پس سودی به حالتان نداشت,
025_01	وزمین با همۀ فراخی و وسعتش بر شما تنگ آمد, وسپس پشت (به میدان جنگ) نموده, فرار کردید.
026_00	آنگاه خداوند آرامش خود را بر پیامبرش وبر مؤمنان نازل کرد, ولشکریانی فرستاد که شما آنها را نمی دیدید, وکسانی که کافر شدند عذاب (ومجازات) کرد, واین است کیفر کافران.
027_00	سپس خداوند بعد از آن توبه ی هر کس را بخواهد می پذیرد, وخداوند آمرزندۀ مهربان است.
028_00	ای کسانی که ایمان آورده اید! بی گمان مشرکان پلیداند, پس نباید بعد از امسال, به مسجد الحرام نزدیک شوند,
028_01	واگر از فقر (وتنگدستی) می ترسید, پس هرگاه خدا بخواهد شما را از فضل خود بی نیازتان می سازد, بی گمان خداوند دانای حکیم است.
