001_00	پر برکت وبزرکواراست کسی که فرمانروایی جهان هستی به دست اوست, و او بر هر چیز تواناست.
002_00	(همان) کسی که مرگ وزندگی را آفرید تا شما را بیازماید که کدام یک از شما نیکو کار تراست, و او پیروزمند بخشنده است.
003_00	(آن) کس که هفت آسمان را بر فراز یکدیگر آفرید, در آفرینش (خدای) رحمان هیچ خلل وبی نظمی نمی بینی, باز چشم بگردان, آیا نقصانی (وشکافی) می بینی؟
004_00	سپس بار دیگر چشم بگردان, چشم تو در حالی که خسته ونا توان است به سوی تو باز می گردد.
005_00	به راستی ما آسمان دنیا را با چراغها آراستیم, وآنها را برای راندن شیاطین قرار دادیم, وبرای آنها عذاب (آتش) سوزان آماده ساختیم.
006_00	وبرای کسانی که به پروردگارشان کافر شدند عذاب جهنم است, وچه بد جایگاهی است.
007_00	هنگامی که در آن انداخته شوند, از آن نفره ای (وحشتناک) می شنوند, در حالی که آن می جوشد.
008_00	از شدت خشم نزدیک است پاره پاره شود, هرگاه که گروهی در آن انداخته می شوند, نگهبانانش از آنها می پرسند: «آیا بیم دهندۀ به سراغ شما نیامد؟!».
009_00	گویند: «چرا, بیم دهنده به سوی ما آمد, پس ما اورا تکذیب کردیم, وگفتیم: هرگز خداوند چیزی نازل نکرده است, شما جز در گمراهی بزرگ نیستید».
010_00	وگویند: «اگر ما می شنیدیم یا تعقل می کردیم, در (زمرۀ) دوزخیان نبودیم».
011_00	پس آنها به گناه خود اعتراف کنند, دور باد دوزخیان از رحمت خداوند.
012_00	بی گمان کسانی که درنهان از پروردگارشان می ترسند, آنان آمرزش و پاداش بزرگی دارند.
013_00	گفتار خود را پنهان دارید یا آن را آشکار سازید, (به هر حال) او به آنچه در دلهاست آگاه است.
014_00	آیا کسی که (همۀ موجودات را) آفریده است, (از حال آنها) نمی داند؟ در حالی که او باریک بین وآگاه است.
015_00	او کسی است که زمینن را برای شما رام گردانید, پس در گوشه ونواحی آن راه بروید واز روزی او بخورید, وبازگشت (همه) به سوی اوست.
016_00	آیا خود را از کسی که در آسمان است, در امان می دانید, که (فرمان دهد) زمین شما را فرو برد, پس آن ناگهان به لرزش در آید؟
017_00	یا خودرا از کسی که در آسمان است, در امام می دانید, که تند بادی همراه با سنگریزه بر شما فرستد؟ پس بزودی خواهید دانست که هشدار من چگونه است!
018_00	وبه راستی کسانی که پیش از آنان بودند (نیز دعوت پیامبران را) تکذیب کردند, پس عقوبت مذ چگونه بود!
019_00	آیا به پرندگانی که بر فواز سرشان است, که گاهی بالهای خود را می گشانید, وگاهی فرو می بندند, نگاه نکردند؟! جز (خدای) رحمان (کسی) آنها را (بر فراز آسمان) نگاه نمی دارد, بی گمان او به هر چیز بیناست.
020_00	آیا این چه کسی است آن که لشکر شما ست, که به جای (خدای) رحمان شما را یاری می کند؟ کافران جز در فریب (وغرورشان) نیستند.
021_00	آیا آن کیست که به شما روزی دهد اگر او روزیش را باز دارد؟ بلکه آنها در سر کشی و دوری از حق لجاجت می کنند.
022_00	آیا کسی که به رو افتاده حرکت می کند به هدایت نزدیکتراست, یا آن کسی که راست واستوار بر راه راست گام بر می دارد؟!
023_00	بگو: «او کسی است که شما را آفرید, وبرای شما گوش وچشمان و دل قرار داد, (اما شما) اندکی سپاس گزاری می کنید».
024_00	بگو: «او کسی است شما را در زمین پراکند وبه سوی او گرد آورده می شوید».
025_00	ومی گویند: «اگر راست می گویید این وعدۀ (قیامت) چه زمانی است؟».
026_00	(ای پیامبر) بگو: «علم (قیامت) تنها نزد خداست, ومن فقط هشدار دهندۀ آشکار هستم».
027_00	پس چون آن (وعده وعذاب الهی) را از نزدیک ببینند, چهرۀ کسانی که کافر شدند سیاه واند وهگین می گردد, و(به آنها) گفته می شود: این همان چیزی است که شما آن را می طلبیدید.
028_00	(ای پیامبر) بگو: «به من خبر دهید, اگر خداوند مرا وکسانی که با من هستند, هلاک کند, یا بر ما رحمت آورد, پس چه کسی کافران را از عذاب دردناک پناه می دهد؟!».
029_00	بگو: «او (خدای) رحمان است, به او ایمان آورده ایم, وبر او توکل کرده ایم, پس (ای کافران) بزودی خواهید دانست چه کسی در گمراهی آشکار است!».
030_00	(ای پیامبر) بگو: «به من خبر دهید اگر آب (شرب) شما (در زمین) فرو رود, پس چه کسی می تواند برای شما آب روان (وگوار) بیاورد؟!».
