001_00	حم (حا.میم)
002_00	نازل شدن (این) از سوی (خداوند) بخشنده ی مهربان است.
003_00	کتابی است که آیاتش به روشنی بیان شده است، در حالی که (بزبان) عربی است، برای گروهی که می دانند.
004_00	بشارت دهنده، و هشدار دهنده است، پس بیشتر آنها روی گردان شدند، پس آنها نمی شنوند.
005_00	و گفتند: « دلهای ما از آنچه ما را به آن دعوت می کنی در پوششهای است، و در گوشهایمان سنگینی است، و میان ما و تو حجابی است، پس تو (به شیوه خود) عمل کن، ما (نیز به شیوه خود) عمل می کنیم».
006_00	بگو: «من فقط انسانی مانند شما هستم، به من وحی می شود که معبود شما معبود یگانه است، پس به او روی آورید و ازاو طلب آمرزش کنید، و وای بر مشرکان»!
007_00	(همان) کسانی که زکات نمی دهند( )، و آنها که به آخرت ایمان ندارد.
008_00	بی گمان کسانی که ایمان آوردند و کارهای شایسته انجام دادند، برای آنها پاداش بی پایان است.
009_00	بگو: آیا شما به آن کسی که زمین را در دو روز آفرید کافر می شوید، و برای او همتایانی قرار می دهید؟! او پروردگار جهانیان است.
010_00	و در آن (زمین) کوهها را ازفرازش پدید آورد، و در آن برکت داد، و خوراک (و رزق، اهل) آن را مقدر (و معین) فرمود، (اینها همه) در چهار روز بود، (بنابراین) برای سؤال کنندگان (واضح و) روشن گردید.
011_00	سپس به سوی آسمان متوجه شد، در حالی که بصورت دود بود، پس به آن و به زمین فرمود: «خواسته یا ناخواسته بیایید» گفتند:« به دلخواه آمدیم»
012_00	پس آنها را (بصورت) هفت آسمان در دو روز ساخت، و در هر آسمانی کار (و تدبیر) آن (آسمان) را وحی کرد،
012_01	و آسمان دنیا را با چراغهایی (= ستارگان) بیاراستیم (و از شیاطین) حفظ کردیم، این است تقدیر (خداوند) پیروزمند دانا.
013_00	پس اگر آنها روی گرداندند، بگو:« من شما را از صاعقه ای همانند صاعقه عاد و ثمود بیم می دهم( )».
014_00	چون پیامبران ازپیش رو و پشت سر (از هر سو) نزدشان آمدند، (گفتند) که جز خدا را نپرستید، (آنها) گفتند: «ا
014_01	گر پروردگار ما می خواست، فرشتگانی را نازل می کرد، پس ما به آنچه شما بدان فرستاده شده اید، کافر هستیم».
015_00	اما (قوم)عاد به ناحق در زمین تکبر ورزیدند، و گفتند:« چه کسی از ما نیرومند تر است؟!» آیا ندیدند که خدای که آنان را آفریده از آنها نیرومندتر است؟!
015_01	و آنها همواره آیات ما را انکار می کردند.
016_00	پس (ما) تند بادی شدید (و سرد) در روزهایی شوم بر آنها فرستادیم، تا عذاب خوار کننده را در زندگی دنیا به آنها بچشانیم،
016_01	و بی گمان عذاب آخرت خوار کننده تر است، و آنها (از هیچ سویی) یاری نخواهند شد.
017_00	و اما (قوم) ثمود را هدایت کردیم، پس آنها نابینایی را بر هدایت ترجیح دادند، لذا به (خاطر) آنچه می کردند، صاعقه ی عذاب خوار کننده آنها را (فرو) گرفت.
018_00	و کسانی را که ایمان آورده بودند و پرهیزگار بودند، نجات دادیم.
019_00	و روزی که دشمنان خدا را به سوی آتش گرد آورند، پس آنها (برای پیوستن دیگران) باز داشته شوند.
020_00	تا چون (همگی) به آن (آتش دوزخ) برسند، گوشهایشان و چشم هایشان و پوستهایشان به آنچه می کردند بر علیه آنها گواهی می دهند.
021_00	و آنها به پوستهایشان گویند: «چرا بر علیه ما گواهی دادید؟!» (در جواب) گویند: «همان خدایی که هر چیز را به سخن آورده است، ما را گویا ساخته است، و او نخستین بار شما را آفرید، و به سوی او باز گردانده می شوید».
022_00	از اینکه (مبادا) گوشهایتان و چشمهایتان و پوستهایتان بر علیه شما گواهی دهند (گناهانتان را) پنهان نمی کردید، ولیکن شما گمان می کردید که خداوند بسیار از آنچه را که انجام می دهید نمی داند.
023_00	این گمان (بد) شما بود، که درباره پروردگارتان داشتید، شما را هلاک کرد، پس از زیانکاران شدید.
024_00	پس اگر صبر کنند آتش (جهنم) جایگاهشان است، و اگر پوزش بخواهند، پس عذرشان پذیرفته نمی شود.
025_00	و ما برای آنها همنشینانی (از شیاطین) قرار دادیم، پس (زشتیها را) از پیش رو و پشت سر آنها برای شان بیاراستند،
025_01	و بر آنها نیز همانند امتهایی از جن و انس که پیش از آنها بودند، فرمان (عذاب) تحقق یافت، بی گمان آنها زیانکار بودند.
026_00	و کسانی که کافر شدند گفتند: «به این قرآن گوش فرا ندهید، و در (هنگام تلاوت) آن جنجال کنید (و سخنان بیهوده بگویید) شاید پیروز گردید».
027_00	پس یقیناً کسانی را که کافر شدند، عذاب سختی می چشانیم، و آنها را به (خاطر) بدترین اعمالی که انجام می دادند، کیفر می دهیم.
