001_00	به راستی مؤمنان رستگار شدند.
002_00	همان کسانی که در نمازشان خاشع (و فروتن) هستند.
003_00	و کسانی که از لغو (و کارهای بیهوده) روی گردانند.
004_00	و کسانی که زکات را انجام می دهند.
005_00	و آنها که شرمگاهشان را حفظ می کنند.
006_00	جز بر همسران شان یا (بر) کنیزان شان، پس بی گمان اینان (در بهره گیری از آنان) ملامت نمی شوند.
007_00	پس کسی که فراتر از این بخواهد، آنانند که تجاوز گرند.
008_00	و کسانی که امانتهای شان و عهد خود را رعایت می کنند.
009_00	و کسانی که برنمازهای شان مواظبت می نمایند .
010_00	(آری) اینانند که وارثند.
011_00	کسانی که (بهشت) فردوس را ارث می برند، و جاودانه در آن خواهند ماند.
012_00	و به راستی انسان را از چکیده ای از گِل آفریدیم .
013_00	سپس او را از نطفه ای در قرار گاهی استوار (= رحم) قرار دادیم .
014_00	سپس نطفه را (به صورت) علقه (= خون بسته) گرداندیم، آنگاه علقه را (به صورت) مضغه (= پاره گوشتی) در آوردیم، آنگاه مضغه را (به صورت) استخوانهایی گردانیدیم، پس بر استخوانها گوشت پوشاندیم، سپس آن را آفرینشی دیگر بخشیدیم،
014_01	پس (پر برکت و) بزرگوار است، خدایی که بهترین آفرینندگان است.
015_00	سپس مسلماً شما بعد از این خواهید مرد.
016_00	آنگاه یقیناً شما روز قیامت بر انگیخته می شوید.
017_00	وبه راستی بر فرازتان هفت آسمان آفریدیم، و (ما هرگز) از آفرینش (خود) غافل نبوده ایم .
018_00	و از آسمان آبی به اندازه ی معین نازل کردیم، پس آن را در زمین جای دادیم، و بی گمان ما بر ازبین بردن آن کاملاً قادر هستیم.
019_00	پس بوسیله ی آن باغهایی از درختان خرما و انگور برای شما پدید آوردیم، شما را در آن (باغها) میوه های بسیار است، و از آن می خورید.
020_00	و (نیز) درختی را که از طور سینا بیرون می آید (= درخت زیتون) که از آن روغن و (نان) خورش برای خورندگان فراهم می شود.
021_00	و بی گمان برای شما در چهارپایان عبرتی است، از آنچه درونشان است (= از شیر آنها) شما را سیراب می کنیم ؛ و برای شما در آنها منافع فراوان است، و از (گوشت) آنها می خورید.
022_00	و بر آنها و بر کشتیها سوار می شوید.
023_00	و به راستی (ما) نوح را به سوی قومش فرستادیم، پس (او به آنها) گفت :«ای قوم من! الله را بپرستید، که جز او معبودی برای شما نیست، آیا پرهیز نمی کنید ؟!
024_00	پس اشراف قومش، (آن) کسانی که کافر بودند؛ گفتند: «این (مرد) جز بشری همچون شما نیست، که می خواهد بر شما برتری ج
024_01	وید، اگر خدا می خواست، همانا فرشتگانی را نازل می کرد، ما (هرگز) چنین چیزی را در (میان) نیاکان خود نشنیده ایم .
025_00	او مرد دیوانه ای بیش نیست، پس تا مدتی در باره ی او صبر کنید،
026_00	(نوح) گفت : « پروردگارا! مرا در برابر تکذیب آنها یاری کن »
027_00	پس به او وحی کردیدم که : « به دیدگان ما و به وحی ما کشتی بساز، پس هنگامی که فرمان ما فرا رسد، و آب از تنور بجوشد، آنگاه از هرنوع (حیوان) یک جفت (نر و ماده) در کشتی سوار کن و (نیز) خانواده خود را (سوار کن) جز کسی از آنان را که وعده ی (هلاک) از پیش بر او مقرر شده است.
027_01	و در (باره ی) کسانی که ستم کردند، با من سخن مگو، که آنان غرق شدنی هستند».
028_00	هنگامی که تو و همراهانت بر کشتی سوار شدید؛ بگو:« ستایش برای خدایی است که ما را از قوم ستمگر نجات داد».
029_00	و (نیز) بگو : « پروردگارا ! ما را در منزلگاهی پر برکت فرود آور، و تو بهترین فرود آورندگانی».
030_00	بی گمان در این (ماجرا) نشانه هایی است، و (ما) به راستی آزمایش می کنیم .
031_00	سپس قوم دیگری را بعد از آنها به وجود آوردیم.
032_00	پس از خودشان پیامبری در (میان) آنان فرستایم که : «خدا را بپرستید، که جز او معبودی برای شما نیست، آیا پرهیز نمی کنید ؟! »
033_00	و گروهی از اشراف قومش که کافر بودند، و دیدار آخرت را تکذیب می کردند، ودر زندگی دنیا به آنها نعمت و آسایش داده بودیم، گفتند :«این(مرد) بشری همچون شما است،
033_01	از آنچه که (شما) می خورید، می خورد، واز آنچه که شما می نوشید، می نوشد.
034_00	و اگر از بشری همچون خود اطاعت کردید، یقیناً شما زیانکار خواهید شد.
035_00	آیا (او) به شما وعده می دهد : که همانا شما چون مردید و خاک و استخوانهایی (پوسیده) شدید، (بار دیگر از گور) بیرون آورده می شوید ؟!
036_00	هیهات، هیهات (= دور است، دور است) آنچه به شما وعده داده می شود.
037_00	جز زندگی دنیوی ما چیزی نیست، می میریم و زنده می شویم، و هرگز برانگیخته نخواهیم شد.
038_00	او جز مردی نیست که بر خدا دروغ بسته است، و ما به او ایمان نمی آوریم ».
039_00	(پیامبرشان) گفت : «پروردگارا ! مرا در برابر تکذیب آنها یاری کن».
040_00	(خداوند) فرمود :«به زودی (از کار خود) پشیمان خواهند شد»
041_00	پس صیحه (= بانگ مرگبار) آنها را به حق فرو گرفت، آنگاه آنها را (همچون) خاشاکی (بر سیلاب) قرار دادیم، پس قوم ستمکار (از رحمت خدا) دور (و نابود) باد.
042_00	سپس اقوام دیگری را بعد از آنها پدید آوردیم .
043_00	هیچ امتی از اجل خود پیشی نمی گیرد، و نه تأخیر می کند.
044_00	سپس پیامبران خود را پی در پی فرستادیم، هر زمان پیامبری برای (هدایت) امتی می آمد، او را تکذیب می کردند، پس (ما نیز) آنها (= امتهای کافر) را یکی پس از دیگری هلاک کردیم،
