001_00	المص (الف . لام . ميم. صاد).
002_00	اين کتابی است که بر تو نازل شده است, پس نبايد در سينه ات از آن تنگی باشد, تا به آن (مردم را) بيم دهی, وبرای مؤمنان پند (وتذکری) باشد.
003_00	آنچه از جانب پروردگارتان بر شما نازل شده, پيروی کنيد, واز اولياء (ومعبودهای) ديگر جز او, پيروی نکنيد, چه اندک پند می پذيريد.
004_00	چه بسيار شهرها (وآباديها) که آنها را نابود کرديم, وعذاب ما به هنگام شب, يا در هنگام خواب نيمروز, به سراغشان آمد.
005_00	وچون عذاب ما به سراغ آنها آمد, سخنی نداشتند جز اينکه گفتند: «بی گمان ما ستمکار بوديم».
006_00	مسلّماً ما از کسانی که (پيامبران) به سوی آنها فرستاده شدند, سؤال خواهيم کرد, والبته از پيامبران (نيز) سؤال می کنيم.
007_00	يقيناً (کردارشان را) با علم (خود) برای شان بيان می کنيم, وما هرگز غايب نبوده ايم.
008_00	وزن (وسنجش اعمال) در آن روز حق است, پس کسانی که کفهٴ ترازوی شان سنگين است, آنان که رستگارند.
009_00	وکسانی که کفهٴ ترازوی شان سبک است, آنان کسانی هستند که به (خاطر انکار و) ستمی که نسبت به آيات ما می کردند به خويش زيان رساندند (وسر مايهٴ وجود خود را ازدست داده اند).
010_00	وبه راستی ما شما را در زمين اقتدار (واستقرار) داديم, ودر آن وسايل معيشت را برای شما قرار داديم. چه اندک شکر گزاری می کنيد.
011_00	وبتحقيق ما شما را آفريديم, آنگاه شما را شکل وصورت داديم. سپس به فرشتگان گفتيم: «برای آدم سجده کنيد» پس (همه) سجده کردند؛ جز ابليس که از سجده کنندگان نبود.
012_00	(خداوند) فرمود: «وقتی که تو را فرمان دادم, چه چيز مانع سجده کردنت شد؟!» (ابليس) گفت: «من از او بهترم, مرا ازآتش آفريده ای و او را از گِل (آفريده ای)».
013_00	فرمود: «از آن (بهشت) فرود آی, که حق تونيست که در آن تکبر ورزی, پس بيرون رو, بی شک تو از خوارشدگانی».
014_00	(ابليس) گفت: «تا روزی که (مردم) بر انگيخه می شوند, مرا مهلت ده».
015_00	(خداوند) فرمود: «مسلّماً تواز مهلت يافتگانی».
016_00	(ابليس) گفت: «پس به سبب آنکه مرا گمراه کردی, من (نيز) بر سر راه مستقيم تو برای (گمراه ساختن) آنها در کمين می نشينم,
017_00	سپس از پيش روی شان واز پشت سرشان واز (سمت) راست شان واز (سمت) چپ شان بر آنها می تازم, وبيشترشان را شکر گزار نخواهی يافت».
018_00	(خداوند) فرمود: «از آن نکوهيده وخوار بيرون رو, قطعاً هرکس از آنها از تو پيروی کند, جهنم را از شما همگی پر خواهم کرد.
019_00	وای آدم! تو وهمسرت در بهشت ساکن شو(يد), پس از هر جا که خواستيد, بخوريد, وبه اين درخت نزديک نشويد, که از ستمکاران خواهيد بود».
020_00	پس شيطان آن دو را وسوسه کرد, تا آنچه را از شرمگاهشان که از آنها پوشيده بود؛ در نظرشان آشکار سازد,
020_01	وگفت: «پروردگارتان شما را از اين درخت نهی نکرده است؛ مگر بخاطر اينکه مبادا (با خوردن آن) فرشته شويد, يا از جاودانان گرديد».
021_00	وبرای آن دو سوگند ياد کرد که من برای شما از خير خواهانم.
022_00	پس (به اين ترتيب) آنها را با فريب (از مقام ومنزلشان) فرود آورد, وچون از آن درخت چشيدند, شرمگاهشان بر آنها آشکار شد, وشروع کردند به قرار دادن برگ (درختان) بهشت بر خود (تا آن را بپوشانند) 
022_01	وپروردگارشان آنها را ندا داد: «آيا شما را از آن درخت منع نکردم, وبه شما نگفته بودم که شيطان دشمن آشکار شماست؟!».
023_00	(آن دو) گفتند: «پروردگارا! ما به خود ستم کرديم, واگر ما را نيامرزی وبر ما رحم نکنی, مسلّماً از زيانکاران خواهيم بود».
024_00	(خداوند) فرمود: «فرود آييد, در حالی که بعضی از شما نسبت به بعض ديگر دشمن خواهيد بود, وبرای شما در زمين تا مدت معينی قرارگاه وبهرمندی خواهد بود».
025_00	فرمود: «در آن زندگی می کنيد ودر آن می ميريد, و(در رستاخيز) از آن بيرون آورده خواهيد شد».
026_00	ای فرزندان آدم! به راستی برای شما لباسی که شرمگاهتان را می پوشاند و(مايهٴ) زينت شماست, نازل کرديم, ولباس تقوا بهتراست, 
026_01	اين از آيات (ونشانه های) خداوند است تا (انسانها) متذکر شوند.
027_00	ای فرزندان آدم! شيطان شما را نفريبد, چنانکه پدر و مادر شما را از بهشت بيرون کرد, ولباسشان را از تنشان کند؛ 
027_01	تا شرمگاهشان را به آنها نشان دهد. بی گمان او وهمکارانش شما را می بينند از جايی که شما آنهارا نمی بينيد, براستی ما شيطانها را دوستان کسانی قرار داديم که ايمان نمی آورند.
028_00	وچون کارزشتی انجام دهند, گويند: «نياکان خود را بر اين (کار) يافته ايم, وخداوند ما را بدان فرمان داده است». 
028_01	بگو: «خداوند (هرگز) به کار زشت فرمان نمی دهد, آيا چيزی را که نمی دانيد به خدا نسبت می دهيد؟!».
029_00	بگو: «پروردگارم به عدالت فرمان داده است, و (نيز) در هر مسجدی (و به هنگام هر نمازی) روی هايتان را به سوی او کنيد و اورا (به دعا ونيايش) بخوانيد؛ در حالی که دين (خود) را برای او خالص گردانيد. همانطور که در آغاز شما را آفريد (بعد از مرگ, بارديگر بسويش) باز می گرديد.
030_00	گروهی را هدايت نمود وگروهی (ديگر) گمراهی بر آنها محقق (وثابت) گشت, زيرا آنها شيطانها را به جای خداوند, سرپرست (ودوستان خويش) برگزيدند, وگمان می کنند که آنان هدايت يافته اند».
031_00	ای فرزندان آدم! به هنگام رفتن به مسجد (ودر هرنمازی) زينت خود را بر گيريد (ولباسهای شايسته بپوشيد) و(نيز) بخوريد وبياشاميد ولی اسراف نکنيد, بی گمان خداوند اسرافکاران را دوست نمی دارد.
032_00	بگو: «چه کسی لباس (وزينتهای) را که خدا برای بندگانش پديد آورده وروزی های پاکيزه را حرام کرده است؟!». بگو: «اين (چيزها) در زندگی دنيا, برای کسانی است که ايمان آورده اند, (اگر چه کافران نيز از آنها بهره مند می شوند اما) روز قيامت خاص (برای مومنان) خواهد بود.
032_01	اين چنين آيات (خود) را برای گروهی که می دانند بيان می کنيم.
033_00	بگو: «خداوند فقط کارهای زشت را, چه آشکارا باشد وچه پنهان, و(نيز) گناه وسرکشی بنا حق را؛ حرام کرده است, واين که چيزی را ش
033_01	ريک خدا قرار دهيد که خداوند دليلی بر (حقانيت) آن نازل نکرده است, وچيزی را که نمی دانيد به خدا نسبت دهيد (حرام نموده است).
034_00	وبرای هر امتی زمان (ومدت معينی) است, پس هنگامی که اجلشان فرارسد, نه لحظه ای (از آن) تأخير کنند ونه (بر آن) پيشی گيرند.
035_00	ای فرزندان آدم! هرگاه پيامبرانی از خود شما (به نزد شما) بيايند که آيات مرا برای شما بخوانند (از آنها پيروی کنيد) پس هرکس که پرهيزگاری کند و(اعمال خود را) اصلاح کند, نه ترسی بر آنهاست, ونه آنان اندوهگين شوند.
036_00	و کسانی که آيات ما را تکذيب کنند, و در برابر آن (گرد نکشی و) تکبر ورزند, آنان اهل دوزخند, جاودانه در آن خواهند ماند.
037_00	پس چه کسی ستمکارتراست از کسی که بر خدا دروغ می بندد, يا آيات او را تکذيب می کند؟! آنها نصيب (وبهرهٴ) شان از کتاب (لوح م
037_01	حفوظ, آنچه مقرر شده) به آنان می رسد, تا زمانی که فرستادگان ما به سراغشان روند که جانشان را بگيرند, گويند: «کجايند آن چي
037_02	ز هايی که به جای خدا می پرستيديد؟!» (آنها) گويند: «آنها (نا بود و) گم شدند» وبر (زيان) خود گواهی دهند که کافر بوده اند.
038_00	(خداوند به آنان) می فرمايد: «در بين گروههای از جن وانس که پيش از شما گذشته اند, در آتش (دوزخ) وارد شويد!».
038_01	هرگاه که گروهی وارد می شوند, گروه ديگر را لعنت کنند, تا هنگامی که همگی در آنجا به هم رسند, گروه آخر (وپيروان) در باره ی گروه اول (وپيشوايان خود) گويند: «پروردگارا! اينها بودند که ما را گمراه کردند, پس عذابی دو چندان از آتش به آنان بده»
038_02	(خداوند) می فرمايد: «برای هر کدام (از شما عذاب) دو چندان است, ولی شما نمی دانيد».
039_00	وگروه اول (وپيشوايانشان) به گروه آخر (وپيروانشان) گويند: «شما را بر ما هيچ برتری نيست, پس به (کيفر) آنچه انجام می داديد؛ عذاب را بچشيد».
