001_00	الم (الف . لام .میم)
002_00	نازل شدن (این) کتاب، که در آن هیچ شکی نیست، از سوی پروردگار جهانیان است.
003_00	آیا می گویند : «(محمد) آن را به دروغ بافته است؟» (نه) بلکه آن حق است، از جانب پرودگار توست، تا هشدار دهی قومی را که پیش از تو هشدار دهنده ای برای شان نیامده است، شاید هدایت شوند.
004_00	الله کسی است که آسمانها و زمین و آنچه را میان آنهاست در شش روز آفرید، سپس بر عرش قرار گرفت،
004_01	شما را جز او هیچ کار ساز و شفیعی نیست، آیا پند نمی گیرید؟!
005_00	کار (جهان هستی) را از آسمان تا زمین تدبیر می کند، سپس در روزی که مقدار آن هزار سال از سالهایی است که شما می شمارید؛ به سوی او بالا می رود.
006_00	این (توصیف) دانای پنهان و آشکار، پیروزمند مهربان است.
007_00	(همان) کسی که هر چه را آفرید به نیکوترین (وجه) آفرید، و آفرینش انسان را از گل آغاز کرد.
008_00	سپس نسل او را از عصاره ای از آب نا چیز پدید آورد.
009_00	آنگاه (اندام) او را سامان داد، و از روح خود در آن دمید، و برای شما گوش و چشمها و دلها قرار داد، چه اندک سپاس می گزارید.
010_00	و (کافران) گفتند :«آیا هنگامی که (مردیم و) در زمین نا پدید شدیم، آیا در آفرینش تازه ای خواهیم بود ؟!» بلکه آنان به دیدار پروردگارشان کافرند.
011_00	(ای پیامبر!) بگو :«فرشته ی مرگ که بر شما گماشته شده؛ جانتان را می گیرد، سپس به سوی پروردگارتان باز گردانده می شوید»
012_00	و اگر ببینی مجرمان را هنگامی که در پیشگاه پروردگارشان سرهایشان به زیر افکنده اند، (گویند:) «پروردگارا ! دیدیم، و شنیدیم، پس ما را بازگردان تا کار شایسته ای انجام دهیم، بی گمان ما (به قیامت) یقین داریم»
013_00	و اگر می خواستیم به هرکس هدایتش را می دادیم، ولیکن سخن (و وعده ی) من حق است که جهنم را از جنیان و آدمیان همگی پر می کنم.
014_00	پس به کیفر آن که دیدار امروزتان را فراموش کردید، (عذاب را) بچشید، بی گمان ما (نیز) شما را فراموش کردیم. و عذاب جاودان را بخاطر اعمالی که انجام می دادید؛ بچشید.
015_00	تنها کسانی به آیات ما ایمان می آورند که چون به آن پند داده شوند، سجده کنان (به زمین) افتند، و پروردگارشان را به پاکی بستایند، و آنان تکبر نمی کنند.
016_00	پهلوهایشان از بسترها (در دل شب) دور می شود، پروردگارشان را با بیم و امید می خوانند، و از آنچه به آنها روزی داده ایم انفاق می کنند.
017_00	پس هیچ کس نمی داند چه پاداشها(ی عظیمی) که مایه ی روشنی چشمهاست برای آنها نهفته شده است، به؛ (پاس) آنچه که (در دنیا) انجام می دادند.
018_00	آیا کسی که مؤمن است همچون کسی است که فاسق است؟! (نه) هرگز برابر نیستند.
019_00	اما کسانی که ایمان آوردند و کارهای شایسته انجام دادند، پس برای آنها باغهای بهشت جاویدان خواهد بود، (این به عنوان) محل پذیرایی (از آنها) است؛ به پاداش آنچه که انجام می دادند.
020_00	و اما کسانی که فاسق شدند، پس جایگاهشان آتش (جهنم) است، هرگاه که بخواهند از آن خارج شوند،
020_01	به آن باز گردانده شوند،و به آنها گفته شود: «بچشید عذاب آتشی را که آن را تکذیب می کردید».
021_00	و یقیناً به آنان از عذاب نزدیک (این دنیا) پیش از عذاب بزرگ (آخرت) می چشانیم، شاید باز گردند.
022_00	و کیست ستمکار تر از آن کسی که به آیات پروردگارش پند دهند، آنگاه از آن اعراض کند؟ بی گمان ما از مجرمان انتقام خواهیم گرفت.
023_00	به راستی به موسی کتاب (تورات) دادیم، پس (ای پیامبر گرامی!) از دیدار او (= موسی) در شک و تردید مباش و ما آن (تورات) را (وسیله ی) هدایت برای بنی اسرائیل قرار دادیم.
024_00	و از آنان پیشوایانی قرار دادیم که به فرمان ما (مردم را) هدایت می کردند، چون شکیبایی ورزیدند، و به آیات ما یقین داشتند.
025_00	مسلماً پروردگارتوست که در روز قیامت میان آنها در آنچه اختلاف می کردند؛ داوری می کند.
026_00	آیا برای آنها روشن نشده است که چه نسلهای بسیاری را پیش از آنها هلاک کردیم ؟! که اینان در خانه های (ویران شده ی) آنها راه می روند، بی گمان در این نشانه ها (و عبرتها) است، آیا نمی شنوند؟!
027_00	آیا ندیدند که ما آب را به سوی زمین خشک (و بی گیاه) می رانیم، پس به (وسیله ی) آن کشتزار را بیرون می آوریم، که چهارپایان شان و خودشان از آن می خورند، آیا نمی بینند؟!
028_00	و گویند:«اگر راستگویید، این پیروزی کی خواهد بود؟!»
029_00	بگو :« روز پیروزی، کسانی که کافر شدند؛ ایمان شان سودی نخواهد داشت، ونه به آنها مهلت داده می شود».
030_00	سپس (ای پیامبر!) از آنها روی بگردان، و منتظر باش که آنها (نیز) منتظر هستند.
