001_00	Tha Sîn Mîm.
002_00	Dit zijn Verzen van het duidelijke Boek.
003_00	Misschien zou jij jezelf vernietigen van verdriet omdat zij geen gelovigen zijn.
004_00	Als Wij het gewenst hadden, hadden Wij een Teken uit de hemel tot hen doen neerdalen, zodat hun nekken ervoor gebogen bleven.
005_00	Er komt geen nieuwe Vemaning van de Erbarmer tot hen, of zij wenden zich eman af.
006_00	Voorzeker, zij loochenden, maar berichten over wat zij plachten te bespotten zullen tot hen komen.
007_00	Kijken zij dan aiet naar de aarde, hoeveel Wij er van allerlei rijke soorten grwassen op doen groeien?
008_00	Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn geen gelovigen.
009_00	En voorwaar, jouw Heer: Hij is zeker de Almachtige, Meest Barmhartige.
010_00	(Gedenk) toen jouw Heer Môesa opriep: "Ga naar het volk van de onrechtvaardigen.
011_00	Het volk van Fir'aun, vrezen zij (Allah) niet?
012_00	Hij (Môesa) zei: "Mijn Heer, ik ben bang dat zij mij loochenen.
013_00	En dat mijn borst zich zal vernauwen en dat ik niet vloeiend zal spreken, zend daarom (de Engel) naar Hârôen.
014_00	En zij hebben (een beschuldiging van) een misdaad tegen mij en ik ben bang dat zij mij zullen doden."
015_00	Hij (Allah) zei: "Nee, gaat dus beiden met Onze Tekenen: voorwaar, Wij zijn met jullie, luisterend.
016_00	Gaat daarom naar Fir'aun en zegt: "Voorwaar, wij zijn de Boodschappers van de Heer der Werelden.
017_00	Zend de Kinderen van Israël met ons."
018_00	Hij (Fir'aun) zei: "Hebben wij jou niet als een kind onder ons opgevoed en verbleef jij geen jaren van jouw leven onder ons?
019_00	En jij deed wat jij deed en jij behooft tot de ondankbaren."
020_00	Hij (Môesa) zei: "Ik heb dat gedaan toen ik tot de onnadenkenden behoorde.
021_00	Dus vluchtte ik weg toen ik bang voor jullie was. Daarop heeft mijn Heer aan mij Wijsheid ij gegeven en gemaakt dat ik tot de Boodschappers behoorde.
022_00	En dit is de gunst die jij mij bewees: dat jij de Kinderen van Israël tot slaven gemaakt hebt."
023_00	Fiir'aun zei: "En wie is de Heer der Werelden?"
024_00	Hij (Môesa) zei: "De Heer van de hemelen en de aarde en wat tussen hen beide is, als jullie er maar van overtuigd waren."
025_00	Hij (Fir'aun) zei tot hen die rondom hem waren: "Luisteren jullie niet?"
026_00	Hij (Môesa) zei: "Juitie Heer en de Heer van jullie voorvaderen."
027_00	Hij (Fir'aun) zei: "Voorwaar, jullie Boodschapper die tot jullie gezonden is, is zeker bezeten."
028_00	Hij (Môesa) zei: "De Heer van het Oosten en het Westen en wat tussen hen beide is, als jullie begrijpen."
029_00	Hij (Fir'aun) zei: "Als jij een andere god dan mij hebt aangenomen, dan zal ik jou zeker tot een van de gevangenen maken."
030_00	Hij (Môesa) zei: "Zelfs als ik jou iets duidelijks kan laten zien?"
031_00	Hij (Fir'aun) zei: "Breng het maar, als jij tot de waarachtigen behoort."
032_00	Toen wierp hij zijn staf neer en daarop werd het een duidelijke slang.
033_00	En hij strekte zijn hand uit en die werd wit voor de toeschouwers.
034_00	Hij (Fir'aun) zei tegen de vooraanstaanden rondom hem: "Voorwaar, dit is zeker een bekwame tovenaar.
035_00	Hij wil jullie uit jullie land verdrijven met zijn tovenarij. Dus wat adviseren jullie?"
