001_00	Ha Mîm.
002_00	'Aîn Sîn Qâf.
003_00	Z? openbaart Allah aan jou en aan degenen v??r jou; Allah is de Almachtige, de Alwijze.
004_00	Aan Hem behoort alles wat in de hemelen en op de aarde is, en Hij is de Verhevene, de Geweldige.
005_00	Bijna scheuren de bovenkanten van de hemelen, en de Engelen prijzen de Glorie van hun Heer met Zijn lofprijzing en vragen om vergeving voor degenen die op de aarde zijn.
005_01	Weet: voorvaar, Allah is de Vergevensgezinde, de Meest Barmhartige.
006_00	En degenen die naast Allah beschermen nemen: Allah is de Waker over hen en jij (O Moehammad) bent over hen geen verantwoordelijke.
007_00	Z? hebben Wij aan jou een Arabische Koran geopenbaard, om de bewoners van Oommoelqoerâ (Mekkah) en degenen die in de omgeving ervan wonen te waarshuwen. En om te waarschuwen voor de Dag der verzameling, waaraan geen twijfel is;
007_01	een deel gaat naar het Paradijs en een deel gaat naar de Hel.
008_00	Als Allah het had gewild, dan had Hij hen (als behorend) tot één godsdienst (Oemmah) gemaakt, maar Allah laat tot Zijn Barmhartigheid toe wie Hij wil. En voor de onrechtvaardigen is er geen beschermer en geen helper.
009_00	Nemen jullie naast Allah beschermers? En Allah is de Beschermer. En Hij doet het dode leven, en Hij is Almachtig over alle zaken,
010_00	En waar jullie ook van mening over verschillen: de beslissing daarover is aan Allah. (Zeg:) "Dat is Allah, mijn Heer, op Hem vertrouw ik en tot Hem keer ik weer."
011_00	De Schepper van de hemelen en de aarde, Hij heeft voor jullie van julliezelf en van de dieren paren geschapen.
011_01	Hij vermenigvuldigt jullie, niets is aan Hem gelijk. En Hij is de Alhorende, de Alziende.
012_00	Aan Hem behoren de sleutels van de hemelen en de aarde, Hij verruimt de voorzieningen voor wie Hij wil en Hij beperkt. Voorwaar, Hij is Alwetend over alle zaken.
013_00	Hij heeft jullie de godsdienst uitgelegd: wat Hij heeft opgedragen aan Nôeh, en hetgeen Wij aan jou geopenbaard hebben en wat Wij aan Ibrâhîm en Môesa en 'Isa hebben opgedragen:
013_01	dat jullie de godsdienst onderhouden en dat jullie daarover niet verdeeld raken. Het is een zware zaak voor de veelgodenaanbidders, waartoe jullie hen oproepen.
013_02	Allah kiest voor Zich wie Hij wil en Hij leidt naar Zich wie terugkeert.
014_00	Zij raakten pas verdeeld toen de kennis tot hen kwam, elkaar onrecht aandoend.
014_01	En als er niet een Woord (bevel) van jouw Heer was uitgegaan, tot een bepaalde tijd, den zouden zij al bestraft zijn. En voorwaar, degenen die de Schrift na hen erfden (de Joden en de Christenen), verkeren daarover zeker in vergaande twijfel.
015_00	Roep daarom (op tot de Islam), en wees standvastig zoals jou is bevelen, en volg hun begeerten niet, en zeg: "Ik geloof in wat Allah van het Boek heeft neergezonden en ik ben bevolen om onder jullie rechtvaardig te oordelen.
015_01	Allah is onze Heer en jullie Heer, voor ons zijn onze daden en voor julle zijn jullie daden. Er is geen reden tot twist tussen ons en jullie. Allah zal ons verzamelen. En tot Hem is de terugkeer."
016_00	En degenen die over Allah redetwisten nadat de (godsdienst van Allah) aanvaard is, hun verweer is nietig bij hun Heer. En op hen rust een grote toorn en voor hen is er een harde bestraffing.
017_00	Allah is het Degene Die het Boek (de Koran) in Waarheid en met de weegschaal heeft neergezonden. En hoe kan jij dat weten? Misschien is het Uur al nabij.
018_00	Degenen die er niet in geloven vragen om het (Uur) te bespoedigen. En degenen die geloven zijn er bevreesd voor,
018_01	en zij weten dat het de Waarheid is. Weet: voorwaar, degenen die over het Uur redetwisten verkeren in vergaande dwaling.
019_00	Allah is Zachtmoedig voor Zijn dienaren, Hij voorziet wie Hij wil, en Hij is de Sterke, de Almachtige.
020_00	Wie de beloning van het Hiernamaals wenst, voor hem vermeerderen Wij zijn beloning; en wie de beloning van het wereldse leven wenst, am hem geven Wij daarvan, maar voor hem is er in het Hiernamaals geen aandeel.
021_00	Hebben zij deelgenoten die hun in de godsdienst dat voorschrijven waartoe Allah geen toestemming heeft gegeven?
021_01	En als er niet een beslissend Woord (van Allah) was, dan zouden zij reeds bestraft zijn. Voorwaar, voor de onrechtvaardigen is er een pijnlijke bestraffing.
022_00	Jij ziet de onrechtvaardigen bevreesd zijn voor wat zij hebben verricht en hij (de bestraffing) treft hen.
022_01	Maar degenen die geloven en goede werken verrichten, zij verkeren in de Tuinen van het Paradijs. Voor hen is er bij hun Heer wat zij maar wensen. Dat is de grote gunst.
023_00	Dat is wat Allah als verheugende tijding aan zijn dienaren verkondigt, degenen die geloven en goede werken verrichten.
023_01	Zeg (O Moehammad): "Ik vraag van jullie geen beloning, alleen liefde voor de naaste verwanten. En voor wie m goede daad verricht vermenigvuldigen Wij het goede. Voorwaar, Allah is de Vergevensgezinde, de Waarderende.
024_00	Of zeggen zij dat hij (Moehammad) een leugen over Allah verzonnen heeft? Als Allah het wil, dan verzegek Hij jouw hart.
024_01	Allah wist de valsheid uit en Hij bevestigt de Waarheid met Zijn Woorden. Voorwaar, Hij is Alwetend over wat zich in de harten bevindt.
025_00	En Hij is Degene Die het berouw van Zijn dienaren aanvaardt. En Hij vergeeft de slechte daden en Hij weet wat jullie doen.
026_00	Hij verhoort degenen die geloven en goede werken verrichten en vemenigvuldigt voor hen van Zijn gunst, maar voor de ongelovigen is er een harde bestraffing.
027_00	En als Allah de voorzieningen aan Zijn dienaren had verruimd, dan zouden zij zeker buitensporig hebben gehandeld op de aarde, maar Hij zendt volgens een bepaalde maat neer wat Hij wil. Voorwaar, Hij is Alwetend over Zijn dienaren, Alziend.
028_00	En Hij is Degene Die de regen neerzendt nadat zij wanhoopten, en Hij verspreidt Zijn Barmhartigheid, en Hij is de Beschermheer, de Geprezene.
029_00	En tot Zijn Tekenen behoort de schepping van de hemelen en de aarde en de levende wezens die daarop rondlopen. En Hij is in stad om hen te verzamelen, wanneer Hij wil.
030_00	En er treft jullie geen ramp, of het is vanwege wat jullie handen hebben verricht, maar Hij vergeeft veel.
031_00	En jullie zullen op de aarde nooit kunnen ontkomen. En er is voor jullie naast Allah geen beschermer en geen helper.
032_00	En tot Zijn Tekenen behoren de schepen zo groot als bergen die op de zee varen.
033_00	En als Hij wil, dan laat Hij de wind liggen, zodat de schepen stil komen te liggen op haar oppervlak. Voorwaar, daarin zijn zeker tekenen vooir iedere geduldige en dankbare.
034_00	Of Hij vernietigt deze (schepen) wegens wat zij verichtten, maar Hij vergeeft veel.
035_00	En opdat zij die over Onze Tekenen redetwisten weten dat er voor hen geen uitweg is.
036_00	En wat jullie gegeven is, is slechts een vergankelijke genieting van het wereldse leven. Maar wat zich bij Allah bevindt is beter en blijvender voor hen die geloven en die op hun Heer vertrouwen.
037_00	En (zij zijn) degenen die de grote zonden en de verdorvenheid mijden. En als zij boos zijn, dan vergeven zij.
038_00	En (zij zijn) degenen die gehoor geven aan hun Heer en de shalât onderhouden, en hun zaken in onderling overleg (Sjôera) beslissen, en zij geven uit van waar Wij hun mee voorzien hebben.
039_00	En (zij zijn) degenen die, als onrecht hen treft, zich verdedigen.
040_00	En de vergelding voor een slechte daad is dezelfde slechte daad, maar voor wie vergeeft en verzoent: zijn beloning is bij Allah. Voorwaar, Hij houdt niet van de onrechtplegers.
041_00	En wie zich verdedigt nadat hem onrecht is aangedaan: zij zijn degenen tegen wie er geen weg (tot bestraffing) is.
042_00	Er is wel een weg (tot bestraffing) tegen degenen die de mensen onrecht aandeden en die zonder recht buitensporig op aarde handelden. Zij zijn degenen voor wie er een pijnlijke bestraffing is.
043_00	Maar wie geduldig was en vergaf voorwaar, dat behoort zeker tot de aanbevolen daden.
044_00	En wie door Allah tot dwaling gebracht wordt: voor hem is er daarna geen helper. En jij zult zien dat wanneer de onrechtplegers de straf zien, zij zullen zeggen: "Is er voor ons nog een weg om (naar de aarde) terug, te keren?"
045_00	En jij zult zien hoe zij naar haar (de Hel) worden gesleept, vrezend door de vernedering. Zij kijken met een zwakke blik.
045_01	En degenen die geloven zeggen: "Voorwaar, de verliezers zijn degenen die zichzelf en hun families verlies hebben toegebracht op de Dag der Opstanding." Weet dat de onrechtvaardigen in een eeuwige bestraffing zullen verken. "
046_00	En er is voor hen naast Allah geen beschermer die hen kan helpen. En wie door Allah tot dwaling gebracht wordt, voor hem is er geen weg (om nog Leiding te vinden).
047_00	Geeft gehoor aan jullie Heer, voordat er een Dag komt van Allah die onafwendbaar is. Er zal voor jullie geen toevluchtsoord zijn en er is geen ontkenning voor jullie (van jullie zonden).
048_00	En als zij zich dan afwenden: Wij hebben jou niet als waker over hen gezonden, jij bent niets dan een verkondiger.
048_01	En voorwaar, wanneer Wij de mens een genieting van Ons laten proeven, dan is hij er blij meer. Maar als een tegenslag hem treft wegens wat zijn handen hebben voortgebracht: voorwaar, de mens is zeer ondankbaar.
049_00	Aan Allah behoort de heerschappij van de hemelen en de aarde. Hij schept wat Hij wil en hij schenkt meisjes aan wie Hij wil en Hij schenkt jongens aan wie Hij wil.
050_00	Of Hij schenkt hun jongens en meisjes. En Hij maakt onvruchtbaar wie Hij wil. Voorwaar, Hij is Alwetend, Almachtig.
051_00	Het past de mens niet dat Allah tot hem spreekt, behalve door middel van een openbaring of van achter een scherm of door het zenden van een gezant (Djibrîl), die het dan openbaart met Zijn toestemming, zoals Hij wil. Voorwaar, Hij is Verheven, Alwijs.
052_00	Z? hebben Wij aan jou een openbaring neergezonden, een zaak van Ons.
052_01	Jij wist toen niet wat het Boek (de Koran) was en wat het geloof was, maar Wij hebben hem tot een licht gemaakt waarmee Wij van Onze dienaren leiden wie Wij willen. En voorwaar, jij leidt zeker naar een recht Pad.
053_00	Het is het Pad van Allah, Degene aan Wie alles wat in de hemelen en op de aarde is toebehoort. Weet: alle zaken keren tot Allah terug.
