001_00	Alif Lâm Mîm Shâd.
002_00	(Dit is) een Boek dat aan jou (Moehammad) neergezonden is, laat er daarom geen bedruktheid in jouw borst zijn vanwege deze (Koran). (Hij is neergezonden) om ermee te waarschuwen, en is een vemaning voor de gelovigen.
003_00	Volgt dan hetgeen aan jullie is neergezonden van jullie Heer en volgt buiten Hem geen leiders. Weinig is het dat jullie je laten vermanen.
004_00	En hoeveel steden hebben Wij niet vernietigd: Onze bestrafring kwam tot hen in de nacht of terwijl zij in de middag rustten.
005_00	En hun smeekbede, toen Onze bestraffing tot hen kwam, was slechts dat zij zeiden: "Voorwaar, wij waren onrechtplegers."
006_00	Wij zullen zeker degenen aan wie (Profeten) gezonden waren ondervragen, en Wij zullen zeker de gczondenen vragen.
007_00	Wij zullen hun dan vertellen (wat zij hebben verricht), met kennis, en Wij waren niet afwezig.
008_00	Op die Dag zal de weegschaal de Waarheid aangeven. Wiens schaal (met goede daden) dan zwaar is: zij zijn degenen die welslagen.
009_00	En wiens schaal licht is: zij zijn degenen die zichzelf verlies hebben toegebracht omdat zij Onze Verzen plachten te ontkennen.
010_00	En voorzeker hebben Wij jullie macht gegeven op aarde en Wij hebben op haar voor jullie levensvoorzieningen geplaatst. Weinig is het dat jullie dankbaar zijn.
011_00	En voorzeker, Wij hebben jullie geschapen, vervolgens hebben Wij jullie vormgegeven en daarna zeiden Wij tot de Engelen: "Knielt jullie neer voor Adam," toen knielden zij, behalve Iblis, hij behoorde niet tot de knielenden.
012_00	Hij (Allah) vroeg: "Wat belemmerde jou je neer te knielen, toen Ik het jou beval?" Hij zei: "Ik ben beter dan hem (Adam); U hebt mij uit vuur geschapen terwijl U hem uit aarde hebt geschapen."
013_00	Hij (Allah) zei: "Daal af uit het (Paradijs), want het past jou niet dat jij je er hoogmoedig in gedraagt. vertrek daaroum. Voorwaar, jij behoort tot de vernederden."
014_00	Hij zei:"Geef mij uitstel tot de Dag waarop zij opgewekt zullen worden."
015_00	Hij (Allah) zei: "Voorwaar, jij behoort tot hen aan wie uitstel is gegeven."
016_00	Hij (Iblis) zei: "Omdat U mij hebt doen dwalen, zal ik hen belemmeren op Uw recht Pad.
017_00	Daarna zal ik zeker tot hen komen, van voor hen en ven achter hen en van hun rechterzijde en van hun linkerzijde, en U zult de meesten van hen niet als dankbaren aantreffen."
018_00	Hij (Allah) zei: 'Ga er uit weg, veracht en verstoten. Wie van hen jou dan volgt: voorwaar, Ik zal de hel vullen met jullie allen."
019_00	En: "O Adam, verblijft in het Paradijs, jij en je vrouw, en eet wat jullie willen, en nadert deze boom niet, want dan zullen jullie tot de onrechtplegers behoren."
020_00	Toen fluisterde de Satan hen in om te onthullen wat er van hun schaamte bedekt was,
020_01	en hij zei: "Jullie Heer houdt jullie slechts van deze boom af omdat jullie anders Engelen worden, of dat jullie tot de eeuwiglevenden zullen behoren. "
021_00	En hij bezwoer hun: "Voorwaar, ik behoor voor jullie zeker tot raadgevers,"
022_00	Waarlijk, hij bedroog hen door misleiding, Toen zij dan van (de vruchten van) de boom hadden geproefd, werd hun schaamte zichtbaar en zij begonnen zich to bedekken met aaneenge-regen bladeren van het Paradijs.
