001_00	Ha Mîm.
002_00	De neerzending van het Boek is van Allah, de Almachtige, de Alwetende.
003_00	De Vergever van de zonden en de Aanvaarder van het berouw, de Harde in de bestraffing, de Bezitter van grote macht. Geen god is er dan Hij, tot Hem is de terugkeer.
004_00	Niemand redetwist over de Verzen van Allah behalve degenen die ongelovig zijn. Laat daarom hun rondtrekken in het land jou niet bedriegen.
005_00	V??r hen loochende het volk van Nôeh (de Boodschappers) en de bondgenoten (van ongelovigen) na hen. En elk volk wenste hun Boodschappers te grijpen.
005_01	En zij redetwistten met valsheid om er de Waarheid mee te vernietigen, waarop Ik hen greep. En hoe (hard) was Mijn bestraffing!
006_00	En zo werd het Woord van jouw Heer bewaarheid voor degenen die ongelovig waren. Voorwaar, zij zijn de bewoners van de Hel.
007_00	Degenen die de Troon dragen (de Engelen) en wie zich er omheen bevinden, prijzen de Glorie van hun Heer met Zijn lofprijzing en geloven in Hem en vragen om vergeving voor degenen die geloven.
007_01	(En zeggen:) "Onze Heer, Uw Barmhartigheid en Kennis omvatten alle zaken, vergeef daarom degenen die berouw tonen en die Uw Weg volgen en bescherm hen tegen de bestraffing van de Hel.
008_00	Onze Heer, doe hen en wie rechtschapen waren van hun vaderen en hun echtgenotes en hun nakomelingen de Tuinen van 'Adn (het Paradijs) binentreden, die U ben beloofd hebt: voorwaar, U bent de Almachtige, de Alwijze.
009_00	En bescherm hen voor de slechte daden. En wie op die Dag de slechte daden vreest: hem heeft U dan waarlijk begenadigd. En dat is de geweldige overwinning."
010_00	Voorwaar, tot degenen die ongelovig waren zal (op die Dag) geroepen worden: "De woede van Allah is zeker groter dan jullie woede op jullie zelf toen jullie tot het geloof werden geroepen, werden jullie ongelovig.
011_00	Zij zullen zeggen: "Onze Heer, U heeft ons twee maal doen sterven en ons twee maal doen leven. Nu erkennen wij onze zonden: is er dan nog een terugkeer van de weg (de bestraffing)?"
012_00	Dat is omdat jullie ongelovig waren toen Allah als Enige God werd aangeroepen. Maar toen Hem deelgenoten toegekend werden, geloofden jullie (daarin). Het oordeel behoort aan Allah, de Verhevene, de Grootste.
013_00	Hij is Degene Die jullie Zijn Tekenen toont en Die voor jullie uit de hemel voorzieningen neerzendt. Niemand laat zich vermanen, behalve wie berouw toont.
014_00	Roept daarom Allah aan, Hem zuiver aanbiddend, ook al hebben de ongelovigen er een afkeer van.
015_00	Hij is Degenen Die Verheven is boven alle rangen, de Bezitter van de Troon. Hij zendt de Openbaring op Zijn bevel aan wie Hij wil van Zijn dienaren, opdat Hij waarschuwt voor de Dag van de Ontmoeting.
016_00	Op de Dag waarop zij tevoorschijn komen, zal niets van hen voor Allah verborgen zijn. Aan wie behoort op deze Dag de Heerschappij? Aan Allah de Ene, de Overweldiger.
017_00	Op die Dag zal iedere ziel vergolden worden voor wat zij heeft verricht. Op die Dag is er geen onrecht. Voorwaar, Allah is snel in de afrekening.
018_00	Waarschuw hen (O Moehammad) voor de Dag der Opstanding waarop de harten treurig in de kelen blijven steken. Voor de onrechtvaardigen is er geen boezemvriend en geen voorspreker die wordt gehoord.
019_00	Hij (Allah) kent het verraad van de ogen en wat de harten verbergen.
020_00	En Allah oordeelt volgens de Waarheid, en degenen die zij naast Hem (deelgenoten) aanroepen oordelen nergens over: voorwaar, Allah is Alhorend, Alziend.
021_00	Reizen zij niet op de aarde zodat zij zien hoe het einde was van degenen v??r hen? Zij overtroffen hen in macht en in gebouwen op de aarde.
021_01	Maar Allah greep hen wegens hun zonden en er was voor hen geen beschermer tegen Allah.
022_00	Dat was omdat hun Boodschappers tot hen waren gekomen met de duidelijke bewijzen, maar zij waren ongelovigen, waarop Allah hen greep. Voorwaar, Hij is Sterk, hard in de bestraffing.
023_00	En voorzeker, Wij hebben Môesa met Onze Tekenen en met een duidelijk bewijs gezonden.
024_00	Naar Fir'aun en Hâmân en Qârôen en zij zeiden: "(Hij is) een tovenaar, een leugenaar."
025_00	Toen hij dan lot hen kwam met de Waarheid van Onze Zijde, zeiden zij: "Doodt de zonen van degenen die gelo
025_01	ven met hem, maar laat hun dochters leven." Maar, de list van de ongelovigen kan niet anders dan mislukken.
026_00	En Fir'aun zei: "Laat mij Môesa doden en laat hem zijn Heer aanroepen: voorwaar, ik vrees dat hij jullie godsdienst zal veranderen of dat hij verderf op de aarde zal zaaien."
027_00	En Môesa zei: Voorwaar, ik zoek mijn toevlucht bij mijn Heer en bij jullie Heer tegen iedere hoogmoedige die niet gelooft in de Dag des Oordeels."
028_00	En een gelovige man van het volk van Fir'aun, die zijn geloof had verborgen, zei: "Zullen jullie een man doden omdat hij zegt: 'Mijn Heer is Allah,' terwijl hij met de duidelijke bewijzen van jullie Heer tot jullie is gekomen?
028_01	Als hij een leugenaar is, dan rust zijn leugen op hem; maar als hij waarachtig is, dan zal een deel (van de rampen) die hij jullie anzegt, jullie treffen." Voorwaar, Allah leidt niet wie een buitensporige, een leugenaar is.
029_00	(Môesa zei:) "O mijn volk, voor jullie is vandaag het koninkrijk, (jullie zijn er) als heersers in het land, maar wie zal ons helpen tegen de bes
029_01	traffing van Allah wanneer die tot ons komt?" Fir'aun zei: "Ik vertel jullie niets dan wat ik zie, en ik leid jullie slechts naar het rechte pad."
030_00	En degene die gelovig was, zei: "O mijn volk, voorwaar, ik vrees voor jullie het gelijke van op de dag van de bondgenoten (een bestraffing).
031_00	Gelijk het lot van (het volk van) Nôeh, en de 'Ad en de Tsamôed en degenen na hen." En Allah wenst geen onrecht voor de dienaren.
032_00	(Môesa zei:) "O, mijn volk, voorwaar, ik vrees voor jullie de Dag van het wederzijds geroep (om hulp).
033_00	Op die Dag vluchten jullie, de rug toekerend, er is voor jullie geen redder. En wie door Allah tot dwaling gebracht wordt: voor hem is er geen gids."
034_00	En voorzeker, Yôesoef is ervoor met de duidelijke bewijzen tot jullie gekomen, maar jullie bleven twijfelen over dat waarmee hij tot jullie kwam.
034_01	Zelfs toen hij gestorven was, zeiden jullie: "Allah zal na hem nooit meer een Boodschapper sturen." Zo doet Allah degene dwalen die een buitensporige, een twijfelaar is.
035_00	(Zij zijn) degenen die over de Verzen van Allah redetwisten zonder dat een bewijs tot hen is gekomen.
035_01	Groot is de woede bij Allah en bij degenen die geloven. Ze verzegek Allah het hart van iedere hoogmoedige (en iedere) onderdrukker.
036_00	En Fir'aun zei: "O Hâmân, maak voor mij een hoog paleis, hopelijk bereik ik de poorten.
037_00	De pomen van de hemelen, zodat ik de God van Môesa kan zien. En voorwaar, ik veronderstel dat hij zeker een leugenaar is." En zo werden zijn slechte daden en het afhouden van de Weg voor Fir'aun schoonschijnend gemaakt.
037_01	Maar de list van Fir'aun kan niet anden dan mislukken.
038_00	En degene die gelovig was, zei: "O mijn volk, volg mij, ik zal jullie leiden op de rechte Weg.
039_00	O mijn volk, dit wereldse leven is slechts een vergankelijke genieting. En voorwaar, het Hiernamaals is de eeuwige verblijfplaats."
040_00	Wie een slechte daad heeft verricht wordt niet anders dan met haar gelijke vergolden.
040_01	En wie een goede daad heeft verricht, man of vrouw; terwijl hij (of zij) een gelovige is: zij zijn het die Paradijs zullen binnengaan, zij zullen daarin voorzien worden, zonder berekening.
041_00	En: "O mijn volk, het bevreemdt mij dat ik jullie tot de redding oproep, tefwijl jullie mij tot de Hel oproepen.
042_00	Jullie roepen mij op om aan Allah ongelovig te zijn en om Hem deelgenoten toe te kennen waarover ik geen kennis heb, terwijl ik jullie oproep om in de Almachtige, de Vergevensgezinde te geloven.
043_00	Het is zeker dat jullie mij oproepen tot dat wat geen aanroep (kan verhoren) in het wereldse leven en niet in het Hiernamaals; en dat onze terugkeer tot Allah is en dat de buitensporigen de bewoners van de Hel zijn.
044_00	Jullie zullen je herinneren wat ik tot jullie zeg, en ik laat mijn zaak over aan Allah: voorwaar, Allah is Alziende over de dienaren."'
045_00	Allah beschermde hen toen voor het slechte wat zij hadden beraamd, terwijl de ergste bestraffing Fir'aun en zijn volgelingen omsingelde.
046_00	Ze zullen 's ochtends en 's avonds voor de Hel geplaatst worden. En de Dag waarop het Uur valt (zegt Allah tegen de Engelen:) "Laat Fir'aun en zijn volgelingen de hardste bestraffing binnengaan!"
047_00	En wanneer zij met elkaar redetwisten in de Hel, dan zeggen de zwakken tot degenen die hoogmoedig waren: Voorwaar, wij waren volgelingen van jullie. Zullen jullie daarom ons tegen de bestraffing van de Het verdedigen?"
048_00	Degenen die hoogmoedig waren zullen zeggen: "Voorwaar, wij bevinden ons er allen in. Voorwaar, Allah heeft geoordeeld tussen de dienaren."
049_00	En degenen die in de Hel zijn, zullen tot de wakers (Engelen) van de Hel zeggen: "Roept jullie Heer aan, opdat Hij voor ons de bestraffing één dag verlicht."
050_00	Zij (de Engelen) zullen zeggen: "Waren jullie Boodschappen niet tot jullie gekomen met de duidelijke bewijzen?" Zij zullen zeggen: "Welzeker." Zij (de Engelen) zullen zegen: "Roept dan aan." Maar de aanroep van de ongelovigen kan niet anders dan mislukken!
051_00	Voorwaar, Wij zullen Onze Boodschappenrs en degenen die geloven zeker helpen, in het wereldse leven en op de Dag dat de getuigen zullen opstaan.
052_00	Op die Dag baat de verontschuldiging van de onrechtplegers hun niet. En voor hen is er de vervloeking en voor hen is er de slechtste verblijfplaats.
053_00	En voorzeker, Wij hebben Môesa de Leiding gegeven en Wij hebben de Kinderen van Israël de Schrift doen erven.
054_00	Als Leiding en als Vermaning voor de bezitters van verstand.
055_00	Wees daarom geduldig: voorwaar, de belofte van Allah is waar. En vraag vergeving voor jouw zonde en prijs de Glorie van jouw Heer met Zijn lofprijzing, in de avond en in de ochtend.
