001_00	Ha Mîm.
002_00	Bij het duidelijke Boek. (de Koran)
003_00	Voorwaar, Wij hebben hem (de Koran) in de gezegende nacht neergezonden. Voorwaar, Wij zijn Waarschuwers.
004_00	Daarin worden alle wijze zaken uiteengezet.
005_00	Als een bevel van Ons: voorwaar, Wij zonden (de Profeten).
006_00	Als Barmhartigheid van jouw Heer. Voorwaar, Hij is de Alhorende, de Alwetende.
007_00	De Heer van de hemelen en de aarde en wat er tussen is, als jullie overtuigden zijn.
008_00	Er is geen god dan Hij, Hij doet leven en sterven, jullie Heer en de Heer van jullie voorvaderen.
009_00	Zij blijven zelfs in twijfel doorspelen.
010_00	Wacht dan op de Dag waarop in de hemel duidelijke rook verschijnt.
011_00	Die de mensen omhult. Dit is een pijnlijke bestraffing.
012_00	(Zij zullen zeggen:) "Onze Heer, neem de bestraffing, van ons weg: voorwaar, wij zijn gelovigen."
013_00	Hoe zullen zij zich laten vermanen, terwijl er reeds een duidelijke Boodschapper tot hen is gekomen?
014_00	Toen wendden zij zich van hem af, en zeiden: "Hij is een bezeten onderwezene."
015_00	Voorwaar, Wij nemen iets van de bestraffing weg: voorwaar, jullie keren terug (tot ongeloof).
016_00	(Gedenkt) de Dag dat Wij hen zullen grijpen met de zware bestraffing: voorwaar, Wij zijn Vergelders.
017_00	En voorzeker, Wij hebben voorheen het volk van Fir'aun op de proef gesteld. En er was een edele Boodschapper (Môesa) tot hen gekomen.
018_00	(Hij zei:) "Laat de dienaren van Allah (vrij) tot mij komen: voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
019_00	En weest niet hoogmoedig tegenover Allah: voorwaar, ik kom tot jullie met een duidelijk bewijs.
020_00	En voorwaar, ik zocht mijn toevlucht bij mijn Heer en jullie Heer tegen jullie stenigen.
021_00	En als jullie mij niet geloven, laat mij dan met rust."
022_00	En hij bad toen tot zijn Heer: "Voorwaar, zij zijn een misdadig volk."
023_00	(Allah zei toen:) "Ga in de nacht op weg met Mijn dienaren: voorwaar, jullie zullen worden achtervolgd.
024_00	En laat de zee zoals zij is (door een pad gespleten): voorwaar, zij zullen een verdronken leger worden."
025_00	Hoeveel tuinen en bronnen lieten zij niet achter.
026_00	En velden en prachtige plaatsen.
027_00	En genietingen die zij daarin kunnen smaken.
028_00	Zo is het. En Wij hebben het een ander volk doen erven.
029_00	De hemel en de aarde huilden niet om hen, en hun werd geen uitstel gegeven.
030_00	En voorzeker, Wij hebben de Kinderen van Israël van de vernederende bestraffing gered.
031_00	Van Fir'aun: voorwaar, hij was een hoogmoedige onder de buitensporigen.
032_00	En voorzeker, Wij hebben hen (de Kinderen van Israël) op grond van (Onze) kennis verkozen boven de anderen (in hun tijd).
033_00	En Wij hebben hun van de Tekenen gegeven waarin een duidelijke beproeving was.
034_00	Voorwaar, zij (de ongelovigen) zullen zeker zeggen:
035_00	"Het is slechts de enige dood van ons, en wij zullen niet opgewekt worden.
036_00	Brengt dan onze voorvaderen (terug), als jullie waarachtig zijn."
037_00	Zijn zij beter of het volk van Toebba' en degenen vََr hen? Wij hebben hen vernietigd: voorwaar, zij waren misdadigers.
038_00	En Wij hebben de hemelen en de aarde en wat er tussen hen is niet als een spel geschapen.
039_00	Wij hebben beide niet anders dan in Waarheid geschapen, maar de meesten van hen weten het niet.
040_00	Voorwaar, de Dag van de Beslissing is hun vastgestelde tijd, tezamen.
041_00	De Dag waarop de ene vriend de andere vriend in niets kan bijstaan, en zij zullen niet geholpen worden.
042_00	Behalve degene die door Allah begenadigd wordt: voorwaar, Hij is de Almachtige, de Meest Barmhartige.
043_00	Voorwaar, de Zaqqôem-boom.
044_00	Voedsel van de zondaar.
045_00	Als gesmolten metaal dat in de buiken kookt.
046_00	Als kokend heet water.
047_00	Grijpt hem en sleept hem naar het midden van de Hel.
048_00	Daarna wordt een bestraffing van de Hel over zijn hoofd uitgegoten.
049_00	Proeft (deze bestraffing), voorwaar, jij bent de geweldige, de nobele. (Wordt er spottend tot de misdadiger gezegd.)
050_00	Voorwaar, dit is dat waarover jullie in twijfel plachten te verkeren.
051_00	Voorwaar, de Moettaqôen verblijven in een veilige plaats.
052_00	In tuinen en bij bronnen (het Paradijs).
053_00	Zij dragen kleding van fijne zijde en brokaat, (zij zijn) tegenover elkaar gezeten.
054_00	Zo is het. En Wij zullen hen huwen met schone maagden.
055_00	Daarin vragen zij in veiligheid om allerlei vruchten.
056_00	Zij zullen daarin, na de eerste dood, geen dood meer ondergaan, en Hij beschermt hen voor de bestraffing van de Hel.
057_00	Als een gunst van jouw Heer. Dat is de geweldige overwinning.
058_00	Voorwaar, Wij hebben hem (de Koran) gemakkelijk gemaakt in jouw taal. Hopelijk zullen zij er lering uit trekken.
059_00	Wacht daarom: voorwaar, zij wachten (op hun bestraffing).
