001_00	O mensen, vreest jullie Heer. Voorwaar, de beving van het Uur zal een geweldige zaak zijn.
002_00	Op die Dag zullen jullie het zien: ieder zogende vrouw zal haar zuigeling veronachtzamen en iedere zwangere vrouw zal haair vrucht laten vallen.
002_01	En jij zult de mensen als dronken zien, hoewel zij niet dronken zijn maar de bestraffing van Allah is hard
003_00	Er zijn er onder de mensen, die over Allah redetwisten, zonder kennis, en zij volgen elke iedere opstandige Satan.
004_00	Het is hem (de Satan) voorgeschreven dat wie hem volgt, door hem tot dwaling gebracht wordt, en hij leidt hem tot de bestraffing van de Sa'îr (de Hel).
005_00	O mensen, als jullie in twijfel verkeren over de Opstanding: voorwaar, Wij schiepen jullie uit aarde, vervolgens uit sperma, daarop uiteen bloedklonter, toen uit een
005_01	vleesklomp, gevormd en niet gevormd; om aan jullie (de schepping) duidelijk te maken. En Wij laten in de baarmoeder rusten wat Wij willen, tot een bepaald tijdstip,
005_02	waarna Wij voor jullie een kind (de baarmoeder) doen verlaten Daarop (is er een tijd) om jullie je leefkijd van volledige kracht te doen bereiken. En er zijn er ond
005_03	er jullie die weggenomen worden en er zijn er onder jullie die teruggevoerd worden tot de meest vervallen der leeftijden, zodat hij niets meer weet, na kennis (gehad
005_04	te hebben). En je ziet de aarde verdord en wanneer Wij dan het water op haar doen neerdalen, beweegt zij zich en zwelt op en brengt velerlei schitterende planten voort.
006_00	Dat is omdat Allah de Waarheid is en omdat Hij de doden tot leven brengt en omdat Hij Almachtig over alle zaken is.
007_00	En omdat het Uur komt, daaraan is geen twijfel, en omdat Allah degenen die er in de graven zijn zal opwekken.
008_00	En er zijn er onder de mensen die over Allah redetwisten, zonder kennis, zonder Leiding en zonder verlichtend Boek.
009_00	(Trots) zijn zijde toekerend om af te doen dwalen van de Weg van Allah: voor hem is er op de wereld vermedering en Wij doen hem op de Dag der Opstanding een brandende bestraffing proeven.
010_00	(Er wordt gezegd:) "Dat is vanwege wat jouw handen vooruitgestuurd hebben." En voorwaar, Allah is niet onrechtvardig voor de dienaren.
011_00	En er zijn eronder mensen die Allah op de rand aanbidden: als hem iets goeds overkomt is hij daar tevreden mee, maar als hem een beproeving ten deel valt, wendt hij zijn gezicht weer af: hij verliest de wereld en het Hiernamals.
011_01	Dat is het duidelijke verlies!
012_00	Hij roept naast Allah aan wat voor hem geen schade tegenhoudt en hem ook van geen nut is: dat is een verpande dwaling!
013_00	Hij roept iets aan waarvan zijn schade dichter bij zijn nut is. Zeker, een slechte helper, en zeker een slechte metgezel!
014_00	Voorwaar, Allah doet degenen die geloven en goede daden verrichten de Tuinen (het Paradijs) binnengan, waar de rivieren onder door stromen. Voorwaar, Allah doet wat Hij wenst.
015_00	En wie denkt dat Allah hem (Moehammad) niet zal helpen in de wereld en het Hiernamaals, laat hem een koord naar de hemel spannen en laat hem (zichzelf) dan afsnijden. Laat hem dan zien of zijn list dat wat woedend maakte doet verdwijnen!
016_00	En zo hebben Wij hem (de Koran) neergezonden, als duidelijke Verzen. En voorwaar, Allah leidt wie Hij wenst.
017_00	Voorwaar, degenen die geloven en de Joden en de Sabiërs en de Christenen en de magiërs en degenen die deelgenoten (aan Allah) toekennen: voorwaar, Allah zal tussen hen oordelen op de Dag der Opstanding.
017_01	Voorwaar, Allah is van alle zaken Getuige.
018_00	Zie jij dan niet dat alles zich voor Allah neerknielt wat er in de hemel en op de aarde is, en de zon en de maan en de sterren en de bergen en de bomen en de dieren en een groot deel van de mensen?
018_01	Maar voor velen is de bestraffing verplicht. En wie er door Allah vemederd wordt: voor hem zijn erdan geen eerbewijzers. Voorwaar, Allah doet wat Hij wil.
019_00	Dit zijn twee tegenstanders die over hun Heer twisten. Voor degenen die niet geloven zulten daarom gewaden uit vuur gesneden worden, van boven hun hoofden zal kokend water worden uitgegoten.
020_00	Wat zich in hun buiken bevindt zal erdoor smelten en (ook) de huiden.
021_00	En voor ben zijn er knotsen van ijzer.
022_00	Telkens wanneer zij van ellende eruit willen gaan, worden zij erin teruggebracht (en wordt gezegd:) "Proeft de brandende bestraffing!"
023_00	Voorwaar, Allah zal degenen die geloven en goede daden verrichten de Tuinen (het Paradijs) binnen doen gaan, waar de rivieren onder doof stromen.
023_01	Daarin zullen zij gesierd worden met gouden armbanden en parels en hun kleding er in is van zijde.
024_00	En zij werden geleid tot het goede van het gesprokene en zij werden geleid op het Pad van de Geprezene.
025_00	Voorwaar, degenen die niet geloven en van de Weg van Allah en de Masdjid al Harâm (de gewijde Moskee in Mekkah) afhouden, die Wij voof alle mensen gemaakt hebben; zowel de inwoner van daar als degene van buiten:
025_01	en wie wenst daar het slechte te doen door onrechtpleging, hem zullen Wij een pijnlijke bestraffing doen proeven.
026_00	En toen Wij voor Ibrâhîm de plaats vastelden van het Huis (zeiden Wij:) "Ken Mij in niets deelgenoten toe en reinig Mijn Huis voor de rondgaanden en de buigenden en de knielenden.
027_00	En verkondig onder de mensen de Haddj, zij zullen te voet naar jou komen of op magere kamelen, van elke vergelegen plek.
028_00	Zodat zij getuigen zijn van de voordelen voor hen.
028_01	En de Naam van Allah uitspreken op de bekende dagen over het slachtvee waarmee Hij hen voorzien heeft. Eet er daarom van en voedt de arme behoeftige.
029_00	Dan moeten zij (de omgeving van) haar onreinheid reinigen en kun geloften vervullen een rondgang maken om het Aloudc Huis." (al Bait al 'Atîq)
030_00	Dat is het, en wie de gewijde zaken van Allah eert: dat is beter voor hem bij zijn Heer.
030_01	Aan jullie is het vee toegestaan, behalve wat is voorgelezen aan jullie. Dus vermijdt de onreinheid van de afgoden en vermijdt het spreken van het valse.
031_00	Als Hoenafâ tegenover Allah, zonder Hem deelgenoten toe te kennen, want wie aan Allah deelgenoten toekent is als iemand die uit de hemel valt, en dan dom de vogels wordt weggegrist of door de wind wordt geblazen naar een afgelegen plek.
032_00	Zo is het, en wie de gewijde Tekenen van Allah eer bewijst: voorwaar, dat is door het vrezen (van Allah) in de harten.
033_00	Voor jullie zijn daarin voordelen voor een vastgestelde periode; vervolgens is er de offerplaats hij het Aloude Huis.
034_00	En voor iedere gemeenschap hebben Wij godsdienstige gebruiken (om te offoren) vastgesteld, opdat zij de Nam van Allah zullen uitspreken over het vee, waarmee Hij hen voorzien heeft.
034_01	En jullie god is de Ene God, aan Hem geven jullie je daarom over. En brengt verheugende tijdingen am ben die zich overgaven.
035_00	Degenen waarvan, als de Naam van Allah genoemd wordt de harten trillen en die geduldigen zijn met wat ben treft en die de shalât onderhouden en uitgeven van dat waar Wij hen mee voorzien hebben.
036_00	En de kamelen (om te offeren) hebben Wij voor jullie gemaakt als behorend tot de gewijde Tekenen van Allah, daarin is goeds, voor jullie.
036_01	Spreekt daarom de Naam van Allah over hen uit als zij in rijen staan (om geslacht te worden). En wanneer zij op hun zij vallen, eet dan van hen en voedt wie daar nederig om vraagt en de bedelaar. Zo hebben Wij ben aan jullie dienstbaar gemaakt. Hopelijk zullen jullie dankbaar zijn.
037_00	Het is niet hun vlees en niet hun bloed dat Allah bereikt, maar wat Hem bereikt is de vrees (voor Hem).
037_01	Zo heeft Hij hen aan jullie dienstbaar gemaakt, opdat jullie Allah verheerlijken omdat Hij jullie leidde. En breng verheugende tijdingen aan de weldoeners.
038_00	Voorwaar, Allah zal degenen die geloven verdedigen. Voorwaar, Allah houdt van geen enkele ongelovige verrader.
039_00	Toestemming (om te vechten) is gegeven aan degenen die bevochten worden, omdat zij met onrecht behandeld worden. En voorwaar, Allah is zeker bij machte hen te helpen.
040_00	(Zij zijn) degenen die zonder recht zijn verdreven uit hun huizen, alleen maar omdat zij zeiden: "Onze Heer is Allah."
040_01	En als Allah de mensen niet van elkaar weerhield, waren kloosters, kerken en synagogen en moskeeën waarin de Naam van Allah vaak genoemd wordt, zeker verwoest.
