001_00	(De Koran) is de neerzonding van het Boek van Allah, de Almachtige, de Alwijze.
002_00	Voorwaar, Wij hebben het Boek met de Waarheid aan jou (O Moehammad) gezonden, aanbid daarom Allah, Hem zuiver aanbiddend.
003_00	Weet dat Allah de zuivere aanbidding toekomt.
003_01	En degenen die naast Hem beschermers nemen (zeggen:) "Wij aanbidden ben slechts opdat zij ons zo dicht mogelijk tot Allah brengen." Voorwaar, Allah zal tussen hen rechtspreken over dat waarover zij van mening verschillen.
003_02	Voorwaar, Allah leidt niet degene die een zeer ongelovige leugenaar is.
004_00	Als Allah een zoon zou wensen te nemen, dan zou Hij kiezen wat Hij wilde van wat Hij heeft geschapen. Heilig is Hij, Hij is Allah, de Ene, de Overweldiger.
005_00	Hij heeft de hemelen en de aarde in Waarheid geschapen. Hij doet de nacht de dag bedekken en Hij doet de dag de nacht bedekken. En Hij heeft de zou en de maan dienstbaar gemaakt.
005_01	Allen bewegen tot een bepaalde tijd. Weet dat Hij de Almachtige, de Vergevensgezinde is.
006_00	Hij heeft jullie uit één ziet geschapen, daarna maakte Hij ervan zijn vrouw, en Hij heeft voor jullie van het vee acht, in paren, neergezonden.
006_01	Hij schept jullie in de schoten van jullie moeders, een schepping na een schepping, in drie duisternissen."' Dat is Allah, jullie ie Heer, aan Hem behoort de herschappij, geen god is er dan Hij.
006_02	Waarom wenden jullie je af?
007_00	Als jullie niet geloven: voorwaar, Allah heeft jullie niet nodig. En de ondankbaarheid van Zijn dienaren behaagt Hem nieg maar wanneer jullie dankbaar zijn, dan heeft Hij behagen in jullie.
007_01	En geen lastdrager zal de last (zonden) van een andere dragen. Daarna is tot jullie Heer jullie terugkeer. Hij brengt jullie op de hoogte van wat jullie plachten te doen. Voorwaar, Hij is Alwetend over wat zich in de harten bevindt.
008_00	En als tegenspoed de mens treft, dan roept Hij zijn Heer aan, tot Hem terrugkerend; maar wanneer hem daarna een genieting van Hem geschonken wordt, dan vergeet hij (de tegenspoed) waarvoor hij Hem voorheen aanriep,
008_01	en kent hij deelgenoten naast Allah toe om van Zijn Weg te doen afdwalen. Zeg (O Moehammad): "Geniet maar even van je ongeloof: voorwaar, jij behoort tot de bewoners van de Hel."
009_00	Is de gehoorzame die een gedeelte van de nacht, zich neerknielend en staand (in de shalât doorbrengt), die het Hiernamaals vreest en hoopt op de Barmhartigheid van zijn Heer beter (...
009_01	of de ongelovige?) Zeg: "Zijn degenen die kennis hebben gelijk aan degenen die geen kennis hebben?" Voorwaar, het zijn slechts de bezitters van gezond verstand die er lering uit trekken.
010_00	Zeg: "O Mijn dienaren die geloven, vreest jullie Heer. Voor degenen die het goede doen in deze wereld is er goedheid, en de aarde van Allah is uitgegtrekt.
010_01	Voorwaar, het zijn de geduldigen die hun beloning zonder berekening zal worden gegeven."
011_00	Zeg: "Voorwaar, ik ben bevelen om Allah te aanbidden, Hem zuiver aanbiddend.
012_00	En ik ben bevolen om de eerste van de Moslims te zijn."
013_00	Zeg: "Voorwaar, ik vrees. als ik mijn Heer ongehoorzaam ben, een bestraffing op een geweldige Dag."
014_00	Zeg: "Allah is het Die ik aanbid, Hem zuiver aanbiddend.
015_00	Aanbidt den maar naast Hem wat jullie willen." Zeg: "Voorwaar, de verliezers zijn degenen die zichzelf en hun familie (door hun slechte bestemming) verlies toebrengen op de Dag der Opstanding. Weet dat dat het duidelijke verlies is."
016_00	Er zullen boven hen lagen van vuur zijn en onder hen lagen. Zo maakt Allah Zijn dienaren daarmee bevreesd. O Mijn dienaren, vreest Mj daarom.
017_00	En degenen die het aanbidden van de Thagôet vemijden en die terugkeren tot Allah; voor Hen is er een verheugende tijding. Verheug daarom Mijn dienaren.
018_00	Degenen die naar het woord luisteren en daarna het beste ervan volgen, zij zijn degenen die Allah heeft geleid en zij zijn de bezitters van verstand.
019_00	Voor wie het woord van bestraffing bewaarheid is, zou jij (O Moehammad) hem kunnen redden die in de Hel is?
020_00	Maar degenen die hun Heer vreesden; voor hen zijn er woningen waarboven (nog andere) woningen zijn gebouwd waar onder door de rivieren stromen. Als een belofte van Allah, Allah breekt de belofte niet.
021_00	Zie jij niet dat Allah water uit de hemel doet neerdalen en het daarna doet samenstromen in bronnen die zich in de aarde bevinden? Vervolgens brengt Hij daar planten met verschillende kleuren me voort, en daarna worden ze droog en zie jij dat ze geel worden, den laat Hij ze tot stof worden.
021_01	Voorwaar, daarin is zeker een lering voor de bezitters van verstand.
022_00	Is dan hij, wiens bart Allah heeft verruimd voor de Islam, zodat hij door een licht van zijn Heer wordt geleid... (gelijk aan degene wiens had verzegeld is?) Wee daarom hen, wiens harten zich hebben verbard tegen het gedenken van Allah. Zij zijn het die in duidelijke dwaling verkeren.
023_00	Allah heeft het beste Woord nemgezonden in een Doek, op elkaar lijkende, herhalende (gedeelten). De huid van degenen die hun Heer vrezen, huivert erdoor,
023_01	daarna hun huid en hun harten zacht door het gedenken van Allah. Dat is de Leiding van Allah, Hij leidt daarmee wie Hij wil. En wie door Allah tot dwaling gebracht wordt, voor hem is er geen leider.
024_00	Is dan hij, die zijn gezicht beschermt voor de slechte bestraffing op de Dag der Opstanding... (gelijk aan hem wiens gezicht beschermd wordt?) En tot de onrehtvaardigen wordt gezegd: "Proeft wat jullie plachten te verrichten."
025_00	Degenen v??r hen loochenden, zodat de bestraffing tot hen kwam uit richtingen die zij niet vermoedden.
026_00	Zo doet Allah hen de vernedering tijdens het wereldse leven proeven, terwijl de bestraffing van het Hiernamaals groter is. Als zij het maar wisten!
027_00	En voorzeker, Wij hebben voor de mensen in deze Koran allerlei vergelijkingen gemaakt. Hopelijk zullen zij zich laten vermanen.
028_00	Door een Arabische Koran, waarin geen afwijkingen voorkomen. Hopelijk zullen zij (Allah) vrezen.
029_00	Allah heeft een vergelijking gemaakt van een slaaf die aan meerdere meesters behoort die onderling ruziën, met een slaaf die aan slechts één meester behoort. Zijn zij aan elkaar gelijk? Alle lof zij Allah, maar de meesten van hen weten het niet.
030_00	Voorwaar, jij zuk sterven en voorwaar, zij zullen sterven.
031_00	Daarna zullen jullie op de Dag der Opstanding bij jullie Heer met elkaar redetwisten.
032_00	Wie is dan onrechtvaardiger dan hij die liegt over Allah en de Waarheid loochent wanneer deze tot hem komt? Is de verblijfplaats voor de ongelovigen niet in de Hel?
033_00	En degene die met de Waarheid is gekomen, en deze bevestigt: hij is degene die tot de Moettaqôen behoort.
034_00	Voor hen is wat zij wensen bij hun Heer. Dat is de beloning voor de weldoeners.
035_00	Zodat Allah het slechtste dat zij hebben gedaan zal uitwissen en zodat Hij hun hun beloning zal geven naar het beste van wat zij plachten te doen.
036_00	Is Allah geen Beschermer voor Zijn dienaren? En zij maken jou bang voor degenen (afgoden) naast Hem. En wie door Allah tot dwaling gebracht wordt; voor hem is er geen leider.
037_00	En wie door Allah geleid wordt: niemand kan hem doen dwalen. Is Allah niet Almachtig, de Bezitter van de Vergelding.
038_00	En als jij hun vraagt wie de hemelen en de aarde heeft geschapen, dan zullen zij zeker zeggen: "Allah."
038_01	Zeg: "Zien jullie dan niet wat jullie buiten Allah aanroepen? Als Allah voor mij rampspoed wenst, zijn zij (de afgoden) het dan die de ramp van Hem kunnen wegnemen? Of als Hij Barmhartigheid wenst, zijn zij het dan die Zijn Bamhartigheid kunnen tegenhouden?
038_02	Zeg: "Allah is mij voldoende. Op Hem vertrouwen degenen die vertrouwen hebben."
039_00	Zeg: "O mijn volk, werk op jullie manier, voorwaar, ik werk (op mijn manier). Spoedig zullen jullie het weten."
040_00	Tot wie een bestraffing komt: die zal door hem vemederd worden, en een blijvende bestraffing zal op hem rusten.
041_00	Voorwaar, Wij hebben in Waarheid het Boek aan jou gezonden. Wie dan de Leiding aanvandt; het is ten gunste van zichzelf; maar wie dwaalt; hij benadeelt slechts zichzelf. En jij (O Moehammad) bent geen verantwoordelijke over hen.
042_00	Allah neemt de zielen weg bij hun sterven en bij degenen die niet stemen in hun slaap. Dan houdt Hij de zielen waarvoor Hij de dood leeft beslist achter,
042_01	en stuurt Hij de overigen (terug) tot een vastgestelde tijd. Voorwaar, daarin zijn zeker Tekenen voor een volk dat nadenkt.
043_00	Nemen zij buiten Allah voorsprekers? Zeg: "Ook al hebben zij geen enkele machten kunnen zij niet nadenken?"
044_00	Zeg: "Aan Allah behoort alle voorspraak. Aan Hem behoort de heeershappij van de hemelen en de aarde, en tot Hem zullen jullie terugkeren."
045_00	En wanneer (de naam van) Allah als Enige God wordt genoemd, dan raken de harten van degenen die niet in het Hiernamaals geloven vervuld van ergernis. Maar wanneer degenen (de afgoden) naast Hem worden genoemd, dan zijn verheugen zij zich.
046_00	Zeg: "O Allah, de Schepper van de hemelen en de aarde, de Kenner van het onwaarneembare en het waarneembare, U oordeelt over Uw dienaren over dat waarover zij van mening verschillen."'
047_00	En voorwaar, als aan degenen die onrecht pleegden alles zou toebehoren wat zich op de aarde bevindt, en nog eens zoveel erbij, dan zouden zij zich ermee vrij (willen) kopen van de slechtste bestraffing op de Dag der Opstanding.
047_01	En er zullen voor hen (betraffingen) van Allah verschijnen, waar zij nooit rekening mee gehouden hebben.
048_00	En er zullen voor hen slechte deden die zij hadden bedreven duidelijk worden en wat zij plachten te bespotten zal hen omsingelen.
049_00	En wanneer tegenspoed de mens treft, dan roept hij Ons aan; maar wanneer Wij hem een genieting van Ons schenken, dan zegt
049_01	hij: "Dat is mij slechts wegens mijn kennis gegeven." Het is zelfs een beproeving, maar de meesten van hen weten het niet.
050_00	Waarlijk, dit zeiden degenen v??r hen, en wat zij plachten te verrichten baatte hun niet.
051_00	Daarna werden zij getroffen door de slechte daden die zij hadden verricht. En degenen die onrecht pleegden onder hen (de afgedenaanbidders) zullen getroffen worden door de slechte daden die zij verrichtten en zij zullen niet kunnen vluchten.
052_00	En weten zij niet dat Allah de voorzieningen verruimt voor wie Hij wil en dat Hij beperkt? Voorwaar, daarin zijn zeker Tekenen voor een volk dat gelooft.
