001_00	HA meem.
002_00	[DETTA ÄR] uppenbarat av den Nåderike, den Barmhärtige -
003_00	en Skrift vars budskap är avfattat i en fast och klar förkunnelse på arabiskt språk till nytta för de insiktsfulla,
004_00	med varsel om hopp och glädje - och med ord till varning. Men de flesta [människor] vänder sig bort och vill inte lyssna [när den läses högt],
005_00	och de säger: "Våra hjärtan är övertäckta så att dina ord inte når fram, och våra öron har täppts till och ett hinder har rests mellan oss och dig. Handla nu [som du anser bäst]; vi skall handla [som vi anser bäst]!"
006_00	Säg [Muhammad]: "Jag är bara en människa som ni. Men jag vet genom uppenbarelsen att er Gud är den Ende Guden; vänd er därför [i ödmjukhet] till Honom och be om Hans förlåtelse!" Olyckliga de som sätter medgudar vid Guds sida,
007_00	de som vägrar att ge åt de fattiga; det är just [dessa människor] som förnekar livet efter detta!
008_00	De [å andra sidan] som tror och lever ett rättskaffens liv - deras lön skall vara utan ände.
009_00	SÄG: "Hur kan ni förneka Honom, som har skapat jorden under två dagar? Och sätta medgudar vid Hans sida? - Han, världarnas Herre!"
010_00	Det är Han som har sänkt ned i den fast förankrade berg, som reser sig högt över dess [yta], och [därefter] har välsignat den och mätt ut [med Sitt mått] allt som skulle [tjäna dess inbyggare till] näring. [Han skapade allt detta] under jämnt fyra dagar - [ett svar] till dem som frågar.
011_00	Och Han vände sig mot rymden, som var rök, och sade till den och till jorden: "Kom, villigt eller nödda och tvungna!" - och de svarade: "Vi kommer villigt!"
012_00	Och under två dagar skapade och formade Han dem till sju rymder, och anvisade varje rymd dess uppgift.
012_01	Rymden närmast jorden har Vi smyckat med ljus och gjort säker [mot intrång]. Gud, den Allsmäktige, den Allvetande, har förordnat om allt detta.
013_00	Men säg, om [lyssnarna] drar sig undan: "Jag varnar er för en katastrof som den [som förintade stammarna] Aad och Thamud!"
014_00	När sändebuden kom till dem från alla tänkbara håll [och förmanade dem]: "Dyrka ingen annan än Gud!" - svarade de: "Om vår Herre hade velat, skulle Han
014_01	helt säkert ha sänt änglar [som budbärare så att vi kunde tro på dem]; vi avvisar därför det [budskap med vilket ni påstår att] ni har sänts."
015_00	[Stammen] Aad uppträdde övermodigt på denna jord utan varje rimligt skäl och skröt: "Vem är mäktigare
015_01	än vi?" - Förstod de inte att Gud, som skapade dem, har större makt än de?
016_00	och under [några] ödesdigra dagar sände Vi en rasande, iskall stormvind över dem för att låta dem i detta liv
016_01	smaka ett förnedrande straff; straffet i det kommande livet skall förnedra dem än mer och de skall inte få någon hjälp.
017_00	Och vad [stammen] Thamud beträffar gav Vi dem vägledning, men de valde att förbli blinda hellre än att vägledas, och till straff för de [onda] handlingar de begick drabbades de av ett förödmjukande och förkrossande slag.
018_00	Men Vi räddade dem som trodde och fruktade Oss.
019_00	[Påminn dem om att] Guds fiender en Dag skall fösas i grupper fram mot Elden
020_00	och när de nått fram, skall deras öron, deras ögon och deras hud vittna mot dem om vad de gjorde.
021_00	Och var och en skall fråga sin hud: "Varför vittnade du mot mig?" - och den skall svara: "Gud, som ger alla talets gåva, har [också] gett mig [den]. Det var Han som först skapade dig [och de andra] och till Honom har ni [nu] förts åter.
022_00	Men ni försökte aldrig dölja [era förehavanden] för att era öron, era ögon och er hud inte skulle kunna vittna mot er, och ni trodde att Gud inte kände till vad ni gjorde.
023_00	Dessa tankar, som ni tänkte om er Herre, har blivit er undergång; och nu hör ni till förlorarna."
024_00	Även om de härdar ut förblir Elden icke desto mindre deras boning! Och ber de att få göra bot och bättring skall detta vägras dem.
025_00	Vi gav dem onda krafter till ständiga följeslagare och de skönmålade för dem det [onda] som de begick och det som de hade i sinnet.
025_01	Och domen föll över dem lika obönhörligt som den hade fallit över tidigare släkten av osynliga väsen och människor; de hörde till förlorarna!
026_00	DE SOM framhärdar i att förneka sanningen säger [till sina meningsfränder]: "Lyssna inte på uppläsningen av Koranen! Nej, [överrösta] den med rop [och skrik] så vinner ni kanske [överhanden]!"
027_00	Vi skall sannerligen låta förnekarna utstå ett strängt straff och Vi skall löna dem efter deras värsta handlingar!
028_00	Elden är det straff som skall drabba Guds fiender, och där skall de ha sin boning till evig tid - lönen för att de [mot bättre vetande] avvisade Guds budskap.
029_00	[När förnekarna står framför helvetet] skall de säga: "Herre! Visa oss dem bland de osynliga väsendena och människorna som ledde oss vilse; [så att] vi kan trampa på dem och göra dem till de uslaste av de usla!"
030_00	De som säger: "Gud är vår Herre" och som vill följa den raka vägen, till dem stiger änglarna ned [med hälsningen]: "Ni skall inte känna någon fruktan och ingen sorg skall tynga er! Tag emot det glada budskapet att paradiset som ni har blivit lovade [väntar er].
031_00	Vi är hos er och vakar över er i detta liv och i det liv som skall komma; och där skall allt som era själar längtar efter vara ert och det ni ber om skall ni få.
032_00	[Detta är] välkomsthälsningen från en förlåtande, barmhärtig Herre."
033_00	Vem talar ett skönare språk än den som kallar [människorna] till tron på Gud, som lever ett rättskaffens liv och som säger: "Jag hör till dem som har underkastat sig Guds vilja?"
034_00	Den goda handlingen och den dåliga handlingen kan inte ställas sida vid sida. Jaga bort [den dåliga handlingen] med en bättre - den som var din fiende kan bli din nära vän!
035_00	Men ingen annan än den som bär [oförrätter] med tålamod finner [styrka] att handla så; bara den lyckligast lottade finner [sådan styrka].
036_00	Om Djävulen förleder dig [till vrede], be då Gud beskydda dig; Han är Den som hör allt, vet allt!
037_00	Bland Hans tecken är natten och dagen, solen och månen.
037_01	Fall inte ned på ert ansikte inför solen, inte heller inför månen; fall ned i tillbedjan inför Gud som har skapat dem - om det är Honom ni vill dyrka.
038_00	Om de anser sig för goda att [falla ned inför Gud], finns i din Herres närhet de som prisar Honom natt och dag utan att förtröttas.
039_00	Och bland Hans tecken är jorden som inför dina ögon ligger torr och död men som, när Vi låter regnet falla, skälver och sväller [av liv].
039_01	Han som väcker jorden till detta nya liv är med visshet Densamme som återuppväcker de döda! Gud har allt i Sin makt.
040_00	DE SOM förvränger eller vantolkar Våra budskap kan inte gömma sig för Oss.
040_01	Vem är i ett fördelaktigare läge - den som skall kastas i Elden eller den som kommer inför Oss med lugnt [samvete] på Uppståndelsens dag? Handla som ni vill; Han ser vad ni gör!
