001_00	STUNDEN NÄRMAR sig och månen har rämnat!
002_00	Men om de [som förnekar sanningen] får se ett tecken, vänder de sig bort och säger: "Alltid dessa trollkonster!" -
003_00	De är beslutna att avvisa [sanningen] och följer [bara] vad de själva tycker och önskar. Men allt har sin fasta bestämmelse.
004_00	De har fått lyssna till berättelser som borde ha hållit dem tillbaka
005_00	[och] till djup visdom, men varningarna var till ingen nytta;
006_00	vänd dig därför ifrån dem. Den Dag då roparen kallar människorna till det okända,
007_00	kommer de att stiga ut ur sina gravar, stirrande i marken, och som svärmar av gräshoppor
008_00	skynda fram mot roparen, och de som förnekade sanningen skall säga: "Detta är en svart dag!"
009_00	FÖRE dem förnekade Noas folk [uppståndelsens] sanning; de beskyllde Vår tjänare för lögn och kallade honom besatt och drev bort honom.
010_00	Och han ropade till sin Herre: "De är starkare än jag; [Herre,] kom till min hjälp!"
011_00	Och Vi öppnade himlens portar och lät rikligt regn strömma [utan uppehåll],
012_00	och källor springa fram ur marken så att vattnen möttes - allt i enlighet med [Guds] beslut.
013_00	Och Vi räddade honom på [skeppet] som timrats av plankor och spik,
014_00	och det rörde sig fram [över havet] under Våra ögon; [detta var] belöningen till den som hade kallats lögnare.
015_00	Vi gjorde denna [katastrof] till ett tecken, [ett exempel för människorna] - finns det någon som bevarar den i minnet [och tar lärdom]?
016_00	Hur [hårt drabbade dem inte] Mitt straff, [de som inte fäste vikt vid] Mina varningar!
017_00	Vi har gjort Koranen lätt att minnas; finns det någon som bevarar [dess ord] i minnet [och tar lärdom]
018_00	STAMMEN Aad förnekade sanningen och hur [hårt drabbade dem inte] Mitt straff, [de som inte fäste vikt vid] Mina varningar!
019_00	[Till sist,] en lång och olycksdiger dag, sände Vi en rasande stormvind mot dem,
020_00	som grep tag i människorna, [kastade omkull dem och lämnade dem utsträckta på marken] som palmstubbar, uppryckta med rötterna.
021_00	Hur [hårt drabbade dem inte] Mitt straff, [de som inte fäste vikt vid] Mina varningar!
022_00	Vi har gjort Koranen lätt att minnas; finns det någon som bevarar [dess ord] i minnet [och tar lärdom]
023_00	[STAMMEN] Thamud trodde inte på de varningar [som Vi sände dem],
024_00	och de sade: "Skall vi följa en ensam [man] ur våra egna led? [Om vi gjorde så] skulle vi ha gått vilse eller förlorat förståndet!
025_00	Skulle det bland oss [alla] vara just han som utmärktes med den [gudomliga] påminnelsen [och inte en av våra mer förtjänta män]? Nej, han är ingenting annat än en fräck lögnare!"
026_00	[Och Gud sade till deras profet Salih:] "De skall snart få veta vem som är en fräck lögnare!
027_00	Vi skall nu låta kamelstoet löpa fritt för att sätta dem på prov; ge dig till tåls och se vad de företar sig.
028_00	Men säg dem att vattnet i brunnarna skall fördelas mellan dem - var och en måste vara där, när hans tur [att vattna sina djur] har kommit."
029_00	Men de tillkallade en man i stammen som åtog sig [att slakta kamelstoet] och han slaktade det på grymmaste sätt.
030_00	Hur [hårt drabbade dem inte] Mitt straff, [de som inte fäste vikt vid] Mina varningar!
031_00	Vi lät ett enda dån [- dånet av detta straff -] genljuda över dem, och där låg de som [en hög] torra störar till en inhägnad.
032_00	Vi har gjort Koranen lätt att minnas; finns det någon som bevarar [dess ord] i minnet [och tar lärdom]
033_00	LOTS folk [trodde inte heller] på [Våra] varningar;
034_00	[och] Vi sände över dem en orkan [av död och förintelse]. Men före gryningen räddade Vi Lot och dem som följde honom [i tron].
035_00	Vår nåd var med dem; så belönar Vi de tacksamma.
036_00	[Lot] varnade dem för Vårt stränga straff; men de trodde inte på varningarnas [allvar]
037_00	och försökte förmå honom att utlämna sina gäster [till dem]. Då slog Vi dem med blindhet. "Pröva då på Mitt straff, [ni som inte fäste vikt vid] Mina varningar!"
038_00	Och en morgon, tidigt, drabbade dem det slutliga straffet.
039_00	"Pröva nu på Mitt straff, [ni som inte fäste vikt vid] Mina varningar!"
040_00	Vi har gjort Koranen lätt att minnas; finns det någon som bevarar [dess ord] i minnet [och tar lärdom]
041_00	[Även] Faraos folk varnades;
042_00	[och då] de avvisade alla Våra tecken straffade Vi dem med den överväldigande styrkan hos en allsmäktig Gud, som ingen kan motstå.
043_00	ÄR DÅ de bland er som förnekar sanningen bättre än de [forna folk som här har nämnts], eller har [äldre tiders] böcker med nedtecknad gudomlig visdom förklarat er oskyldiga?
044_00	Kanske säger de: "Vi är alla [eniga i vår åsikt och följaktligen] är det vi som måste vinna?"
045_00	[Nej,] skaran [av förnekare] skall besegras och skall tvingas göra helt om och fly.
046_00	Men den Yttersta stunden är den tid då de är kallade att inställa sig, och denna Stund [kommer att för dem betyda] det djupaste elände och den bittraste sorg.
047_00	Då skall de obotfärdiga syndarna [inse att] de gick vilse och [att] deras förstånd svek dem.
048_00	Den Dag då de släpas på sina ansikten in i Elden [skall de höra en röst:] "Pröva på dess heta famntag!"
049_00	ALLT har Vi skapat med rätta mått
050_00	och Vår befallning [och dess omsättning i verklighet] är ett och detsamma - ett ögonblickligt skeende.
051_00	Era likar [i synd och förnekelse bland tidigare folk] lät Vi gå under; finns det någon som bevarar detta i minnet [och tar lärdom]
052_00	Alla deras handlingar omtalas i [äldre tiders] böcker med nedtecknad gudomlig visdom;
053_00	allt är redovisat, stort som smått.
054_00	De rättfärdiga skall vistas i lustgårdar [vattnade av] bäckar.
055_00	[Och de skall] ta plats inför en allsmäktig Konung i sanningens [församling].
