001_00	VÄLSIGNAD Han som har allt herravälde i Sin hand och vars makt övervinner allt!
002_00	Han som har skapat döden och livet för att sätta er på prov [och låta er visa] vem av er som i sitt handlande är den bäste. Han är den Mäktige, Den som ständigt förlåter.
003_00	[Det är] Han som har skapat sju himlar som välver sig över varandra. Du kan inte upptäcka någon brist eller ofullkomlighet i den Nåderikes skapelse; men lyft på nytt din blick mot [himlen] - ser du någon spricka
004_00	Lyft blicken ännu en gång och ännu en gång och den skall vända tillbaka till dig med oförrättat ärende, utmattad [av att spana efter fel].
005_00	Vi har låtit den nedre himlen lysas upp av stjärnskott [som] prydnad och för att hålla de djävulska krafterna i schack; och för dem har Vi i beredskap en högt flammande Eld.
006_00	På alla som hädar sin Herre, väntar helvetets lidande - ett eländigt mål!
007_00	Och när de kastas i detta [helvete] hör de det rossla och ryta, kokande av vrede,
008_00	ja, nära att sprängas i stycken av ursinne; och varje gång en hop [syndare] störtas ned i det skall vakterna fråga dem: "Kom ingen till er för att varna er?"
009_00	”Jo, det kom en varnare till oss, men vi beskyllde honom för lögn och sade: 'Gud har aldrig uppenbarat något [budskap]. Ni tar miste, [du och de som följer dig].'”
010_00	Och de skall tillägga: "Om vi bara hade lyssnat [till honom] eller använt vårt förstånd skulle vi inte höra till dem vars mål är den högt flammande Elden!"
011_00	De kommer alltså [till sist] att erkänna sin synd, men de vars mål är den högt flammande Elden är då långt bortom all nåd och förlåtelse.
012_00	Men förlåtelse och en riklig belöning [väntar] dem som står i bävan inför sin Herre, fastän de inte kan se eller förnimma Honom.
013_00	VARE SIG ni håller era åsikter hemliga eller öppet tillkännager dem, vet Han vad som rör sig i ert innersta.
014_00	Skulle inte Han, Skaparen, känna det som Han har skapat, Han, den Outgrundlige som genomskådar allt, som är underrättad om allt?
015_00	Det är Han som har skapat jorden för att tjäna er; färdas då över dess vidder och livnär er av det som Han skänker er för er försörjning och [tänk på att] ni skall återuppstå för att möta Honom.
016_00	Kan ni vara säkra på att Han, som är i himlen, inte låter jorden [rämna under er och] uppsluka er? Se hur den [redan] skälver och skakar!
017_00	Eller kan ni vara säkra på att Han, som är i himlen, inte släpper lös en storm över er, så våldsam att ni förstår [allvaret i] Min varning
018_00	Före dem levde helt visst andra som förnekade sanningen - och hur [hård] var inte Min dom över dem!
019_00	Har de aldrig sett på fåglarna över deras [huvuden], hur de under flykten sträcker vingarna och sedan fäller in dem [mot sidorna]? Ingen utom den Nåderike håller dem uppe; Han ser allt.
020_00	Vem, utom den Nåderike, kan bistå er [med styrkan hos] en armé? De som förnekar sanningen är [offer] för självbedrägeri!
021_00	Vem kan dra försorg om er om Han skulle hålla tillbaka Sina gåvor? - Men, nej, de framhärdar i sitt högmod och sitt trots!
022_00	Når den lättare fram som går böjd med sänkt huvud än den som går upprätt på en rak väg
023_00	SÄG [Muhammad]: "Det är Han som har skapat er och begåvat er med hörsel, syn och förstånd - men var är er tacksamhet?"
024_00	Säg: "Det är Han som har låtit er uppfylla jorden och till Honom skall ni samlas åter."
025_00	Men de frågar: "När skall detta löfte infrias, om det ni säger är sanning?"
026_00	Säg: "Gud ensam har kunskap om detta; jag är bara en varnare, [som varnar] klart och entydigt."
027_00	När de som förnekar sanningen [till sist] ser den [yttersta verkligheten] komma dem helt nära, skall fasa och förtvivlan stå målade i deras ansikten, men [änglarna] kommer att säga: "Detta är vad ni alltid begärde [att få se]!"
028_00	SÄG [Profet]: "Vad tror ni? Vare sig Gud låter mig och mina anhängare gå under eller Han förbarmar Sig över oss, var finns den som kan skydda förnekarna av sanningen mot ett svårt straff [i nästa liv]?"
029_00	Säg: "Han är den Nåderike - vi tror på Honom och till Honom litar vi. Ni kommer [snart] att få veta vem [av oss] som uppenbart har gått vilse."
030_00	Säg: "Vad tror ni? Om allt ert vatten skulle försvinna i jordens djup, vem skulle då kunna ge er vatten ur rena och klara källor?"
