001_00	SE de frustande stridshästarna!
002_00	Se hur deras [hovar] slår upp gnistor
003_00	när de galopperar till anfall i den tidiga morgonen
004_00	[och] hur de river upp moln av damm
005_00	när de stormar fram i stridsvimlet!
006_00	MÄNNISKAN är sannerligen djupt otacksam mot sin Herre -
007_00	om detta vittnar hon själv -
008_00	och visar sin kärlek till rikedom i ivern [att samla mer].
009_00	Vet hon inte [att] då det som göms i gravarna strös omkring
010_00	och det som människorna har dolt i sina hjärtan uppenbaras;
011_00	den Dagen [skall det bli uppenbart att] deras Herre var väl underrättad om dem.
