001_00	Alif lam meem.
002_00	DENNA Skrift har uppenbarats av världarnas Herre - det står utom allt tvivel -
003_00	och ändå säger de: "Han har [själv] författat den." Nej, den är sanningen från din Herre, [och med den] skall du varna ett folk som ingen varnare har kommit till före dig - kanske skall de låta sig ledas på rätt väg.
004_00	DET ÄR Gud som har skapat himlarna och jorden och allt däremellan under sex dagar och som tronar [över skapelsen] i Sin allmakts härlighet.
004_01	Ni har ingen beskyddare utom Honom och ingen som kan tala till er förmån - vill ni inte tänka över detta
005_00	Han styr skapelsens ordning, från det högsta till det lägsta, och till sist stiger allt upp till Honom under en Dag vars längd, så som ni räknar, är tusen år.
006_00	Det är Han som känner allt det som är dolt för människor och det som de kan bevittna, den Allsmäktige, den Barmhärtige,
007_00	som åt allt vad Han skapar ger en fulländad [form]. Först skapar Han människan av lera;
008_00	därefter låter Han hennes avkomma avlas av en droppe av en oansenlig vätska;
009_00	därefter formar Han henne och andas in i henne något av Sin ande och skänker henne hörsel och syn samt förmågan att känna och förstå. Men ni visar sällan tacksamhet!
010_00	Och de säger: "Skall vi, sedan våra [rester] upplösts i jorden, skapas på nytt?" Ja, de förnekar till och med mötet med sin Herre!
011_00	Säg: "Dödens ängel, som har satts att vaka över er, skall [en dag] samla in era själar och därefter förs ni åter till er Herre."
012_00	Om du såg de obotfärdiga syndarna när de står med sänkta huvuden inför sin Herre [och säger:] "Herre! Vi har sett och vi har hört; låt oss få återvända [till jorden]! Då skall vi leva ett rättskaffens liv - [nu] har vi visshet."
013_00	Om Vi hade velat, kunde Vi ha väglett varje människa, men [detta var inte Vår vilja och] så bekräftas Mitt ord: "Jag skall sannerligen fylla helvetet med osynliga väsen och människor, alla tillsammantagna!"
014_00	[Och Han skall säga till syndarna:] "Pröva nu följden av att ni glömde [Vårt] möte denna Dag; Vi har [även] glömt er. Smaka straffet för era handlingar, [ett straff] som skall vara i evighet!"
015_00	BARA DE tror på Våra budskap som, när de läses högt för dem, faller ned i tillbedjan och lovprisar sin Herre, utan en skymt av högmod;
016_00	de som avstår från sömn för att med fruktan och hopp åkalla sin Herre och som ger åt andra av det som Vi har skänkt dem för deras försörjning.
017_00	Ingen människa vet vilka dolda [skatter av] djup glädje som väntar de [troende] som belöning för deras handlingar.
018_00	Kan en troende jämföras med syndaren som trotsar [Gud]? De är inte lika [och kommer inte att behandlas lika].
019_00	De som tror och lever rättskaffens skall som belöning för sina handlingar få en fristad i lustgårdar, där de hälsas välkomna.
020_00	Men syndarna som trotsar [Gud] skall få Elden till boning - var gång de vill komma ut
020_01	ur den skall de drivas tillbaka in med ropet: "Smaka Eldens straff, som ni påstod vara en lögn!"
021_00	Innan de får smaka det eviga straffet skall Vi helt visst straffa dem i denna värld - kanske [grips de då av ånger och] vänder tillbaka [till Gud].
022_00	Och vem är mer orättfärdig än den som, när han blir påmind om sin Herres budskap, vänder dem ryggen? [Sådana] syndare skall Vi sannerligen låta känna på Vårt straff!
023_00	OCH VI skänkte Moses [Vår] uppenbarelse; tvivla då inte på att du [i Koranen] har fått möta [samma sanning]. Den [tidigare uppenbarelsen] gav Vi till vägledning för Israels barn,
024_00	och när de bar sina motgångar med tålamod och bevarade sin övertygelse att Våra budskap [utgör sanningen], lät Vi ledare uppstå bland dem som ledde dem i enlighet med Våra bud.
025_00	PÅ Uppståndelsens dag skall din Herre fälla avgörandet mellan [människorna] i de frågor där de var oense.
026_00	Skall inte [vetskapen om] alla de släkten som Vi lät gå under före dem - [människor] vars boplatser de trampar - förmå dem att tänka sig för? I allt detta ligger sannerligen budskap; skall de inte lyssna
027_00	Inser de inte att det är Vi som leder regnet till dött land så att det kan ge skördar som tjänar till föda för deras boskap och för dem själva? Skall de inte öppna sina ögon
028_00	Men de säger: "När skall det avgörande [ni talar om] falla, om det som ni säger är sant?"
029_00	Säg [Muhammad]: "Den Dag då avgörandet faller skall de som förnekade sanningen inte ha någon glädje av den tro [som de för sent kommer att bekänna] och de skall inte få något uppskov."
030_00	Lämna dem nu åt sig själva och vänta [på det som skall komma]; även de skall vänta.
