001_00	Alif lam meem.
002_00	DENNA Skrift - här råder inget tvivel - är en vägledning för dem som fruktar Gud och ständigt har Honom för ögonen,
003_00	dem som tror på [existensen av] det som är dolt för människor, dem som förrättar bönen och som ger åt andra av vad Vi har skänkt dem för deras försörjning
004_00	och dem som tror på det som har uppenbarats för dig och på det som har uppenbarats före din tid och som har förvissningen att det eviga livet [väntar].
005_00	Det är de som följer Guds vägledning - dem skall det gå väl i händer.
006_00	MEN FÖR dem som framhärdar i att förneka sanningen är det likgiltigt om du varnar dem eller inte - de vill inte tro.
007_00	Gud har förseglat deras hjärtan och deras öron och täckt över deras ögon; ett strängt straff väntar dem.
008_00	Det finns människor som säger: "Vi tror på Gud och på den Yttersta dagen", medan de [i själva verket] inte tror.
009_00	De försöker bedra Gud och de troende, men de bedrar inga andra än sig själva - och inser det inte.
010_00	Deras hjärtan är sjuka av tvivel och Gud låter det onda förvärras, och ett plågsamt straff väntar dem för deras ständiga lögner.
011_00	Och när de manas att inte störa ordningen och sprida sedefördärv på jorden, svarar de: "Vi vill bara förbättra och ställa till rätta."
012_00	Nej, det är de som stör ordningen och sprider sedefördärv men det inser de inte.
013_00	Och när de uppmanas att tro som andra människor tror, svarar de: "Skall vi tro som dessa enfaldiga stackare?" Nej, det är de som är enfaldiga stackare, men det vet de inte.
014_00	Och när de möter dem som har antagit tron, säger de: "Vi är [också] troende"; men när de är ensamma med sina onda ingivelser, säger de: "Visst följer vi er - vi ville bara skämta med dem."
015_00	Gud skall straffa dem för deras skämt; men Han låter dem hållas en tid i sitt trotsiga övermod, snubblande än hit än dit i blindo.
016_00	De har bytt bort [Guds] vägledning mot villfarelse och de har inte vunnit på sin byteshandel och är [nu] helt utan vägledning.
017_00	De kan liknas vid en [man] som tänder en eld, och då elden lyser upp [alla] som står omkring, tar Gud ifrån dem deras ljus och lämnar dem i mörker så att de ingenting kan se -
018_00	döva, stumma och blinda finner de ingen väg tillbaka.
019_00	Eller vid [dem som råkar ut för] ett våldsamt oväder med regnmoln som förmörkar himlen, åska och blixtar.
019_01	De sätter fingrarna i öronen för [att inte höra] åskans mullrande, i rädsla för döden - men Gud har uppsikt över dem som förnekar [Honom]. -
020_00	De är nära att bländas av blixtarna, men när de lyser upp [mörkret] tar de några steg och stannar upp då mörkret [åter] sluter sig omkring dem.
020_01	Om Gud ville kunde Han helt beröva dem hörsel och syn; Gud har allt i Sin makt.
021_00	MÄNNISKOR! Tillbe er Herre, som har skapat er och dem som levde före er - kanske skall er gudsfruktan [fördjupas] -
022_00	Han som har skapat jorden som en viloplats för er och rest himlen som ett valv och låtit vatten strömma från skyn och därmed frambringat frukter för er försörjning.
022_01	Sätt därför inte medgudar vid Guds sida, då ni vet [att Gud är utan like].
023_00	Och om ni tvivlar på något av det som Vi steg för steg har uppenbarat för Vår tjänare, kom då fram med en sura som kan jämföras med detta och kalla på era vittnen - andra än Gud - om ni talar sanning.
024_00	Om ni inte gör detta - och ni kommer inte att göra det - frukta då Elden, vars bränsle är människor och stenar och som hålls i beredskap att ta emot dem som förnekar sanningen.
025_00	[Muhammad!] Ge dem som tror och lever rättskaffens det glada budskapet att lustgårdar, vattnade av bäckar, väntar dem; var gång de förses med frukt
