001_00	HA meem.
002_00	`Ayn seen qaf.
003_00	GUD, DEN Allsmäktige, den Vise, har uppenbarat [sanningen] för dig [Muhammad], liksom Han uppenbarade den för dina föregångare.
004_00	Allt det som himlarna rymmer och det som jorden bär tillhör Honom; Han är den Höge, omstrålad av makt och härlighet.
005_00	Himlarna är nära att rämna i sina höga [valv], när änglarna sjunger sin Herres lov och ber Honom förlåta [människorna] på jorden.
005_01	Ja, Gud ensam är Den som ständigt förlåter, Den som ständigt visar barmhärtighet!
006_00	GUD HAR dem under uppsikt som tar [andra] beskyddare i Hans ställe. Du har inte satts att vaka över dem.
007_00	Vi har sålunda uppenbarat för dig en förkunnelse på det arabiska språket, för att du skall varna den främsta av alla städer och dem som bor runt omkring den, varna
007_01	dem för den Stora samlingens dag - om vars [ankomst] det inte finns något tvivel - då några skall [stiga in] i paradiset, och andra i den högt flammande Elden.
008_00	Om Gud hade velat skulle Han förvisso ha gjort er [människor] till ett enda samfund. Han innesluter likväl den Han vill i Sin nåd, men för de orättfärdiga skall det inte finnas någon beskyddare och ingen hjälpare [på Domens dag].
009_00	Har det inte gått därhän att de har tagit [andra] beskyddare i Hans ställe? Gud är den ende Beskyddaren! Han väcker de döda till liv och Han har allt i Sin makt.
010_00	[TROENDE!] Vilken sak det än gäller där ni är oense, är det Gud som har avgörandet. [Säg, Muhammad:] "Sådan är Gud, min Herre! Till Honom litar jag och till Honom vänder jag mig [i min ånger]."
011_00	Han är himlarnas och jordens Skapare.
011_01	Han har skapat hustrur åt er av samma natur som ni själva; även av boskapen [har Han skapat] par [- han- och hondjur -] och så får ni tillväxa i antal. Ingenting är som Han - Han som hör allt, ser allt.
012_00	Han har nycklarna till himlarnas och jordens [förrådshus]. Han ger den Han vill riklig och [den Han vill] knappare utkomst. Han har full vetskap om allt.
013_00	Han har föreskrivit för er samma [regel för] tron som Han anbefallde Noa - detta har Vi uppenbarat för dig [Muhammad] - och som Vi anbefallde Abraham och Moses
013_01	och Jesus, nämligen att hålla fast vid [den sanna] trons [principer] och att aldrig tillåta söndring. För dem som sätter medhjälpare vid Guds sida ter sig det som du
013_02	uppmanar dem till som en svår väg; [men] Gud utser dem Han vill till detta och till detta leder Han dem som vänder sig till Honom [i tro och lydnad].
014_00	De [bland efterföljarna av äldre uppenbarelser som har söndrats i sekter] splittrades först efter att ha fått all kunskap och av ovilja och avund mot varandra.
