001_00	DEN NÅDERIKE
002_00	har lärt [er] Koranen.
003_00	Han har skapat människan
004_00	och lärt henne att [tänka rätt] och uttrycka sig klart.
005_00	Solen och månen [löper på Hans bud] i bestämda banor;
006_00	och stjärnorna och träden faller ned i tillbedjan [inför Honom].
007_00	Han har rest himlens valv och fastställt [alltings] mått,
008_00	för att ni inte skall överskrida [dessa] mått
009_00	utan ge rättvis vikt och inte mäta och väga för knappt.
010_00	Och Han har gjort jorden [till boplats] för allt levande;
011_00	där finns frukter och dadelpalmer med blomkolvar i hölster
012_00	och brödsäd på höga strån och örter som sprider vällukt.
013_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka?
014_00	Han har skapat människan av krukmakarlera, som [krukmakaren formar sina] lerkärl,
015_00	och de osynliga väsendena har Han skapat av en bländande eldslåga.
016_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
017_00	[Han är] de två soluppgångarnas Herre och de två solnedgångarnas Herre.
018_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
019_00	Han låter de två stora vattenmassorna röra sig fritt och mötas;
020_00	mellan dem [har Han likväl dragit] en skiljelinje som de inte kan överskrida.
021_00	Vilket verk av er [allsmäktige] Herre vill ni båda då förneka
022_00	Från bådadera kommer pärlor och koraller.
023_00	Vilket verk av er [allsmäktige] Herre vill ni båda då förneka
024_00	Och Honom tillhör skeppen som höjer sig som berg över havets yta.
025_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
026_00	Allt på jorden skall förgå;
027_00	men din Herre förblir i evighet i Sitt majestät och Sin härlighet.
028_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
029_00	Alla som [befolkar] himlarna och jorden är beroende av Honom; varje stund är Han verksam och ingriper [i skeendena].
030_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
031_00	[I SINOM] tid skall Vi ställa er till ansvar, ni syndbelastade varelser av båda slag!
032_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
033_00	Om ni, osynliga väsen och människor, [tror att ni] kan fly bort genom himlarnas och jordens yttersta gränstrakter [undan Gud], fly! Men ni kan inte fly annat än med en fullmakt [från Honom]!
034_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
035_00	Ni blir måltavla för [strömmar] av eld och smält koppar, och ingen skall komma till er hjälp.
036_00	Vilket verk av er [allsmäktige] Herre vill ni båda då förneka
037_00	När himlen rämnar och färgas ljusröd som nygarvat läder -
038_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka? -
039_00	Då skall ingen fråga ställas till vare sig människor eller osynliga väsen om [deras] synder.
040_00	Vilket verk av er [allsmäktige] Herre vill ni båda då förneka
041_00	De trotsiga, obotfärdiga syndarna skall kännas igen på sina [särskilda] kännetecken och de skall gripas i pannluggen och i fötterna.
042_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
043_00	DETTA ÄR helvetet, vars existens de obotfärdiga syndarna förnekar;
044_00	där skall de vandra av och an mellan [eld] och skållhett vatten.
045_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
046_00	MEN DEN som bävar vid tanken på att han en gång skall stå [till svars] inför sin Herre honom [väntar] två lustgårdar -
047_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka? -
048_00	[två lustgårdar] med de lummigaste träd.
049_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
050_00	I båda flödar två källor -
051_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka
052_00	I båda finns två slag av alla frukter -
053_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka
054_00	[I lustgårdarna skall de saliga vila] på mjuka mattor bland kuddar, fodrade med sidenbrokad, och i båda lustgårdarna skall all frukt finnas inom nära räckhåll.
055_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
056_00	Där finns de med blygt sänkta blickar, som varken människor eller osynliga väsen förut kommit nära -
057_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka? -
058_00	med rubinens och korallens [skönhet].
059_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
060_00	Skulle belöningen för den som gör gott vara annat än gott
061_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
062_00	Förutom dessa två finns [ytterligare] två lustgårdar, -
063_00	vilket verk av er [allsmäktige] Herre vill ni båda då förneka? -
064_00	två lustgårdar av den djupaste, yppigaste grönska.
065_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
066_00	I båda flödar två källor;
067_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka
068_00	I båda finns [alla slags] frukter och dadelpalmer och granatäppelträd.
069_00	Vilket verk av er [allsmäktige] Herre vill ni båda då förneka
070_00	I dessa [lustgårdar] finns de bästa, de skönaste [följeslagerskor] -
071_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka? -
072_00	med de fagraste mörka ögon, dolda för allas blickar -
073_00	vilket av er [allsmäktige] Herres verk vill ni båda då förneka? -
074_00	som varken människor eller osynliga väsen förut kommit nära.
075_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
076_00	[Där skall de saliga] vila på rikt mönstrade mattor stödda på gröna kuddar.
077_00	Vilket av er [allsmäktige] Herres verk vill ni båda då förneka
078_00	VÄLSIGNAT vare din Herres namn, omstrålat av makt, ära och härlighet!
