001_00	TROENDE! Fullgör [era förpliktelser enligt] de avtal som ni har ingått!
001_01	Tillåten föda för er är [kött av] alla växtätande djur utom det som [här] skall meddelas er. Iakttag förbudet mot jakt, då ni befinner er på vallfärd. Gud föreskriver vad Han finner för gott.
002_00	Troende! Vanhelga inte de riter och symboler som Gud har instiftat, inte heller
002_01	den [åt vallfärden] helgade månaden eller de bekransade offerdjuren, och visa respekt för
002_02	dem som beger sig till Helgedomen för att söka Guds nåd och Hans
002_03	välbehag. När ni lägger av vallfärdsdräkten får ni [på nytt] ägna er åt jakt.
003_00	FÖRBJUDET för er är kött av självdöda djur och blod och svinkött och sådant [kött]
003_01	som har slaktats i ett annat namn än Guds; [vidare kött av] djur som strypts
003_02	eller kvävts eller dödats genom ett hårt slag eller [som] fallit utför ett stup eller
003_03	stångats ihjäl eller rivits av ett rovdjur - om ni inte har slaktat djuret på
003_04	föreskrivet sätt [medan det var vid liv] - och djur som slaktats på hedniska offeraltare.
004_00	De frågar dig vad som är tillåtet för dem.
004_01	Säg: "All god, hälsosam föda är tillåten för er." [Tillåtet är] också vad sådana djur fångar åt er som ni dresserar för jakt och lär något av det som Gud har lärt er; men uttala Guds namn över det och frukta Gud - Gud är snar att kalla till räkenskap.
005_00	Denna dag har all god, hälsosam föda blivit tillåten för er; och födan hos dem som fick del av uppenbarelsen [i äldre tid] är tillåten
005_01	för er och er föda är tillåten för dem. [Ni får ta till hustrur] ärbara kvinnor bland de troende och ärbara kvinnor bland dem som
005_02	före er fick del av uppenbarelsen, sedan ni gett dem deras brudgåva, för att leva med dem i ett regelrätt äktenskap, inte i ett löst
005_03	förhållande eller en hemlig förbindelse. Om någon förnekar tron skall alla hans strävanden gå om intet och i det eviga livet kommer han att stå som förlorare.
006_00	TROENDE!
006_01	När ni går till bön, två då ansikte och händer samt armarna upp till armbågarna och stryk med [de våta] händerna över huvudet och [två] fötterna upp till fotknölarna.
006_02	Och om ni befinner er i ett tillstånd av stor rituell orenhet, skall ni rena er [genom att skölja hela kroppen].
006_03	Den som är sjuk eller befinner sig på resa eller som just har förrättat sina behov eller haft beröring med kvinnor och inte kan finna vatten, skall ta ren jord och stryka över ansikte och händer.
006_04	Gud vill inte lägga på er tunga bördor, men [Han] vill rena er och fullkomna Sin nåd mot er - kanske känner ni tacksamhet.
007_00	Minns Guds välgärningar mot er och att Han knöt er till Sig med Sitt förbund och att ni
007_01	svarade: "Vi hör och vi lyder." Och frukta Gud - Gud vet vad som rör sig i människans innersta.
008_00	TROENDE!
008_01	Stå fasta på Guds sida som vittnen för rätt och rättvisa och låt inte avoghet mot människor förmå er att avvika från rättvisans väg. Gör rätt - det ligger gudsfruktan närmast; Gud är väl underrättad om vad ni gör.
009_00	Gud har lovat dem som tror och lever rättskaffens förlåtelse [för deras synder] och en rik belöning.
010_00	Men de som förnekar sanningen och påstår att Våra budskap är lögn - deras arvedel är helvetet.
011_00	Troende!
011_01	Minns Guds välgärning mot er när Han höll tillbaka dem som ville tillfoga er skada. Och frukta Gud - till Gud skall de troende lita!
012_00	GUD TOG [också] löften av Israels barn, då Vi sände ut deras tolv huvudmän och sade: "Jag skall vara med er; om ni förrättar bönen och
