001_00	UPPENBARELSEN av denna Skrift är Guds, den Allsmäktiges, den Vises, verk.
002_00	Vi har uppenbarat Skriften med sanningen för dig. Dyrka därför Gud med ren och uppriktig tro!
003_00	Ja, ren, uppriktig tillbedjan är Gud förbehållen!
003_01	Men de som tar beskyddare vid sidan av Honom [säger]: "Vi tillber dem just för att de skall föra oss närmare Gud." Gud skall döma över dem i allt som de är oense om.
003_02	Gud vägleder inte lögnaren, alltid färdig att förneka.
004_00	Om Gud hade velat ha en son kunde Han ha valt vem Han ville i hela Sin skapelse. Stor är Han i Sin härlighet, Gud, den Ende, som härskar över allt med oinskränkt makt.
005_00	Han har skapat himlarna och jorden i enlighet med en plan och ett syfte.
005_01	Han låter natten svepa in dagen [i sitt mörker] och låter dagen svepa in natten [i sitt ljus] och Han har underordnat solen och månen under [Sina lagar], som var och en löper sitt kretslopp till en fastställd tidpunkt. Han är i sanning den Allsmäktige, Den som förlåter och förlåter på nytt!
006_00	Han har skapat er av en enda varelse av vilken Han sedan skapade dess make; och av boskap har Han skänkt er åtta djur i par. Och Han skapar er i moderlivet genom den ena skapelseakten efter den andra, i tre [skikt av] mörker.
006_01	Detta är Gud, er Herre! Allt herravälde är Hans.
006_02	Det finns ingen gudom utom Han. Hur har någon kunnat förmå er att vända Honom ryggen?
007_00	Om ni förnekar [Gud skall ni veta att] Gud inte behöver er [tro]. Han ser inte otro och otacksamhet hos Sina tjänare med tillfredsställelse [- det är ett ont -] men visar ni tacksamhet är Han tillfredsställd för er skull.
007_01	Och på ingen bärare av bördor skall läggas en annans börda. En gång skall ni återvända till er Herre och Han skall låta er förstå vad era handlingar [var värda]. Gud vet vad som rör sig i människans innersta.
008_00	NÄR människan drabbas av ett ont, åkallar hon Gud i ånger och ber om Hans hjälp; men när Han i Sin nåd beviljar hennes bön, glömmer hon det som hon förut anropade Honom om och sätter upp medgudar vid Hans sida och leder på detta sätt [andra] bort från Hans väg.
008_01	Säg: "Gläd dig, förnekare, en liten tid åt livet - din arvedel är Elden!"
009_00	Eller [skulle förnekaren kunna jämställas med] den som under nattlig vaka tillber sin Herre, med pannan ödmjukt tryckt mot marken eller stående upprätt, som har det eviga livet för ögonen och hoppas på sin Herres nåd?
009_01	Säg: "Kan de som vet likställas med de som inte vet? Men bara de som har förstånd tänker igenom [dessa frågor]."
010_00	Säg [Muhammad] till Mina troende tjänare: "Frukta er Herre! De som gör det goda i denna värld har gott att vänta [i nästa liv].
010_01	Guds jord är så vid [att ni kan lämna ondskans rike för att få dyrka Gud i frihet]. Bara de som håller ut skall få sin [fulla] lön och mer därtill."
011_00	Säg: "Jag har blivit befalld att dyrka Gud med ren och uppriktig tro,
012_00	och jag har blivit befalld att vara den förste av dem som underkastar sig Guds vilja."
013_00	Säg: "Om jag inte lydde min Herre, fruktar jag [att Hans] straff skulle drabba mig en olycksdiger Dag."
014_00	Säg: "Jag dyrkar Gud med ren och uppriktig tro;
015_00	dyrka vad ni vill i Hans ställe!" Säg: "Förlorarna är de som på Uppståndelsens dag [finner att de] har förverkat sina själar och skilts från alla som stod dem nära; är inte detta det stora nederlaget?-
016_00	Taket över dem är eld och golvet under dem är eld." På detta sätt ger Gud Sina tjänare anledning att frukta Honom - "Mina tjänare! Frukta Mig!"
017_00	Till dem som drar sig bort från ondskans makter för att inte [behöva] tjäna dem och med ånger i sinnet vänder tillbaka till Gud riktas [Vårt] budskap av glädje och hopp. Framför då detta budskap till dem av Mina tjänare
018_00	som lyssnar till [Mitt] ord och som följer den bästa [väg som erbjuds där]. Det är dem som Gud vägleder och de som har förstånd.
019_00	[Kan den ledas på rätt väg] som Gud har dömt med Sitt oåterkalleliga beslut? Kan du rädda den som [redan] är helveteslågornas [rov]?
020_00	Men de som fruktar sin Herre skall [i paradiset] tilldelas de högsta boningarna, med bäckar som porlar framför dem. Detta är Guds löfte [och] Gud sviker inte Sitt ord.
021_00	FÖRSTÅR du inte att det är Gud som låter regn strömma från skyn och leder det genom jorden [till dess det bryter fram] som källor? Därmed låter Han sedan olika slag av växtlighet uppstå, som med tiden vissnar och ses gulna.
021_01	Till slut förvandlas den till torra strån och damm. I detta ligger helt visst en påminnelse till dem som har förstånd.
022_00	Kan den vars bröst Gud öppnar så att det kan fyllas av underkastelse under Hans vilja och så att han kan ledas av sin Herres ljus [jämställas med den som är blind för Guds budskap]? Olyckliga de som förhärdar sina hjärtan mot tanken på Gud! Det är uppenbart att de har gått vilse.
023_00	Gud har [steg för steg] uppenbarat det skönaste budskap, en Skrift vars olika delar [binds samman av] inre överensstämmelse och där sanningarna framställs i motsatspar.
023_01	[Dess högstämda ordalag] framkallar rysningar i huden hos dem som fruktar sin Herre; men därefter mjuknar den och deras hjärtan [öppnar sig] för påminnelsen om Gud. Med denna [Skrift] vägleder Gud den Han vill; men den som Gud låter gå vilse finner ingen som leder honom på rätt väg.
024_00	Är den som på Uppståndelsens dag får möta det svåra straffet med oskyddat ansikte [jämförbar med den gudfruktige som inte hotas av något straff]? Och till de orättfärdiga skall sägas: "Pröva på det som ni [med era handlingar] har förtjänat!"
025_00	[Andra folk] före dem förnekade [uppenbarelsens] sanning och straffet drabbade dem från ett håll varifrån de ingenting anade.
026_00	Och Gud lät dem smaka förödmjukelse [redan] i detta liv, men i det kommande livet [väntar dem] med visshet ett hårdare straff - om de bara hade vetat...!
027_00	I KORANEN har Vi framställt alla slag av liknelser för människorna - kanske skall de stämma dem till eftertanke -
028_00	en Koran på det arabiska språket, fri från slingrande formuleringar; kanske skall de [lära sig att] frukta Gud.
029_00	Gud framställer [denna] liknelse: [Här är två män] - den ene har flera herrar som tvistar sinsemellan, och den andre beror av en enda herre. Är deras villkor jämförbara? [Nej] - Gud ske lov! - men de flesta [människor] inser inte detta.
030_00	Du skall dö [Muhammad], och de skall dö.
031_00	Och till sist, på Uppståndelsens dag, skall tvisten mellan er avgöras inför er Herre.
032_00	Vem är mer orättfärdig än den som sätter ihop lögner om Gud och som, när sanningen slår honom, förnekar den? Är inte helvetet [rätt] tillhåll för dem som förnekar sanningen?
033_00	Och den som förkunnar sanningen och den som tar emot den och bejakar den, de är de [sant] gudfruktiga.
034_00	Hos sin Herre skall de finna allt vad de önskar - detta är belöningen till dem som gör det goda och det rätta;
035_00	och därför skall Gud stryka ut [ur deras bok] deras sämsta handlingar och löna dem efter det bästa de gjorde.
036_00	RÄCKER Gud inte till för [att försvara] Sin tjänare? Och ändå försöker de skrämma dig med det [som de dyrkar] vid sidan av Honom! Och den Gud låter gå vilse finner ingen som leder honom på rätt väg,
037_00	men den som Gud vägleder kan ingen leda vilse. Är inte Gud allsmäktig? Har Han inte hämnden i Sin hand
038_00	Och om du frågar människorna: "Vem har skapat himlarna och jorden?" - svarar de helt visst: "Gud." Säg: "Har ni övervägt om de som ni anropar i Guds ställe kan avvärja ett ont som Gud vill skall drabba mig?
038_01	Eller om Han vill bevisa mig Sin nåd, kan de hindra Hans nåd att nå mig?" Säg: "Jag behöver ingen utom Gud.
038_02	Till Honom litar de som söker [ett mäktigt] stöd."
039_00	Säg: "Gör nu, mitt folk, vad som står i er makt [för att bekämpa tron]; jag skall göra mitt [för att befästa och utbreda den]! Ni skall [tids nog] få veta
040_00	vem [av oss] som skall drabbas av ett förnedrande straff och [i nästa liv] få utstå ett ändlöst lidande!"
041_00	DET ÄR för människornas skull som Vi har uppenbarat Skriften för dig med sanningen. Och den som låter sig vägledas [vägleds] till nytta för sig själv, och den som går vilse, går inte vilse till skada för någon annan än sig själv. Du har inte satts att vaka över dem.
042_00	Då [människan] dör tar Gud själen till Sig, men om hon inte skall dö, [tar Han den] då hon sover.
042_01	Han håller kvar den [själ] vars [bärare] skall dö enligt Hans beslut och Han friger de andra till en [av Honom] fastställd tidpunkt. I detta ligger sannerligen budskap till tänkande människor.
043_00	Och ändå väljer de åt sig medlare [som de tror har en plats] vid Guds sida! Säg: "[Detta gör ni] fastän de saknar all makt och inte [ens] har förmågan att tänka!"
044_00	Säg: "All medling är i Guds hand. Han har herraväldet över himlarna och jorden, och ni skall till sist föras åter till Honom."
045_00	Och när den Ende Guden nämns, erfar de som inte tror på livet efter detta en känsla av obehag i sitt inre, men de gläder sig när de hör dem omtalas [som de vill sätta] vid Hans sida.
046_00	Säg: "Herre, min Gud! Himlarnas och jordens Skapare! Du som känner allt det som är dolt för människor och det som de kan bevittna! [En dag] skall Du döma mellan Dina tjänare i allt det som de var oense om!"
047_00	Om de orättfärdiga ägde hela jorden och lika mycket därtill skulle de helt säkert erbjuda det som lösen för att friköpa sig
047_01	från det svåra lidande [som väntar dem] på Uppståndelsens dag; Gud skall låta dem klart se något som de inte hade räknat med,
048_00	och det onda de gjorde [i livet] skall bli uppenbart för dem; och det som de då alltid skämtade om skall helt inringa dem.
049_00	NÄR MÄNNISKAN drabbas av ett ont, anropar hon Oss [om hjälp]; men när Vi skänker henne av Vårt goda, säger hon: "Detta
049_01	får jag på grund av min kunskap [och min klokhet]." Nej, detta [goda] är en prövning, men de flesta inser det inte.
050_00	Detsamma sade de som levde före dem [och som förnekade sanningen]; men det som de hade förvärvat [i livet] var dem till ingen nytta,
051_00	och det onda de hade gjort återföll på dem [själva]. Och de som nu begår orätt skall [också] drabbas av det onda de gör, och de kommer inte att kunna sätta sig upp emot [Gud]!
052_00	Vet de inte, att Gud ger den Han vill riklig, och den [Han vill] knappare utkomst? I detta ligger helt visst budskap till människor som vill tro!
053_00	SÄG [Muhammad] till Mina tjänare: "Om ni har gjort orätt mot er själva genom att överträda [Mina bud], misströsta då inte om Guds nåd.
053_01	Gud förlåter alla synder; Han är Den som ständigt förlåter, Den som ständigt visar barmhärtighet!"
054_00	Vänd åter till Gud och underkasta er Hans vilja innan straffet drabbar er och ni inte [längre] kan få hjälp.
055_00	Och följ den bästa av de [vägar] som har uppenbarats för er av er Herre, innan Hans straff plötsligt kommer över er, när ni minst anar det.
056_00	Ingen skall [då] kunna säga: 'Hur ångrar jag inte att jag försummade [lydnaden mot] Gud och att jag vågade göra narr [av de troende]!' -
057_00	och ingen säga: 'Om Gud hade väglett mig, skulle jag helt visst ha varit en av de gudfruktiga!' -
058_00	och heller ingen säga då han ser straffet: 'Om jag bara fick återvända [till jorden]! [Då] skulle jag vara en av dem som gör det goda och det rätta!'”
059_00	[Den som säger något sådant skall få detta svar:] "Nej, du har fått lyssna till Mina budskap, men du avvisade dem av högmod och nu är du en av dem som förnekar sanningen."
060_00	Och på Uppståndelsens dag skall du se den dystra uppsynen hos dem som satte ihop lögner om Gud. Är inte helvetet det [rätta] tillhållet för de högmodiga?
061_00	Men Gud skall rädda dem som fruktar Honom och belöna dem med det högsta goda; ingenting ont skall nå dem och ingen sorg skall tynga dem.
062_00	GUD är alltings Skapare; Han styr och övervakar allt.
063_00	Nycklarna till himlarnas och jordens [alla förråd] är i Hans hand - och de som vägrar att tro på Guds budskap, de är förlorarna.
064_00	Säg [Muhammad]: "Vill ni, som är utan tro, förmå mig att tillbe någon annan än Gud?"
065_00	Men det har uppenbarats för dig liksom för dina föregångare att om någon sätter medhjälpare vid Guds sida skall allt vad han har åstadkommit [i denna värld] gå om intet och [i nästa liv] skall han höra till förlorarna.
066_00	Nej, tillbe Gud och tacka [Honom] med de tacksamma!
067_00	De underskattar sannerligen Gud [som jämför Honom med bilder huggna i sten]!
067_01	På Uppståndelsens dag skall jorden vara [som] en nypa [grus] för Honom och himlarna skall ligga hoprullade i Hans högra hand. Nej, stor är Han i Sin härlighet, höjd högt över allt vad [människor] sätter vid Hans sida!
068_00	Och [Domens] basunstötar skall ljuda och alla i himlarna och på jorden - utom de som Gud vill [skona] - skall falla livlösa till marken. Ännu en basunstöt - och de reser sig och får skåda [den nya verkligheten].
