001_00	ALLT det som himlarna rymmer och det som jorden bär prisar Gud; Han är den Allsmäktige, den Vise.
002_00	TROENDE! Varför säger ni ett och gör ett annat?
003_00	Det är djupt förhatligt för Gud att era ord inte överensstämmer med era handlingar!
004_00	Gud älskar dem som kämpar för Hans sak i slutna led [så att de tillsammans bildar] liksom en stark och solid byggnad.
005_00	[Minns] Moses, som talade till sitt folk och sade: "Varför orsakar ni mig sorg och bekymmer, fastän ni vet att jag är sänd till er av
005_01	Gud?" Men när de [ändå] vek av [från den raka vägen], stämplade Gud deras hjärtan med avvikelsens stämpel; Gud leder inte dem som förhärdar sig i trots.
006_00	Och [minns] Jesus, Marias son, som sade: "Israeliter!
006_01	Jag är sänd till er av Gud för att bekräfta vad som ännu består av Tora och för att förkunna för er det glada budskapet att ett sändebud skall komma efter mig vars namn skall vara Ahmad." Men när han kom till dem med klara tecken och vittnesbörd, sade de: "Detta är uppenbart vältalighet som bländar och förhäxar!"
007_00	Vem är mer orättfärdig än den som, när han får kallelsen att underkasta sig Guds vilja, finner på lögner om Gud? Gud vägleder inte dem som begår [sådan] orätt.
008_00	De vill släcka ut Guds ljus med sina ord, men Gud skall låta Sitt ljus lysa med full styrka, hur förhatligt detta än måste vara för förnekarna av sanningen.
009_00	Det är Han som har sänt Sitt Sändebud med vägledningen och [för att förkunna] den sanna tron som skall föras till seger över all [annan form av] gudstro, hur förhatligt detta än kan vara för dem som sätter medhjälpare vid Guds sida.
010_00	TROENDE! Skall Jag berätta för er om en byteshandel som kommer att rädda er från ett svårt lidande?
011_00	[Den består för er del i att] ni tror på Gud och Hans Sändebud och strävar och kämpar för Guds sak med er egendom och ert liv som insats; detta är för er det bästa - om ni bara visste Ã‰!
012_00	[I gengäld] skall Han förlåta era synder och föra er till lustgårdar, vattnade av bäckar, och de bästa boningar i [detta] Edens paradis; detta är den stora, den lysande segern.
013_00	Och därtill något som ligger er om hjärtat: Guds hjälp och en förestående seger. - Tillkännage detta för de troende!
014_00	TROENDE!
014_01	Bli Guds medhjälpare!
014_02	Liksom Jesus, Marias son, sade till de vitklädda: "Vem vill bli min medhjälpare [i arbetet] för Guds sak?" och de svarade: "Vi vill vara Guds medhjälpare!". Bland Israels barn kom några att tro [på Jesus och hans budskap] medan andra förnekade [honom]. Men Vi stödde dem som trodde på honom mot deras fiender, och de [troende] avgick med segern.
