001_00	Elif, Lam, Mim.
002_00	Bu, doğruluğu şüphe götürmeyen ve Allah'a karşı gelmekten sakınanlara yol gösteren Kitap'dır.
003_00	Onlar, gaybe inanırlar, namazı kılarlar, kendilerine verdiğimiz rızıktan yerli yerince sarfederler.
004_00	Onlar, sana indirilen Kitap'a da, senden önce indirilenlere de inanırlar; ahirete de yalnız onlar kesinlikle inanırlar.
005_00	İşte Rab'lerinin yolunda olanlar ve saadete erişenler bunlardır.
006_00	Şüphe yok ki, inkar edenleri, başlarına gelecekle uyarsan da uyarmasan da birdir, inanmazlar.
007_00	Allah onların kalblerini ve kulaklarını mühürlemiştir, gözlerinde de perde vardır ve büyük azab onlar içindir.
008_00	İnsanlardan, inanmadıkları halde, "Allah'a ve ahiret gününe inandık" diyenler vardır.
009_00	Bunlar Allah'ı ve inananları aldatmaya çalışırlar, oysa sadece kendilerini aldatırlar da farkında değildirler.
010_00	Kalblerinde hastalık vardır, Allah hastalıklarını artırmıştır. Yalan söyleye geldikleri için onlara elem verici azab vardır.
011_00	Kendilerine: "Yeryüzünde bozgunculuk yapmayın" dendiği zaman, "Bizler sadece ıslah edicileriz" derler.
012_00	İyi bilin ki, asıl bozguncular kendileridir, lakin farkında değillerdir.
013_00	Onlara "Müslümanların inandığı gibi siz de inanın" denilince de, "Beyinsizlerin inandığı gibi mi inanalım?" derler; iyi bilin ki asıl beyinsizler kendileridir, fakat bilmezler.
014_00	İnananlara rastladıkları zaman, "İnandık" derler, elebaşılarıyla baş başa kaldıklarında, "Biz şüphesiz sizinleyiz, onlarla sadece alay etmekteyiz" derler.
015_00	Onlarla Allah alay eder ve taşkınlıkları içinde bocalar durumda bırakır.
016_00	Onlar, doğruluk yerine sapıklığı aldılar da alışverişleri kar getirmedi; doğru yolu bulamamışlardı.
017_00	Onlar, çevresini aydınlatmak için ateş yakan kimseye benzerler ki, Allah ışıklarını yok edince, onları karanlıklar içinde görmez bir halde bırakmıştır.
018_00	Sağırdırlar, dilsizdirler, kördürler, bu yüzden doğru yola dönmezler.
019_00	Bir kısmı da, karanlıklarda, gök gürlemeleri ve şimşek arasında gökten boşanan
019_01	sağanağa tutulup, yıldırımlardan ölmek korkusu ile parmaklarını kulaklarına tıkayan kimseye benzer.
020_00	Şimşeğin çakması neredeyse gözlerini alır; onları aydınlattıkça ışığında yürürler ve üzerlerine karanlık basınca durakalırlar.
020_01	Allah dileseydi işitme ve görmelerini giderirdi. Doğrusu Allah her şeye Kadir'dir.
021_00	Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize kulluk ediniz ki, O'na karşı gelmekten korunmuş olabilesiniz.
022_00	O, yeryüzünü size bir döşek ve göğü de bir bina kıldı.
022_01	Gökten su indirip onunla size rızık olmak üzere ürünler meydana getirdi; artık Allah'a, bile bile eş koşmayın.
023_00	Kulumuza indirdiğimiz Kuran'dan şüphe ediyorsanız, siz de onun benzeri bir sure meydana getirin; eğer doğru sözlü iseniz, Allah'tan başka, güvendiklerinizi de yardıma çağırın.
024_00	Yapamazsanız ki yapamayacaksınız o takdirde, inkar edenler için hazırlanan ve yakıtı insanlarla taş olan ateşten sakının.
025_00	İnananlar ve yararlı işler yapanlara, kendilerine altlarından ırmaklar akan cennetler olduğunu müjdele.
025_01	Onlara buranın bir ürünü rızık olarak verildiğinde, "Bu daha önce de rızıklandığımızdır" derler.
025_02	Bunlar, söylediklerinin benzerleri olarak sunulmuştur. Onlara orada tertemiz eşler vardır ve orada temelli kalırlar.
026_00	Allah sivrisineği ve onun üstününü misal olarak vermekten çekinmez. İnananlar bunun Rablerinden bir gerçek olduğunu bilirler.
026_01	İnkar edenler ise "Allah bu misalle neyi murad etti?" derler, O, bu misalle birçoğunu saptırır, birçoğunu da yola getirir. Onunla saptırdığı yalnız fasıklardır ki onlar Allah'la yapılan sözleşmeyi kabulden sonra bozarlar. Allah'ın birleştirilmesini buyurduğu şeyi ayırırlar ve yeryüzünde bozgunculuk yaparlar; zarara uğrayanlar işte onlardır.
027_00	Allah sivrisineği ve onun üstününü misal olarak vermekten çekinmez. İnananlar bunun Rablerinden bir gerçek olduğunu bilirler. İnkar edenler ise "Allah bu misalle neyi murad etti?" derler, O, bu misalle birçoğunu saptırır, birçoğunu da yola getirir. Onunla saptırdığı yalnız fasıklardır ki onlar Allah'la yapılan sözleşmeyi kabulden sonra bozarlar. Allah'ın birleştirilmesini buyurduğu şeyi ayırırlar ve yeryüzünde bozgunculuk yaparlar; zarara uğrayanlar işte onlardır.
028_00	Ölü idiniz sizleri diriltti, sonra öldürecek sonra tekrar diriltecek ve sonunda O'na döneceksiniz; öyleyken Allah'ı nasıl inkar edersiniz?
029_00	Yerde olanların hepsini; sizin için yaratan O'dur. Sonra, göğe doğru yönelerek yedi gök olarak onları düzenlemiştir. O her şeyi bilir.
030_00	Rabbin meleklere "Ben yeryüzünde bir halife var edeceğim" demişti; melekler, "Orada bozgunculuk yapacak, kanlar akıtacak birini mi var edeceksin?
030_01	Oysa biz Seni överek yüceltiyor ve Seni devamlı takdis ediyoruz" dediler; Allah "Ben şüphesiz sizin bilmediklerinizi bilirim" dedi.
031_00	Ve Adem'e bütün isimleri öğretti, sonra eşyayı meleklere gösterdi. "Eğer sözünüzde samimi iseniz bunların isimlerini bana söyleyin" dedi.
032_00	Cevap verdiler: "Sen münezzehsin, öğrettiğinden başka bizim bir bilgimiz yoktur. Şüphesiz Sen hem bilensin, hem Hakim'sin".
033_00	Allah "Ey Adem onlara isimlerini söyle" dedi.
033_01	Adem isimlerini söyleyince, Allah "Ben gökler ve yerde görünmeyeni biliyorum, sizin açıkladığınızı ve gizlemekte olduğunuzu da bilirim, diye size söylememiş miydim?" dedi.
034_00	Meleklere, "Adem'e secde edin" demiştik, İblis müstesna hepsi secde ettiler, o ise kaçındı, büyüklük tasladı ve inkar edenlerden oldu.
035_00	"Ey Adem! Eşin ve sen cennette kal, orada olandan istediğiniz yerde bol bol yiyin, yalnız şu ağaca yaklaşmayın; yoksa zalimlerden olursunuz" dedik.
036_00	Şeytan oradan ikisinin de ayağını kaydırttı, onları bulundukları yerden çıkardı, onlara
036_01	"Birbirinize düşman olarak inin, yeryüzünde bir müddet için yerleşip geçineceksiniz" dedik.
037_00	Adem, Rabbi'nden emirler aldı; onları yerine getirdi. Rabb'i de bunun üzerine tevbesini kabul etti. Şüphesiz o tevbeleri daima kabul edendir, merhametli olandır.
038_00	"İnin oradan hepiniz, tarafımdan size bir yol gösteren gelecektir; Benim yoluma uyanlar için artık korku yoktur, onlar üzülmeyeceklerdir" dedik.
039_00	İnkar eden kimseler ve ayetlerimizi yalan sayanlar cehennemlik olanlardır, onlar orada temelli kalacaklardır.
040_00	Ey İsrailoğulları! Size verdiğim nimeti hatırlayın ve ahdimi yerine getirin ki Ben de yerine getireyim; yoksa benden korkun.
041_00	Yanınızdaki Tevrat'ı tasdik ederek indirdiğim Kuran'a, inanın; onu ilk inkar edenler siz olmayın, ayetlerimi hiçbir değere karşılık değiştirmeyin ve bile bile hakkı gizlemeyin.
042_00	Hakkı batıla karıştırmayın ve bile bile hakkı gizlemeyin.
043_00	Namazı kılın, zekatı verin, rüku edenlerle birlikte rüku edin.
044_00	Kitap'ı okuyup durduğunuz halde kendinizi unutur da başkalarına mı iyilikle emredersiniz? Düşünmez misiniz?
045_00	Sabır ve namazla Allah'a sığınıp yardım isteyin; Rablerine kavuşacaklarını ve Ona döneceklerini umanlar ve huşu duyanlardan başkasına namaz elbette ağır gelir.
046_00	Sabır ve namazla Allah'a sığınıp yardım isteyin; Rablerine kavuşacaklarını ve Ona döneceklerini umanlar ve huşu duyanlardan başkasına namaz elbette ağır gelir.
047_00	Ey İsrailoğulları! Size verdiğim nimeti ve sizi bir zamanlar alemlere üstün kıldığımı hatırlayın.
048_00	Kimsenin kimseden faydalanamayacağı, kimseden bir şefaat kabul edilmeyeceği, kimseden bir fidye alınmayacağı ve yardım görülmeyeceği günden korunun.
049_00	Size işkence eden, kadınlarınızı sağ bırakıp oğullarınızı boğazlayan Firavun
049_01	ailesinden sizi kurtarmıştık; bu Rabbinizin büyük bir imtihanı idi.
050_00	Denizi yarıp sizi kurtarmış ve gözlerinizin önünde Firavun ailesini batırmıştık.
051_00	Musa'ya kırk gece vade vermiştik. Sonra onun arkasından, kendinize yazık ederek, buzağıyı tanrı edinmiştiniz.
052_00	Sonra bunun ardından, şükredersiniz diye, sizi bağışlamıştık.
053_00	Doğru yola gidesiniz diye Musa'ya hakkı batıldan ayıran Kitabı vermiştik.
054_00	Musa milletine "Ey milletim!
054_01	Buzağıyı tanrı olarak benimsemekle kendinize yazık ettiniz. Yaratanınıza tevbe edin ve nefislerinizi öldürün, bu Yaratanınız katında sizin için hayırlı olur; O daima tevbeleri kabul ve merhamet eden olduğu için tevbenizikabul eder" demişti.
055_00	"Ya Musa! Allah'ı apaçık görmedikçe sana inanmayacağız" demiştiniz de gözleriniz göre göre sizi yıldırım çarpmıştı.
056_00	Ölümünüzden sonra, şükredesiniz diye sizi tekrar diriltmiştik.
057_00	Bulutla sizi gölgelendirdik, kudret helvası ve bıldırcın indirdik, "Verdiğimiz rızıkların iyi ve güzel olanlarından yiyin" dedik.
057_01	Onlar Bize değil, fakat kendilerine yazık ediyorlardı.
058_00	"Şu şehre girin, orada dilediğiniz gibi, bol bol yiyin, secde ederek kapısından
058_01	girin, "bağışla!" deyin, Biz de yanılmalarınızı bağışlarız, iyilere daha da artırırız" demiştik.
059_00	Ama zulmedenler, kendilerine söylenmiş olan sözü başka sözle değiştirdiler. Biz de, zalimlere, yoldan çıkmalarından dolayı gökten azab indirdik.
060_00	Musa, milleti için su aramıştı; "Asanla taşa vur" dedik; ondan on iki pınar fışkırdı, herkes içeceği yeri bildi.
060_01	Allah'ın rızkından yiyin, için, yalnız yeryüzünde bozgunculuk yaparak karışıklık çıkarmayın.
061_00	"Ey Musa!
061_01	Bir çeşit yemeğe dayanamayacağız, bizim için Rabbine yalvar, bize, yerin bitirdiği sebze, hıyar, sarımsak, mercimek ve soğan yetiştirsin" demiştiniz de, "Hayırlı olanı daha düşük şeyle mi değiştirmek istiyorsunuz?
061_02	Bir şehre inin, şüphesiz orada istediğiniz vardır" demişti.
