001_00	Kitap'ın indirilmesi, güçlü ve Hakim olan Allah katındandır.
002_00	Biz sana Kitap'ı gerçekle indirdik. Öyle ise dini Allah için halis kılarak O'na kulluk et.
003_00	Dikkat edin, halis din Allah'ındır; O'nu bırakıp da putlardan dostlar edinenler: "Onlara, bizi Allah'a yaklaştırsınlar diye kulluk ediyoruz" derler.
003_01	Doğrusu Allah ayrılığa düştükleri şeylerde aralarında hüküm verecektir.
003_02	Allah şüphesiz yalancı ve inkarcı kimseyi doğru yola eriştirmez.
004_00	Allah çocuk edinmek isteseydi, yaratıklarından dilediğini seçerdi. O münezzehtir, O; gücü her şeye yeten tek Allah'tır.
005_00	Gökleri ve yeri gerçekten yaratan O'dur. Geceyi gündüze dolar, gündüzü geceye dolar.
005_01	Her biri belirli bir süreye kadar yörüngelerinde yürüyen güneş ve ayı buyruk altında tutar. Dikkat edin, güçlü olan, çok bağışlayan O'dur.
006_00	Sizi bir tek nefisten yaratmış, sonra ondan eşini varetmiştir; sizin için hayvanlardan sekiz çift meydana getirmiştir; sizi annelerinizin karınlarında üç türlü karanlık içinde, yaratılıştan yaratılışa geçirerek yaratmıştır; işte bu Rabbiniz olan Allah'tır.
006_01	Hükümranlık O'nundur, O'ndan başka tanrı yoktur.
006_02	Öyleyken nasıl olur da O'nu bırakıp başkasına yönelirsiniz?
007_00	Eğer inkar ederseniz bilin ki Allah sizden müstağnidir. Kullarının inkarından hoşnut olmaz.
007_01	Eğer şükrederseniz sizden hoşnut olur. Hiçbir günahkar diğerinin günahını yüklenmez. Sonunda dönüşünüz Rabbinizedir; yaptıklarınızı o zaman size haber verir; çünkü O, kalblerde olanı bilir.
008_00	İnsanın başına bir sıkıntı gelince Rabbine yönelerek O'na yalvarır.
008_01	Sonra Allah, katından bir nimet verince önceden kime yalvarmış olduğunu unutuverir; Allah'ın yolundan saptırmak için O'na eşler koşar. De ki: "İnkarınla az bir müddet zevklen, şüphesiz sen cehennemliksin."
009_00	Geceleyin secde ederek ve ayakta durarak boyun büken, ahiretten çekinen, Rabbinin rahmetini dileyen kimse inkar eden kimse gibi olur mu?
009_01	De ki: "Bilenlerle bilmeyenler bir olur mu? Doğrusu ancak akıl sahipleri öğüt alırlar."
010_00	Şöyle de: "Ey inanan kullarım! Rabbinize karşı gelmekten sakının; bu dünyada iyilik yapanlara iyilik vardır.
010_01	Allah'ın yarattığı yeryüzü geniştir. Yalnız sabredenlere, ecirleri sonsuz olarak ödenecektir."
011_00	De ki: "Dini Allah'a halis kılarak O'na kulluk etmekle emrolundum."
012_00	"Ve Müslümanların ilki olmakla emrolundum."
013_00	De ki: "Rabbime karşı gelirsem, doğrusu büyük günün azabından korkarım."
014_00	De ki: "Ben, dinimi Allah'a halis kılarak O'na kulluk ederim;
015_00	Ey Allah'a eş koşanlar! Siz de O'ndan başka dilediğinize kulluk edin." De ki: Hüsrana uğrayanlar kıyamet günü kendilerini ve ailelerini hüsrana sokanlardır. Dikkat edin, işte apaçık hüsran budur.
016_00	Onlara üstlerinden kat kat ateş vardır. Allah kullarını bununla korkutur. Ey kullarım, Benden sakının.
017_00	Şeytana ve putlara kulluk etmekten kaçınıp, Allah'a yönelenlere, onlara, müjde vardır. Dinleyip de, en güzel söze uyan kullarımı müjdele. İşte Allah'ın doğru yola eriştirdiği onlardır. İşte onlar akıl sahipleridir.
018_00	Şeytana ve putlara kulluk etmekten kaçınıp, Allah'a yönelenlere, onlara, müjde vardır. Dinleyip de, en güzel söze uyan kullarımı müjdele. İşte Allah'ın doğru yola eriştirdiği onlardır. İşte onlar akıl sahipleridir.
019_00	Hakkında azap sözü gerçekleşmiş kimseyi, ateşte olanı sen mi kurtaracaksın?
020_00	Fakat, Rablerinden sakınanlara, üst üste bina edilmiş köşkler vardır; altlarından ırmaklar akar. Bu, Allah'ın verdiği sözdür, Allah verdiği sözden caymaz.
021_00	Allah'ın gökten bir su indirip, onu yerdeki kaynaklara yerleştiren, sonra onunla çeşitli renklerde ekinler yetiştiren olduğunu görmez misin?
021_01	Sonra onları kurutur ki sen de onları sapsarı görürsün, sonra da çer çöpe çevirir. Şüphesiz bunlarda, akıl sahipleri için öğüt vardır.
022_00	Allah kimin gönlünü İslam'a açmışsa, o, Rabbi katından bir nur üzere olmaz mı? Kalbleri Allah'ı anmak hususunda katılaşmış olanlara yazıklar olsun; işte bunlar apaçık sapıklıktadırlar.
023_00	Allah, ayetleri birbirine benzeyen ve yer yer tekrar eden Kitap'ı sözlerin en güzeli olarak indirmiştir. Rablerinden korkanların, bu Kitap'tan tüyleri ürperir, sonra hem derileri ve hem de kalbleri Allah'ın zikrine yumuşar ve yatışır.
023_01	İşte bu Kitap, Allah'ın doğruluk rehberidir, onunla istediğini doğru yola eriştirir. Allah kimi de saptırırsa artık ona yol gösteren bulunmaz.
024_00	Kıyamet günü kötü azaptan yüzünü korumaya çalışan kimse, güven içinde olan kimse gibi midir? Zalimlere: "Kazandıklarınızın karşılığını tadın" denir.
025_00	Onlardan öncekiler de peygamberleri yalanlamışlardı da farkına varmadıkları yerden onlara bir azap çatmıştı.
026_00	Allah onlara, dünya hayatında rezilliği tattırdı; ahiret azabı daha büyüktür. Keşke bilseler!
027_00	Biz bu Kuran'da insanlara her türlü misali, belki öğüt alırlar diye, and olsun ki verdik.
028_00	O, eğriliği olmayan, Arapça bir Kuran'dır. Belki sakınırlar.
029_00	Allah, geçimsiz efendileri olan bir adamla, yalnız bir kişiye bağlı olan bir adamı misal olarak verir. Bu ikisi eşit midir? Övülmek Allah içindir, fakat çoğu bilmezler.
030_00	Şüphesiz sen de öleceksin, onlar da ölecekler.
031_00	Ey insanlar! Sonra siz, kıyamet günü Rabbinizin huzurunda duruşmaya çıkacaksınız.
032_00	Allah'a karşı yalan uydurandan, kendisine gelmiş gerçeği yalan sayandan daha zalim olan kimdir? İnkarcılar için cehennemde dur durak olmaz olur mu?
033_00	Gerçeği getiren ve onu doğrulayanlar, işte onlar, Allah'a karşı gelmekten sakınmış olanlardır.
034_00	Onlara, Rablerinin katında diledikleri şeyler vardır, bu, iyilerin mükafatıdır.
035_00	Zira Allah, onların yaptıkları kötülükleri örter, onlara, işledikleri şeylerin en güzel karşılıklarını verir.
036_00	Allah, kuluna yetmez mi? Seni O'ndan başka şeylerle korkutuyorlar. Allah'ın, saptırdığını doğru yola koyacak yoktur.
037_00	Allah'ın doğru yola eriştirdiğini de saptıracak yoktur. Allah, güçlü olan, öç alabilen değil midir?
038_00	And olsun ki, onlara, "Gökleri ve yeri yaratan kimdir?" diye sorsan: "Allah'tır" derler.
038_01	De ki: "Öyleyse bana bildirin, Allah bana bir zarar vermek isterse, Allah'ı bırakıp da taptıklarınız, O'nun verdiği zararı giderebilir mi?
038_02	Yahut bana bir rahmetdilerse, O'nun rahmetini önleyebilir mi?" De ki: "Allah bana yeter; güvenenler O'na güvenir."
039_00	De ki: "Ey milletim! Durumunuzun gerektirdiğini yapın; doğrusu ben de yapacağım. Kendisini rezil edecek azap kime gelecek, kime sürekli azap inecek bileceksiniz."
040_00	De ki: "Ey milletim! Durumunuzun gerektirdiğini yapın; doğrusu ben de yapacağım. Kendisini rezil edecek azap kime gelecek, kime sürekli azap inecek bileceksiniz."
041_00	Doğrusu Biz, insanlar için Kitap'ı gerçekle sana indirdik; kim doğru yolda ise bu kendi lehinedir; sapıtan da kendi aleyhine sapıtmış olur. Sen onlara vekil değilsin.
042_00	Allah, öleceklerin ölümleri anında, ölmeyeceklerin de uykuları esnasında ruhlarını alır.
042_01	Ölmelerine hükmettiği kimselerinkini tutar, diğerlerini bir süreye kadar salıverir. Doğrusu bunda düşünen kimseler için dersler vardır.
043_00	Yoksa Allah'tan başka şefaatçiler mi edindiler? De ki: "Onlar bir şeye sahip olmadıkları, akıl da edemedikleri halde mi şefaat edecekler?"
044_00	De ki: "Bütün şefaat Allah'ın iznine bağlıdır. Göklerin ve yerin hükümranlığı O'nundur. Sonra O'na döneceksiniz."
045_00	Allah tek olarak anıldığı zaman, ahirete inanmayanların kalbleri nefretle çarpar, ama Allah'tan başka putlar anıldığı zaman hemen yüzleri güler.
046_00	De ki: "Ey göklerin, yerin yaratanı, görülmeyeni ve görüleni bilen Allah'ım! Kullarının ayrılığa düştükleri şeyler hakkında aralarında Sen hükmedeceksin."
047_00	Yeryüzünde olanların hepsi ve bir misli daha zalimlerin olmuş olsa, kıyamet günündeki kötü azap için fidye verseler kabul edilmez.
047_01	Allah katından onlara, hiç hesaplamadıkları şeyler beliriverir.
048_00	Onlara, işledikleri kötü şeyler belli olur; alaya aldıkları şeyler de kendilerini çepeçevre sarar.
049_00	İnsanın başına bir sıkıntı gelince Bize yalvarır.
049_01	Sonra katımızdan ona bir nimet verdiğimiz zaman: "Bu bana bilgimden dolayı verilmiştir" der. Hayır; o bir imtihandır, fakat çokları bilmezler.
050_00	Bunu onlardan öncekiler de söylemişti, ama kazandıkları şeyler onlara fayda vermedi.
051_00	Bunun için, işledikleri kötülükler başlarına geldi. Bunlar içinde zulmedenlerin de kazandıkları kötülükler başlarına gelecektir. Bu hususta Allah'ı aciz bırakamazlar.
052_00	Allah'ın rızkı dilediğine yaydığını ve kısıp bir ölçüye göre verdiğini bilmezler mi? Doğrusu bunda, inanan kimseler için dersler vardır.
053_00	De ki: "Ey kendilerine kötülük edip aşırı giden kullarım! Allah'ın rahmetinden umudunuzu kesmeyin.
053_01	Doğrusu Allah günahların hepsini bağışlar. Çünkü O, bağışlayandır, merhametlidir."
054_00	"Rabbinize yönelin. Azap size gelmeden önce O'na teslim olun; sonra yardım görmezsiniz."
055_00	"Size ansızın, farkına varmadan azap gelmeden önce Rabbinizden size indirilen en güzel söze, Kuran'a uyun."
056_00	Kişinin: "Allah'a karşı aşırı gitmemden ötürü bana yazıklar olsun. Gerçekten ben alaya alanlardandım" diyeceği günden sakının.
057_00	Veya, "Allah beni doğru yola eriştirseydi sakınanlardan olurdum" diyeceği, yahut, azabı gördüğünde: "Keşke benim için dönüş imkanı bulunsa da iyilerden olsam" diyeceği günden sakının.
058_00	Veya, "Allah beni doğru yola eriştirseydi sakınanlardan olurdum" diyeceği, yahut, azabı gördüğünde: "Keşke benim için dönüş imkanı bulunsa da iyilerden olsam" diyeceği günden sakının.
059_00	Ey insanoğlu! Evet; ayetlerim sana gelmişti de onları yalanlamış, büyüklük taslamış ve inkarcılardan olmuştun.
060_00	Allah'a karşı yalan uyduranların, kıyamet günü, yüzlerinin simsiyah olduğunu görürsün. Böbürlenenler için cehennemde bir durak olmaz olur mu?
061_00	Allah, sakınanları başarılarından ötürü kurtarır. Onlara hiçbir kötülük gelmez; onlar üzülmezler.
062_00	Allah her şeyin yaratanıdır. O her şeye Vekil'dir.
063_00	Göklerin ve yerin kilitleri O'nundur. Allah'ın ayetlerini inkar edenler, işte onlar hüsrandadırlar.
064_00	De ki: "Ey cahiller! Bana, Allah'tan başkasına kulluk etmemi mi emredersiniz?"
065_00	And olsun ki sana da, senden önceki peygamberlere de vahyolunmuştur: "And olsun, eğer Allah'a ortak koşarsan işlerin şüphesiz boşa gider ve hüsranda kalanlardan olursun."
