001_00	Elif, Lam, Mim.
002_00	Şüphe götürmeyen Kitap, Alemlerin Rabbi'nin indirdiğidir.
003_00	"Onu peygamberin kendisi uydurdu" diyorlar, öyle mi? Hayır; O, senden önce peygamber gönderilmemiş olan bir milleti uyarman için sana Rabbinden gelen bir gerçektir. Belki artık doğru yolu bulurlar.
004_00	Gökleri, yeri ve ikisinin arasında bulunanları altı günde yaratan, sonra arşa hükmeden Allah'tır.
004_01	O'ndan başka bir dostunuz ve şefaatçiniz yoktur. Düşünmüyor musunuz?
005_00	Gökten yere kadar, olan bütün işleri Allah düzenler, sonra, işler sizin hesabınıza göre bin yıl kadar tutan bir gün içinde O'na yükselir.
006_00	O, görülmeyeni de görüleni de bilendir, güçlüdür, merhametlidir.
007_00	Yarattığı her şeyi güzel yaratan, insanı başlangıçta çamurdan yaratan, sonra onun soyunu, bayağı bir suyun özünden yapan, sonra onu şekillendirip ruhundan ona üfleyen Allah'tır. Size kulaklar, gözler, kalbler verilmiştir. Öyleyken, pek az şükrediyorsunuz.
008_00	Yarattığı her şeyi güzel yaratan, insanı başlangıçta çamurdan yaratan, sonra onun soyunu, bayağı bir suyun özünden yapan, sonra onu şekillendirip ruhundan ona üfleyen Allah'tır. Size kulaklar, gözler, kalbler verilmiştir. Öyleyken, pek az şükrediyorsunuz.
009_00	Yarattığı her şeyi güzel yaratan, insanı başlangıçta çamurdan yaratan, sonra onun soyunu, bayağı bir suyun özünden yapan, sonra onu şekillendirip ruhundan ona üfleyen Allah'tır. Size kulaklar, gözler, kalbler verilmiştir. Öyleyken, pek az şükrediyorsunuz.
010_00	Puta tapanlar: "Toprağa karışıp yok olduktan sonra yeniden mi yaratılacağız?" derler. Evet; onlar, Rab'lerine kavuşmayı inkar edenlerdir.
011_00	De ki: "Size vekil kılınan ölüm meleği canınızı alacak, sonra Rabbinize döndürüleceksiniz."
012_00	Suçluları Rablerinin huzurunda, başları öne eğilmiş olarak: "Rabbimiz! Gördük, dinledik, artık bizi dünyaya geri çevir de iyi iş işleyelim; doğrusu kesin olarak inandık" derlerken bir görsen!
013_00	Biz dilesek herkese hidayet verirdik, fakat cehennemi tamamen cin ve insanlarla dolduracağıma dair Benden söz çıkmıştır.
014_00	"Bugüne kavuşmayı unutmanızın karşılığını görün; doğrusu Biz de sizi unuttuk, yaptıklarınıza karşılık ebedi azabı tadın" deriz.
015_00	Ayetlerimize ancak, kendilerine hatırlatıldığı zaman secdeye kapananlar, büyüklük taslamayarak Rablerini överek yüceltenler, vücudlarını yataklardan uzak tutup korkarak ve umarak Rablerine yalvaranlar ve verdiğimiz rızıklardan sarfedenler inanır.
016_00	Ayetlerimize ancak, kendilerine hatırlatıldığı zaman secdeye kapananlar, büyüklük taslamayarak Rablerini överek yüceltenler, vücudlarını yataklardan uzak tutup korkarak ve umarak Rablerine yalvaranlar ve verdiğimiz rızıklardan sarfedenler inanır.
017_00	Yaptıklarına karşılık onlar için saklanan müjdeyi kimse bilmez.
018_00	İnanan kimse yoldan çıkmış kimseye benzer mi? Bunlar bir olamazlar.
019_00	İnanıp yararlı iş işleyenlere gelince, onların yaptıklarına karşılık, varacakları cennet konakları vardır.
020_00	Ama yoldan çıkanların, işte onların varacağı yer ateştir.
020_01	Oradan çıkmak isteyişlerinin her defasında geri çevrilirler ve onlara: "Yalanlayıp, durduğunuz ateşin azabını tadın" denir.
021_00	Belki yollarından dönerler diye and olsun onlara büyük azabdan önce dünya azabından tattırırız.
022_00	Rabbinin ayetleri kendisine hatırlatılıp da onlardan yüz çeviren kimseden daha zalim var mıdır? Şüphesiz suçlulardan öç alacağız.
023_00	And olsun ki Musa'ya Kitap verdik; Sakın sen ona kavuşacağından şüphe etme. Musa'ya verdiğimizi İsrailoğullarına doğruluk rehberi kıldık.
024_00	Sabredip ayetlerimize kesin olarak inanmalarından ötürü, aralarından, onları buyruğumuzla doğru yola götüren önderler yaptık.
025_00	Muhakkak ki Rabbin ayrılığa düştükleri şeylerde kıyamet günü aralarında hükmedecektir.
026_00	Şimdi yurtlarında gezip dolaştıkları, kendilerinden önceki nice nesilleri yok etmiş olmamız onları doğru yola sevketmez mi? Bunlarda şüphesiz ibretler vardır. Dinlemezler mi?
027_00	Kuru yerlere suyu gönderip onunla hayvanlarının ve kendilerinin yedikleri ekinleri çıkardığımızı görmezler mi? Görmüyorlar mı?
028_00	"Doğru söylüyorsanız bildirin bu hüküm ne zaman verilecektir?" derler.
029_00	De ki: "Hükmün verileceği gün inkarcılara ne inanmaları fayda verir ve ne de ertelenirler."
030_00	Onları bırak, bekle; zaten onlar da senin akıbetini beklemektedirler.
