001_00	Elif, Lam, Ra. İşte bunlar hikmetli Kitap'ın ayetleridir.
002_00	İçlerinden birine, "İnsanları uyar ve inananlara, Rableri katında yüksek makamlar olduğunu müjdele"
002_01	diye vahyetmemiz, insanların tuhafına mı gitti ki, kafirler: "Bu apaçık bir büyücüdür" dediler?
003_00	Doğrusu sizin Rabbiniz gökleri ve yeri altı günde yaratıp sonra arşa hükmeden, işi düzenleyen Allah'tır, izni olmadan kimse şefaat edemez. İşte Rabbiniz olan Allah budur.
003_01	O'na kulluk edin. Nasihat dinlemez misiniz?
004_00	Hepinizin dönüşü, O'nadır. Allah'ın vadi haktır.
004_01	O, önce yaratır, sonra inanıp yararlı işler yapanların ve inkar edenlerin hareketlerinin karşılığını adaletle vermek için tekrar diriltir. İnkarcılara, inkarlarından ötürü kızgın bir içecek ve can yakıcı azab vardır.
005_00	Güneşi ışıklı ve ayı nurlu yapan; yılların sayısını ve hesabı bilmeniz için, aya konak yerleri düzenleyen O'dur.
005_01	Allah bunları ancak gerçeğe göre yaratmıştır; bilen millete ayetleri uzun uzadıya açıklıyor.
006_00	Gece ile gündüzün birbiri ardınca gelmesinde, Allah'ın göklerde ve yerde yarattıklarında, O'na karşı gelmekten sakınan kimseler için ayetler vardır.
007_00	Bizimle karşılaşmayı ummayan ve dünya hayatından hoşnut olup ona bağlananların ve ayetlerimizden habersiz bulunanların, işte bunların kazandıklarına karşılık varacakları yer cehennemdir.
008_00	Bizimle karşılaşmayı ummayan ve dünya hayatından hoşnut olup ona bağlananların ve ayetlerimizden habersiz bulunanların, işte bunların kazandıklarına karşılık varacakları yer cehennemdir.
009_00	İnananlar ve yararlı iş yapanları, imanlarına karşılık Rableri doğru yola eriştirir; nimet cennetlerinde onların altlarından ırmaklar akar.
010_00	Oradaki duaları: "Münezzehsin ey Allah'ım", dirlik temennileri: "Selam size" ve dualarının sonu da: "Alemlerin Rabbi Allah'a hamd olsun"dur.
011_00	İyiliği acele isteyen kimselere Allah fenalığı da çarçabuk verseydi, süreleri hemen bitmiş olurdu.
011_01	Bizimle karşılaşmayı ummayanları, azgınlıkları içinde bocalayıp dururlarken bırakırız.
012_00	İnsana bir darlık gelince, yan yatarken, oturur veya ayakta iken bize yalvarıp yakarır; biz darlığını giderince, başına gelen darlıktan ötürü bize hiç yalvarmamışa döner.
012_01	İşlerinde tutumsuz olanlara, yaptıkları böylece güzel görünür.
013_00	And olsun ki, sizden önce nice nesilleri, peygamberleri onlara belgeler getirmişken, haksızlık ederek inanmadıkları zaman yok etmiştik.
013_01	İşte biz suçlu milleti böyle cezalandırırız.
014_00	Sonra onların ardından, nasıl davranacağınıza bakmak için sizi yeryüzünde onların yerine geçirdik.
015_00	Ayetlerimiz onlara açık açık okununca, bizimle karşılaşmayı ummayanlar, "Bundan başka bir Kuran getir veya bunu değiştir" dediler.
015_01	De ki: "Onu kendiliğimden değiştiremem, ben ancak, bana vahyolunana uyarım. Ben Rabbime karşı gelirsem, büyük günün azabına uğramaktan korkarım."
016_00	De ki: "Allah dileseydi ben onu size okumazdım, size de bildirmemiş olurdu. Daha önce yıllarca aranızda bulundum, hiç düşünmüyor musunuz?"
017_00	Allah'a karşı yalan uyduran veya ayetlerini yalan sayandan daha zalim kim olabilir? Suçlular elbette saadete erişemezler.
018_00	Onlar, Allah'ı bırakarak, kendilerine fayda da zarar da veremeyen putlara taparlar: "Bunlar, Allah katında bizim şefaatçılarımızdır" derler.
018_01	De ki: "Göklerde ve yerde, Allah'ın bilmediği bir şeyi mi O'na haber veriyorsunuz?" Allah, onların ortak koşmalarından münezzeh ve yücedir.
019_00	İnsanlar bir tek ümmettiler, sonra ayrılığa düştüler; şayet Rabbinden, daha önce bir takdir geçmemiş olsaydı, aralarında ihtilafa düştükleri şeyler hakkında hüküm çoktan verilmiş olurdu.
020_00	"Rabbinden ona (Muhammed'e) bir mucize indirilse ne olur!" derler. Onlara de ki: "Gaybı bilmek Allah'a mahsustur; bekleyin, doğrusu ben de sizinle birlikte beklemekteyim."
021_00	İnsanlara darlık geldikten sonra onlara bolluğu taddırdığımızda, hemen ayetlerimize dil uzatmağa kalkışırlar; onlara de
021_01	ki: "Hile yapanın cezasını vermekte Allah daha çabuktur." Elçi meleklerimiz kurduğunuz tuzakları hiç şüphesiz yazmaktadırlar.
022_00	Sizi karada ve denizde yürüten Allah'tır. Bulunduğunuz gemi, içindekileri güzel bir rüzgarla götürürken yolcular neşelenirler;
022_01	bir fırtına çıkıp da onları her taraftan dalgaların sardığı ve çepeçevre kuşatıldıklarını sandıkları anda ise
022_02	Allah'ın dinine sarılarak, "Bizi bu tehlikeden kurtarırsan and olsun ki şükredenlerden oluruz" diye O'na yalvarırlar.
023_00	Allah onları kurtarınca, hemen yeryüzünde haksız yere taşkınlıklara başlarlar. Ey insanlar!
023_01	Geçici dünya hayatında yaptığınız taşkınlık aleyhinizedir. Sonra dönüşünüz Bizedir. Yaptıklarınızı size bildiririz.
024_00	Dünya hayatı gökten indirdiğimiz su gibidir ki, onunla insan ve hayvanların yiyeceği bitkiler yetişip birbirine karışmıştır.
024_01	Yeryüzünün süslenip bezendiği ve yerin sahiplerinin bütün bunlara malik olduklarını sandıkları sırada, gece veya gündüz buyruğumuz o yere gelmiş ve orayı hiçbir şey bitirmemişe çevirmişiz; bir gün önce birşey yokmuş gibi olmuştur.
024_02	Düşünen millet için ayetleri böylece uzun açıklıyoruz.
025_00	Allah, cennete çağırır ve dilediğini doğru yola eriştirir.
026_00	İyi davrananlara; daima daha iyisi ve üstünü verilir. Onların yüzlerine ne bir karalık, ne de zillet bulaşır. İşte onlar cennetliklerdir, orada temelli kalırlar.
027_00	Kötülük işleyenlere kötülükleri kadar ceza verilir; onların yüzlerini zillet bürür; Allah'a karşı onları savunacak yoktur; yüzleri, geceden kara bir parçayla örtülmüş gibidir.
027_01	Bunlar cehennemliklerdir, orada temelli kalırlar.
