001_00	Elif, Lam, Mim.
002_00	And olsun, biz kendilerinden öncekileri de denemişken, insanlar, "İnandık" deyince, denenmeden bırakılacaklarını mı sanırlar? Allah elbette doğruları ortaya koyacak ve elbette yalancıları da ortaya çıkaracaktır.
003_00	And olsun, biz kendilerinden öncekileri de denemişken, insanlar, "İnandık" deyince, denenmeden bırakılacaklarını mı sanırlar? Allah elbette doğruları ortaya koyacak ve elbette yalancıları da ortaya çıkaracaktır.
004_00	Yoksa, kötülük yapanlar Bizden kaçabileceklerini mi sanarlar? Ne kötü hüküm veriyorlar!
005_00	Allah'la karşılaşmayı uman bilsin ki, Allah'ın bunun için belirttiği vakit gelecektir. O, işitir ve bilir.
006_00	Hak uğrunda cihat eden, ancak kendisi için cihat etmiş olur. Doğrusu Allah, alemlerden müstağnidir.
007_00	İnanıp yararlı iş işleyenlerin kötülüklerini, and olsun ki, örteriz; onları, yaptıklarından daha güzeli ile mükafatlandırırız.
008_00	Biz, insana, ana ve babasına karşı iyi davranmasını tavsiye etmişizdir. Eğer ana baba, seni bir şeyi körü körüne Bana ortak koşman için zorlarlarsa, o zaman onlara itaat etme.
008_01	Dönüşünüz Banadır. Yaptıklarınızı size bildiririm.
009_00	İnanıp, yararlı iş işleyenleri, and olsun, iyilerin arasına koyarız.
010_00	İnsanlardan: "Allah'a inandık" diyenler vardır; ama Allah uğrunda bir ezaya uğratılınca, insanların ezasını Allah'ın azabı gibi tutarlar.
010_01	Rabbinizden bir yardım gelecek olursa, and olsun ki, "Doğrusu biz sizinle beraberdik" derler. Allah, herkesin kalbinde olanları en iyi bilen değil midir?
011_00	Allah elbette inananları bilir ve elbette ikiyüzlüleri de bilir.
012_00	İnkar edenler inananlara: "Bizim yolumuza uyun da sizin günahlarınızı biz taşıyalım" derler. Oysa onların günahlarından hiçbirini yüklenecek değillerdir. Doğrusu onlar yalancıdırlar.
013_00	Onlar kendi ağırlıklarını, kendi ağırlıkları yanında daha nice ağırlıkları yüklenecekler ve uydurup durdukları şeylerden kıyamet günü sorguya çekileceklerdir.
014_00	And olsun ki, Nuh'u milletine gönderdik; aralarında bin seneden elli yıl eksik kaldı. Sonunda onlar haksızlık yaparken, tufan onları yakalayıverdi.
015_00	Ama Biz, Nuh'u ve gemide bulunanları kurtardık ve bunu dünyalara bir ibret kıldık.
016_00	İbrahim'i de gönderdik. Milletine: "Allah'a kulluk edin, O'ndan sakının; bilirseniz bu sizin için daha iyidir" dedi.
017_00	Siz Allah'ı bırakıp sadece bir takım putlara tapıyor, aslı olmayan sözler uyduruyorsunuz. Doğrusu, Allah'tan başka taptıklarınızın size rızık vermeye güçleri yetmez. Artık rızkı Allah katında arayın.
017_01	O'na kulluk edin. O'na şükredin. Siz O'na döneceksiniz.
018_00	Eğer siz Peygamberi yalanlıyorsanız bilin ki, sizden önceki ümmetler de yalanlamışlardı. Peygambere düşen, sadece apaçık tebliğdir.
019_00	Allah'ın yaratmaya nasıl başlayıp, sonra onu nasıl tekrar edeceğini anlamazlar mı? Doğrusu bu Allah'a kolaydır.
020_00	De ki: "Yeryüzünde dolaşın; Allah'ın yaratmaya nasıl başladığını bir görün. İşte Allah aynı şekilde ahiret yaratmasını da yapacaktır. Doğrusu Allah her şeye Kadir'dir. Dilediğine azabeder, dilediğine merhamet eder. O'na çevrileceksiniz.
021_00	De ki: "Yeryüzünde dolaşın; Allah'ın yaratmaya nasıl başladığını bir görün. İşte Allah aynı şekilde ahiret yaratmasını da yapacaktır. Doğrusu Allah her şeye Kadir'dir. Dilediğine azabeder, dilediğine merhamet eder. O'na çevrileceksiniz.
022_00	Siz ne yeryüzünde ve ne de gökte Allah'ı aciz bırakabilirsiniz. Allah'tan başka bir dost ve yardımcınız da bulunmaz."
023_00	Allah'ın ayetlerini ve O'na kavuşmayı inkar edenler, işte onlar Benim rahmetimden ümitlerini kesmiş olanlardır. İşte can yakıcı azap onlar içindir.
024_00	İbrahim'in sözlerine milletinin cevabı sadece: "Onu öldürün yahut yakın" demek oldu. Ama Allah onu ateşten kurtardı. Doğrusu bunda, inanan kimseler için dersler vardır.
025_00	İbrahim şöyle demişti: "Dünya hayatında, Allah'ı bırakıp aranızda putları muhabbet vesilesi kıldınız.
025_01	Sonra kıyamet günü, birbirinize küfreder ve karşılıklı lanet okursunuz. Varacağınız yer ateştir; yardımcılarınız da yoktur."
026_00	Bunun üzerine Lut ona inandı ve İbrahim "Doğrusu ben Rabbimin dilediği yere hicret ediyorum, O şüphesiz güçlüdür, Hakim'dir" dedi.
027_00	İbrahim'e İshak'ı ve Yakub'u bahşettik.
027_01	Soyundan gelenlere Kitap ve peygamberlik verdik. Onu dünyada mükafatlandırdık; doğrusu o ahirette de iyilerdendir.
028_00	Lut da, milletine şöyle demişti: "Doğrusu siz dünyalarda hiç kimsenin sizden önce yapmadığı bir hayasızlığı yapıyorsunuz."
029_00	"Erkeklere yaklaşıyor, yol kesiyor ve toplantılarınızda fena şeyler yapmıyor musunuz?"
029_01	Milletinin cevabı: "Doğru sözlü isen bize Allah'ın azabını getir" demek oldu.
030_00	Lut: "Rabbim! Bozgunculara karşı bana yardım et" dedi.
031_00	Elçilerimiz İbrahim'e müjde ile geldiklerinde: "Biz şu kent halkını yok edeceğiz, çünkü oranın halkı zalim kimselerdir" dediler.
032_00	İbrahim: "Ama Lut oradadır" dedi, elçiler: "Biz orada olanları daha iyi biliriz; onu ve geride kalanlardan olacak karısı dışında ailesini kurtaracağız" dediler.
033_00	Elçilerimiz Lut'a gelince, onun fenasına gitti; çok sıkıldı.
033_01	Ona, "Korkma ve üzülme, doğrusu biz seni ve geride kalacaklardan olan karının dışında, aileni kurtaracağız. Bu kent halkına yaptıkları yolsuzluklardan ötürü gökten, elbette bir azap indireceğiz" dediler.
034_00	Elçilerimiz Lut'a gelince, onun fenasına gitti; çok sıkıldı. Ona, "Korkma ve üzülme, doğrusu biz seni ve geride kalacaklardan olan karının dışında, aileni kurtaracağız. Bu kent halkına yaptıkları yolsuzluklardan ötürü gökten, elbette bir azap indireceğiz" dediler.
035_00	And olsun ki, Biz, düşünen kimseler için oradan apaçık bir belgeyi geride bırakmışızdır.
