001_00	Güneşe ve onun ışığına,
002_00	Ardından gelmekte olan aya,
003_00	Onu ortaya koyan gündüze,
004_00	Onu bürüyen geceye,
005_00	Göğe ve onu yapana,
006_00	Yere ve onu yayana,
007_00	Kişiye ve onu şekillendirene,
008_00	Sonra da ona iyilik ve kötülük kabiliyeti verene and olsun ki:
009_00	Kendini arıtan saadete ermiştir.
010_00	Kendini fenalıklara gömen kimse de ziyana uğramıştır.
011_00	Semud milleti, içlerinden en azgını ileri atılınca, azgınlığı yüzünden peygamberleri yalanladı.
012_00	Semud milleti, içlerinden en azgını ileri atılınca, azgınlığı yüzünden peygamberleri yalanladı.
013_00	Allah'ın peygamberi onlara, Allah'ın devesini göstermiş ve: "Allah'ın bu devesine ve onun su hakkına dokunmayın" demişti.
014_00	Onu yalanladılar ve deveyi boğazladılar. Bunun üzerine Rableri, suçlarından dolayı onların üzerine katmerli azap indirdi; yerle bir etti onları.
015_00	Bu işin sonundan O'nun korkusu yoktur.
