001_00	Müminler saadete ermişlerdir.
002_00	Onlar namazda huşu içindedirler.
003_00	Onlar boş şeylerden yüz çevirirler.
004_00	Onlar zekatlarını verirler.
005_00	Onlar, eşleri ve cariyeleri dışında, mahrem yerlerini herkesten korurlar. Doğrusu bunlar yerilemezler.
006_00	Onlar, eşleri ve cariyeleri dışında, mahrem yerlerini herkesten korurlar. Doğrusu bunlar yerilemezler.
007_00	Bu sınırları aşmak isteyenler, işte bunlar aşırı gidenlerdir.
008_00	Onlar emanetlerini ve sözlerini yerine getirirler.
009_00	Namazlarına riayet ederler.
010_00	İşte onlar, temelli kalacakları Firdevs cennetine varis olanlardır.
011_00	İşte onlar, temelli kalacakları Firdevs cennetine varis olanlardır.
012_00	And olsun ki, insanı süzme çamurdan yarattık.
013_00	Sonra onu nutfe halinde sağlam bir yere yerleştirdik.
014_00	Sonra nutfeyi kan pıhtısına çevirdik, kan pıhtısını bir çiğnemlik et yaptık, bir çiğnemlik etten kemikler yarattık, kemiklere de et giydirdik.
014_01	Sonra onu başka bir yaratık yaptık: Biçim verenlerin en güzeli olan Allah ne uludur!
015_00	Sizler, bütün bunlardan sonra ölürsünüz.
016_00	Şüphesiz kıyamet günü tekrar diriltilirsiniz.
017_00	And olsun ki, üstünüzde yedi tabaka yarattık. Biz, yarattığımızdan habersiz değiliz.
018_00	Gökten suyu ölçülü indirdik de, onu yerde durdurduk. Şüphesiz onu gidermeye de kadiriz.
019_00	Onunla, içinde, yediğiniz birçok meyvalar bulunan hurmalık ve üzüm bağları, Tur-i Sina'da yetişen, yiyenlere, yağ ve katık veren zeytin ağacını var ettik.
020_00	Onunla, içinde, yediğiniz birçok meyvalar bulunan hurmalık ve üzüm bağları, Tur-i Sina'da yetişen, yiyenlere, yağ ve katık veren zeytin ağacını var ettik.
021_00	Ehli hayvanlarda size ders vardır; onlardan çıkan sütten size içiririz; onlarda daha birçok menfaatiniz vardır. Onlardan yersiniz.
022_00	Hem onların ve hem de gemilerin üzerinde taşınırsınız.
023_00	And olsun ki Nuh'u milletine gönderdik; onlara: "Ey milletim! Allah'a kulluk edin; O'ndan başka tanrınız yoktur; sakınmaz mısınız?" dedi.
024_00	Milletinin inkarcı ileri gelenleri: "Bu, sizin gibi bir insandan başka birşey değildir. Sizden üstün olmak istiyor.
024_01	Allah dilemiş olsaydı melekler indirirdi. İlk atalarımızdan beri böyle birşey işitmedik. Bu adamda nedense biraz delilik var, bir süreye kadar onu gözetleyin" dediler.
025_00	Milletinin inkarcı ileri gelenleri: "Bu, sizin gibi bir insandan başka birşey değildir. Sizden üstün olmak istiyor. Allah dilemiş olsaydı melekler indirirdi. İlk atalarımızdan beri böyle birşey işitmedik. Bu adamda nedense biraz delilik var, bir süreye kadar onu gözetleyin" dediler.
026_00	Nuh: "Rabbim! Beni yalanlamalarına karşılık bana yardım et" dedi.
