001_00	Ha, Mim.
002_00	Apaçık olan Kitap'a and olsun ki, Biz onu, kutlu bir gecede indirdik. Doğrusu Biz, insanları uyarmaktayız.
003_00	Apaçık olan Kitap'a and olsun ki, Biz onu, kutlu bir gecede indirdik. Doğrusu Biz, insanları uyarmaktayız.
004_00	Katımızdan bir buyrukla, her hikmetli işe o gecede hükmedilir. Doğrusu Biz öteden beri peygamberler göndermekteyiz. Eğer kesin olarak inanırsanız bilin ki, bu senin Rabbinden, göklerin, yerin ve ikisi arasında bulunanların Rabbinden bir rahmettir. O, işitendir, bilendir.
005_00	Katımızdan bir buyrukla, her hikmetli işe o gecede hükmedilir. Doğrusu Biz öteden beri peygamberler göndermekteyiz. Eğer kesin olarak inanırsanız bilin ki, bu senin Rabbinden, göklerin, yerin ve ikisi arasında bulunanların Rabbinden bir rahmettir. O, işitendir, bilendir.
006_00	Katımızdan bir buyrukla, her hikmetli işe o gecede hükmedilir. Doğrusu Biz öteden beri peygamberler göndermekteyiz. Eğer kesin olarak inanırsanız bilin ki, bu senin Rabbinden, göklerin, yerin ve ikisi arasında bulunanların Rabbinden bir rahmettir. O, işitendir, bilendir.
007_00	Katımızdan bir buyrukla, her hikmetli işe o gecede hükmedilir. Doğrusu Biz öteden beri peygamberler göndermekteyiz. Eğer kesin olarak inanırsanız bilin ki, bu senin Rabbinden, göklerin, yerin ve ikisi arasında bulunanların Rabbinden bir rahmettir. O, işitendir, bilendir.
008_00	O'ndan başka tanrı yoktur; diriltir ve öldürür. Sizin de Rabbiniz önceki atalarınızın da Rabbidir.
009_00	Ama inkarcılar, dirilmekten şüphededirler, bunu eğlenceye alırlar.
010_00	Göğün, insanları bürüyecek ve gözle görülecek bir duman çıkaracağı günü bekle; bu, can yakan bir azabdır.
011_00	Göğün, insanları bürüyecek ve gözle görülecek bir duman çıkaracağı günü bekle; bu, can yakan bir azabdır.
012_00	İnsanlar: "Rabbimiz! Bu azabı bizden kaldır; doğrusu artık biz inananlarız" derler.
013_00	Nerde onlarda öğüt almak? Kendilerine gerçeği açıklayan bir peygamber gelmişti ve ondan yüz çevirmişler, "Belletilmiş bir deli" demişlerdi.
014_00	Nerde onlarda öğüt almak? Kendilerine gerçeği açıklayan bir peygamber gelmişti ve ondan yüz çevirmişler, "Belletilmiş bir deli" demişlerdi.
015_00	Biz sizden azabı az bir süre için kaldıracağız, siz yine de eski inkarcılığınıza döneceksiniz.
016_00	Onları çarptıkça çarpacağımız gün öcümüzü şüphesiz alırız.
017_00	And olsun ki, onlardan önce, Firavun milletini denemiştik. Onlara gelen değerli bir peygamber demişti ki:
018_00	"Ey Allah'ın kulları! Bana gelin, doğrusu ben size gönderilmiş güvenilir bir elçiyim."
019_00	"Allah'a karşı üstün gelmeye kalkışmayın; doğrusu ben size apaçık bir delil getirdim."
020_00	"Beni taşlamanızdan ötürü, benim de Rabbim, sizin de Rabbiniz olan Allah'a sığındım."
021_00	"Bana inanmazsanız, başımdan çekilin."
022_00	Bunlar, suçlu bir millet olduğu için, Rabbine yardım etmesi için yalvardı.
023_00	Allah da şöyle buyurdu: "Kullarımı geceleyin yola çıkar; şüphesiz takip olunacaksınız."
024_00	"Denizi sakin iken geride bırak, doğrusu onlar suda boğulacak bir ordudur."
025_00	Orada nice bahçeler, pınarlar, ekinler, güzel konaklar, eğlenip durdukları nimetler bırakmışlardı.
026_00	Orada nice bahçeler, pınarlar, ekinler, güzel konaklar, eğlenip durdukları nimetler bırakmışlardı.
027_00	Orada nice bahçeler, pınarlar, ekinler, güzel konaklar, eğlenip durdukları nimetler bırakmışlardı.
028_00	Bu böyledir; onları başka bir millete miras bıraktık.
029_00	Gök ve yer, onlar için gözyaşı dökmedi, onlar erteye bırakılmamışlardı.
030_00	And olsun ki, İsrailoğullarını, azgın bir zorba olan Firavun'un alçaltıcı azabından kurtardık.
031_00	And olsun ki, İsrailoğullarını, azgın bir zorba olan Firavun'un alçaltıcı azabından kurtardık.
032_00	And olsun ki, onların durumunu bilerek dünyaların üzerinde seçkin kıldık.
033_00	Onlara, her birinde açıkça bir imtihan bulunan, mucizeler verdik.
034_00	Doğrusu inkarcılar, "Ölum bir defadır, tekrar diriltilmeyeceğiz. Eğer doğru sözlü iseniz bize babalarımızı getirsenize" derler.
035_00	Doğrusu inkarcılar, "Ölum bir defadır, tekrar diriltilmeyeceğiz. Eğer doğru sözlü iseniz bize babalarımızı getirsenize" derler.
036_00	Doğrusu inkarcılar, "Ölum bir defadır, tekrar diriltilmeyeceğiz. Eğer doğru sözlü iseniz bize babalarımızı getirsenize" derler.
037_00	Bunlar mı daha üstün yoksa Tubba milleti ve onlardan öncekiler mi? Onları yok etmişizdir, çünkü onlar suçlu idiler.
038_00	Biz gökleri, yeri ve ikisinin arasında bulunanları oyun olsun diye yaratmadık.
039_00	Biz onları, ancak ve ancak gerektiği gibi yarattık, ama insanların çoğu bilmezler.
040_00	Doğrusu hüküm günü hepsinin bir arada bulunacağı gündür.
041_00	O gün, dostun dosta hiçbir faydası olmaz, yardım da görmezler.
