001_00	Kaf, Ha, Ya, Ayn, Sad.
002_00	Bu, Rabbinin kulu Zekeriya'ya olan rahmetini anmadır.
003_00	O Rabbine içinden yalvarmıştı.
004_00	Şöyle demişti: "Rabbim! Gerçekten kemiklerim zayıfladı, saçlarım ağardı. Rabbim! Sana yalvarmakla şimdiye kadar bedbaht olup bir şeyden mahrum kalmadım."
005_00	Doğrusu, benden sonra yerime geçecek yakınlarımın iyi hareket etmeyeceklerinden korkuyorum. Karım da kısırdır. Katından bana bir oğul bağışla ki, bana ve Yakub oğullarına mirasçı olsun. Rabbim! Onun, rızanı kazanmasını da sağla."
006_00	Doğrusu, benden sonra yerime geçecek yakınlarımın iyi hareket etmeyeceklerinden korkuyorum. Karım da kısırdır. Katından bana bir oğul bağışla ki, bana ve Yakub oğullarına mirasçı olsun. Rabbim! Onun, rızanı kazanmasını da sağla."
007_00	Allah: "Ey Zekeriya! Sana, Yahya isminde bir oğlanı müjdeliyoruz. Bu adı daha önce kimseye vermemiştik" buyurdu.
008_00	Zekeriya: "Rabbim! Karım kısır, ben de son derece kocamışken nasıl oğlum olabilir?" dedi.
009_00	Allah: "Rabbin böyle buyurdu; Çünkü bu bana kolaydır, nitekim sen yokken daha önce seni yaratmıştım" dedi.
010_00	Zekeriya "Rabbim! Öyleyse bana bir alamet ver" dedi. Allah: "Senin alametin, sağlam ve sıhhatli olduğun halde üç gün üç gece insanlarla konuşamamandır" buyurdu.
011_00	Zekeriya bunun üzerine mabedden çıkıp milletine: "Sabah akşam Allah'ı tesbih edin" diye işarette bulundu.
012_00	"Ey Yahya! Kitaba kuvvetle sarıl" deyip daha çocukken ona hikmet, katımızdan kalp yumuşaklığı ve safiyet verdik. O, Allah'tan sakınan ve anasına babasına karşı iyi davranan bir kimse idi, baş kaldıran bir zorba değildi.
013_00	"Ey Yahya! Kitaba kuvvetle sarıl" deyip daha çocukken ona hikmet, katımızdan kalp yumuşaklığı ve safiyet verdik. O, Allah'tan sakınan ve anasına babasına karşı iyi davranan bir kimse idi, baş kaldıran bir zorba değildi.
014_00	"Ey Yahya! Kitaba kuvvetle sarıl" deyip daha çocukken ona hikmet, katımızdan kalp yumuşaklığı ve safiyet verdik. O, Allah'tan sakınan ve anasına babasına karşı iyi davranan bir kimse idi, baş kaldıran bir zorba değildi.
015_00	Doğduğu günde, öleceği günde ve dirileceği günde ona selam olsun.
016_00	Kitabda Meryem'i de an. O, ailesinden ayrılarak, doğu yönünde bir yere çekilmişti.
017_00	Sonra, insanlardan gizlenmek için bir perde germişti. Cebrail'i göndermiştik de ona tam bir insan olarak görünmüştü.
018_00	Meryem: "Eğer Allah'tan sakınan bir kimse isen, senden Rahman'a sığınırım" dedi.
019_00	Cebrail: "Ben temiz bir oğlan bağışlamak için Rabbinin sana gönderdiği elçiden başkası değilim" dedi.
020_00	Meryem: "Bana bir insan temas etmemişken, ben kötü kadın da olmadığım halde nasıl oğlum olabilir?" dedi.
021_00	Cebrail: "Bu böyledir, çünkü Rabbin, 'Bu bana kolaydır, onu insanlar için bir mucize ve katımızdan da bir rahmet kılacağız; hem bu önceden kararlaştırılmış bir iştir' diyor" dedi.
022_00	Meryem oğlana gebe kaldı, o haliyle uzak bir yere çekildi.
023_00	Doğum sancısı onu bir hurma ağacının dibine gitmeğe mecbur etti. "Keşke ben bundan önce ölmüş olsaydım da unutulup gitseydim" dedi.
024_00	Onun altından bir ses kendisine şöyle seslendi: "Sakın üzülme, Rabbin içinde bulunanı şerefli kılmıştır. Hurma ağacını kendine doğru silkele, üstüne taze hurma dökülsün.
025_00	Onun altından bir ses kendisine şöyle seslendi: "Sakın üzülme, Rabbin içinde bulunanı şerefli kılmıştır. Hurma ağacını kendine doğru silkele, üstüne taze hurma dökülsün.
026_00	Ye iç, gözün aydın olsun. İnsanlardan birini görecek olursan 'Ben Rahman için oruç adadım, bugün hiçbir insanla konuşmayacağım' de."
027_00	Çocuğu alıp kavmine getirdi, onlar: "Meryem! Utanılacak bir şey yaptın. Ey Harun'un kızkardeşi! Baban kötü bir kimse değildi, annen de iffetsiz değildi" dediler.
028_00	Çocuğu alıp kavmine getirdi, onlar: "Meryem! Utanılacak bir şey yaptın. Ey Harun'un kızkardeşi! Baban kötü bir kimse değildi, annen de iffetsiz değildi" dediler.
029_00	Meryem çocuğu gösterdi. "Biz beşikteki çocukla nasıl konuşabiliriz?" dediler.
030_00	Çocuk: "Ben şüphesiz Allah'ın kuluyum. Bana kitap verdi ve beni peygamber yaptı, nerede olursam olayım beni mübarek kıldı. Yaşadığım müddetçe namaz kılmamı, zekat vermemi ve anneme iyi davranmamı emretti. Beni bedbaht bir zorba kılmadı. Doğduğum günde, öleceğim günde, dirileceğim günde bana selam olsun" dedi.
031_00	Çocuk: "Ben şüphesiz Allah'ın kuluyum. Bana kitap verdi ve beni peygamber yaptı, nerede olursam olayım beni mübarek kıldı. Yaşadığım müddetçe namaz kılmamı, zekat vermemi ve anneme iyi davranmamı emretti. Beni bedbaht bir zorba kılmadı. Doğduğum günde, öleceğim günde, dirileceğim günde bana selam olsun" dedi.
032_00	Çocuk: "Ben şüphesiz Allah'ın kuluyum. Bana kitap verdi ve beni peygamber yaptı, nerede olursam olayım beni mübarek kıldı. Yaşadığım müddetçe namaz kılmamı, zekat vermemi ve anneme iyi davranmamı emretti. Beni bedbaht bir zorba kılmadı. Doğduğum günde, öleceğim günde, dirileceğim günde bana selam olsun" dedi.
033_00	Çocuk: "Ben şüphesiz Allah'ın kuluyum. Bana kitap verdi ve beni peygamber yaptı, nerede olursam olayım beni mübarek kıldı. Yaşadığım müddetçe namaz kılmamı, zekat vermemi ve anneme iyi davranmamı emretti. Beni bedbaht bir zorba kılmadı. Doğduğum günde, öleceğim günde, dirileceğim günde bana selam olsun" dedi.
034_00	İşte hakkında şüpheye düştükleri Meryem oğlu İsa gerçek söze göre budur.
035_00	Allah çocuk edinmez, O münezzehtir. Bir işin olmasına hükmederse ona ancak "Ol" der, o da olur.
036_00	"Doğrusu Allah benim de sizin de Rabbinizdir. O'na kulluk edin, bu doğru yoldur."
