001_00	Pasha yllin kur perëndon,
002_00	shoku juaj (Muhammedi) as nuk e ka humbë as nuk e ka shmangë rrugën e drejtë!
003_00	Ai nuk flet sipas qejfit të vet –
004_00	Ajo (që flet ai) është vetëm Shpallja, që i ka ardhur atij,
005_00	e mësoi atë një (engjëll) me fuqi të madhe,
006_00	me inteligjencë të lartë, e u paraqit (në formën e vet),
007_00	duek qenë në sferat e larta (qiellore),
008_00	pastaj u afrua, e u lëshua, -
009_00	afër (sa) dy harqe ose edhe më afër,
010_00	e ia shpalli robit të Tij (Pejgamberit) atë që ia shpalli.
011_00	Zemra e tij nuk e përgënjeshtroi atë që e pa,
012_00	vallë, a po polemizoni me te për atë që e ka parë?
013_00	Ai (Muhammedi), me të vërtetë, e ka parë atë (Xhebrailin) edhe një herë tjetër,
014_00	te Sidretul muntehaja,
015_00	tek ajo (Sidrea) është xhenneti – strehim,
016_00	kur Sidrën e mbuloi ajo që e mbulonte, (një mbulesë e madhe),
017_00	shikimi i tij (Muhammedit) nuku shmang, as që e kaloi (kufirin e caktuar).
018_00	Ai, me të vërtetë, i pa argumentet më madhështore të Zotit të tij.
019_00	A e keni pa Latin dhe Uzzan (si janë)?
020_00	Dhe Menatin, të tretin, të mbramin (sipas shkallës)? –
021_00	Vallë, a për ju janë djemtë, e për Ate (Perëndinë) vajzat?!
022_00	Kjo ndarje është e padrejtë. –
023_00	Ata (idhujt) janë vetëm emra që ua keni ngjitur ju dhe të parët tuaj, e Perëndia nuk ju ka dërguar për ta – kurrfarë argumenti.
023_01	Ata ndjekin vetëm dyshimin dhe atë që janë të prirur; e, me të vërtetë, atyre u ka ardhur prej Zotit të tyre udhëzimi në rrugën e drejtë.
024_00	Ose, a për njeriun janë (të gjitha) çka dëshiron,
025_00	vetëm Perëndisë i përkasin (të gjitha), ajo dhe kjo botë!
026_00	E, sa engjëj ka në qiej – ndërmjetësimi i të cilëve nuk bën dobi asgjë, përveç pasi të japë leje Perëndia, për kë të dojë Ai dhe kush është i denjë për te.
027_00	Me të vërtetë, ata që nuk besojnë në jetën tjetër, i emërojnë engjëjt me emra femërorë (i konsiderojnë femra)
028_00	e, për këtë, ata nuk kanë kurrfarë dijenie, ndjekin vetëm hamendjen (supozimin), e hamendja nuk sjell dobi asgjë për të vërtetën.
029_00	Andaj, ti (o Muhammed) largohu prej atij që i ikën Kur’anit dhe që dëshiron vetëm jetën e kësaj bote, -
030_00	kjo është arritja e tyre në dijeni, me të vërtetë, Zoti yt i njeh më së miri ata që janë shmangur nga rruga e Tij, dhe Ai i di më së miri ata që ndjekin rrugën e drejtë.
031_00	Perëndisë i përkasin të gjitha (çka ka) në qiej dhe në Tokë – e, sipas asaj që kanë punuar, për t’i dënuar ata që bëjnë keq, e për t’i shpërblyer ata që bëjnë mirë me shpërblim shumë të mirë, të madh,
032_00	ata që ruhen prej mëkateve të mëdha dhe veprave të këqia (imorale), pos mëkateve të vogla.
032_01	Me të vërtetë, Zoti yt është i gjerë (i pakufishëm) në falje. Ai, më së miri di për ju, qysh se u ka krijur prej dheut dhe qysh se keni qenë embion në barkun e nënave tuaja; andaj, mos u lavdëroni me pafajshmërinë tuaj – Ai e njeh mirë atë që ruhet nga mëkatet.
033_00	A e ke parë ti atë që është shmangur (nga e vërteta),
034_00	pak ka dhënë, e pastaj e pengoi tjetrën,
035_00	a i di ai gjërat sekrete, dhe a i sheh ato?
036_00	Vallë, a nuk është i lajmëruar ai – për atë që gjendet në fletët e Musait (në Teurat)
037_00	dhe të Ibrahimit: - “i cili i plotësoi (obligimet) –
038_00	që askush nuk do t’i bartë mëkatet e personit tjetër,
039_00	dhe që njeriu do të ketë vetëm atë që është marrë me te (punuar atë)
040_00	dhe që përpjekjet e tij do të shihen së shpejti, padyshim
041_00	(dhe se) do të shpërblehet me shpërblim të plotë,
042_00	dhe, se, te Zoti yt do të jetë kthimi,
043_00	Ai jep gazin dhe vajin (gëzimin dhe hidhërimin),
044_00	Ai jep vdekjen dhe gjallesën,
045_00	Ai krijon çiftet, mashkull e femër,
046_00	prej pikës së farës (spermës) kur të hedhet (injektohet),
047_00	dhe, me të vërtetë, tek Ai është krijimi i dytë (rindjallja),
048_00	dhe Ai jep pasuri dhe kënaqësi të mjaftueshme,
049_00	dhe Ai është Zot’i Siriusit,
050_00	dhe Ai e ka shkatërruar popullin e lashtë të Adit,
051_00	dhe Themudin, dhe s’ka lënë askë prej tyre,
052_00	e madje, para tyre – popullin e Nuhut, i cili ka qenë (edhe) më zullumqarë dhe i zhytur edhe më shumë (në të këqia),
053_00	dhe Ai i përmbysi vendbanimet (e popullit të Lutit),
054_00	dhe i mbuloi ata çka i mbuloi (goditje e madhe),
055_00	e, në çfarë dhuntie të Zotit tënd dyshon ti (polemizon)?
056_00	Ky paralajmërues (pejgamber) është si ata të mëparshmit.
057_00	U afrua ajo që është afër (Dita e Kijametit),
058_00	nuk mund ta zbulojë (atë) askush, pos Perëndisë!
059_00	E, vallë prej këtyre fjalëve (Kur’anit) po çuditeni,
060_00	dhe po qeshni, e nuk po qani? –
061_00	e, adje, jeni edhe të pakujdesshëm!
062_00	Bëni sexhde për Perëndinë dhe adhuronie (Ate)!
