001_00	(Kjo është) Shpallja e Librit nga Allahu i Plotëfuqishëm dhe i Gjithëdijshëm!
002_00	Njëmend, Ne ta kemi zbritur ty Librin me të vërtetën e qartë. Andaj adhuroje Perëndinë sinqerisht në besim!
003_00	Ah, vetëm për Perëndinë është adhurimi i sinqertë.
003_01	E, ata që marrin përveç Perëndisë, mbrojtës, (thonë): “Ne i lutemi atyre vetëm që të na afrojnë te Perëndia” – Perëndia, me të vërtetë, gjykon ndërmjet tyre për atë që nuk janë pajtuar.
003_02	Me siguri, Perëndia nuk e udhëzon atë që është gënjeshtar e mohues.
004_00	Sikur të donte Perëndia të marrë një fëmijë, Ai do të zgjidhte nga ata që i ka krijuar – çka të dojë. Qoftë lavdëruar Ai; Ai është Perëndi i Vetëm dhe Ngadhnjimtar!
005_00	Ai i ka krijuar qiejt dhe Tokën, me qëllim të plotë; Ai e mbështjellë natën në ditë dhe ditën në natë, Ai e ka nënshtruar Diellin dhe Hënën.
005_01	Të gjitha lëvizin deri në kohë (shkallë) të caktuar. Ah, Ai është i Fuqishëm dhe Falës.
006_00	Ai ju ka krijur prej një njeriu (Ademit); pastaj, prej tij ka krijuar shoqen e tij dhe Ai u ka krijuar tetë
006_01	lloj kafshësh; Ai ju krijon në barqet e nënave tuaja, duke iu dhanë formë pas forme në tri errësira.
006_02	Ky është, Perëndia – Zoti juaj, i Tij është i tërë pushteti, nuk ka zot tjetër pos Tij, e pra, nga po ia mbani ju?
007_00	Nëse ju e mohoni (Atë), me të vërtetë, Perëndia është i pavarur prej jush, por Ai nuk është i kënaqur me mohimin e robërve të Tij; e është i kënaqur me ju, nëse e falenderoni.
007_01	Asnjëri (mëkatar), nuk do t’i bartë mëkatet e tjetrit! Pastaj, do të ktheheni te Zoti juaj, e Ai pastaj do t’u informojë për atë që keni punuar sepse, me të vërtetë, Ai di se ç’keni në zemrat tuaja.
