001_00	Elif, Lám, Mîm.
002_00	Këto janë ajetet nga Libri plotë dijeni,
003_00	(i cili) është udhërrëfyes dhe mëshirë për bamirësit,
004_00	ata që kryejnë namazin dhe japin zeqatin, dhe të cilët besojnë bindshëm në jetën tjetër.
005_00	Këta janë ata që janë udhëzuar nga Zoti i tyre dhe vetëm ata janë të shpëtuar.
006_00	E, ka disa nga njerëzit që besojnë në tregime të kota, për t’u shmangur nga rruga e Perëndisë, pa kurrfarë dijenie, duke e pandehur (rrugën e Zotit) qesharake. Të atillët i pret dënimi i poshtëruar.
007_00	Kur ndonjërit prej tyre, u lexohen ajetet Tona (Kur’ani), ai shmanget me mendjemadhësi, thuase nuk i ka dëgjuar, thuase iu kanë shurdhuar veshët. Andaj, sihariqoi ata me dënim të dhembshëm.
008_00	Me të vërtetë, ata që kanë besuar dhe punojnë vepra të mira do të gjenden në kopshtet e dhuntisë,
009_00	në të cilat do të qëndrojnë përherë. Premtimi i Perëndisë është i vërtetë, e Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
010_00	(Ai) ka krijuar qiejt pa shtylla, e i shihni ju – ka vendosur male të palëvizshme në Tokë, për të mos u lëkundur ju, dhe ka shpërndarë në të, gjithfarë lloj shtazësh.
010_01	Ne, e kemi zbritu ujin nga qielli dhe me të, kemi bërë të mbijnë sa e sa lloje bimësh të mira (buta).
011_00	Ky është krijimi i Perëndisë; më tregoni çka kanë krijuar të tjerët pos Tij? Jo, por, me të vërtetë, zullumqarët janë në humbje të vërtetë.
012_00	Dhe, Ne, me të vërtetë, i kemi dhënë Llukmanit dijeninë e mrekullueshme, (dhe i kemi thënë): “Falenderoje Perëndinë, e kush është falenderues, ai falenderon për të mirën e vet, e kush mohon – Perëndia, me të vërtetë, është i pavarur dhe i lavdëruar”.
013_00	Dhe, (kujtoje) kur Llukmani i tha djalit të vet, duke e këshilluar: “O djali im, mos i bënë shok Perëndisë! Me të vërtetë, të bërit shok Perëndisë, është zullum i madh”.
