001_00	Kur qiellit të shkyet,
002_00	dhe të dëgjojë me përvujtni Zotin e vet – siç i përket
003_00	dhe kur Toka do të shtrihet (me shafitjen) e maleve
004_00	dhe ta hedhë gjithë atë që ka brenda e të zbrazët
005_00	dhe të dëgjojë me përvujtni Zotin e vet – siç i përket –
006_00	ti, o njeri, që përpiqesh shumë, mundin tënd do ta gjesh te Zoti yt:
007_00	atij që do t’i jepet libri i tij në dorën e tij të djathtë
008_00	lehtë do të japi llogari,
009_00	dhe do të kthehet i gëzueshëm te të afërmit e tij;
010_00	e, atij që do t’i jepet libri i tij pas shpinës,
011_00	e thërret shkatërrimi
012_00	dhe në zjarr do të digjet,
013_00	sepse, (në jetë) ka qenë i gëzueshëm në familjen e tij,
014_00	dhe ka menduar se kurrë nuk do të kthehet (ringjallet për të dhënë llogari).
015_00	Po, po, do të kthehet te Zoti i tij, me të vërtetë, Ai i sheh të gjitha punët e tij!
016_00	Dhe, betohem në kuqërrimin e mbrëmjes,
017_00	dhe natën, dhe në atë që paklon ajo me errësirën e saj,
018_00	dhe hënën e plotë, -
019_00	ju, me siguri, do të gjendeni në rrethana të vështira dhe më të vështira!
020_00	E, çka kanë ata, që nuk duan të besojnë,
021_00	e, përse kur t’u lexohet Kur’ani, nuk përulen (nuk bëjnë sexhde)!
022_00	E, madje, jobesimtarët, e përgënjeshtrojnë atë (Kur’anin),
023_00	e Perëndia, me të vërtetë, di çka fshehin ata (në zemrat e tyre),
024_00	prandaj, sihariqoi ata me dënim të dhembshëm!
025_00	Por, ata që besojnë dhe punojnë vepra të mira, do të shpërblehen pandërprerë.
