001_00	U afrua Çasti (Dita e Kijametit) dhe u ça Hëna!
002_00	E ata, sa herë shohin mrekulli, kthehen dhe thonë: “Magji e përhershme!”
003_00	Ata e përgënjeshtrojnë (të vërtetën) dhe pasojnë kënaqësitë e tyre, e çdo gjë, madje, është e caktuar.
004_00	Dhe, u patën ardhë atyre, me të vërtetë, lajme të cilat shpiejnë frikë,
005_00	(Kur’ani është) dijeni e përsosur – por paralajmërimi nuk u bëri dobi,
006_00	andaj, shmangu prej tyre! Në Ditën kur do t’i thërret ta kasneci (ftuesi) në diçka të tmerrshme –
007_00	ata, me sy të përulur dalin nga varret, thua se janë karkaleca të shpërndarë,
008_00	duke shpejtuar kah kasneci, e atëherë thonë mohuesit: “Kjo është ditë e vështirë!”
009_00	Para tyre (mekkasve) ka përgënjeshtruar populli i Nuhut: mohonin robin Tonë (Nuhun) dhe thonin: “I çmendur!” – dhe e pengonin (në tregimin e Shpalljes).
010_00	Dhe, iu lut Zotit të vet: “Unë jam i mundur (prej popullit tim), andaj Më ndihmo!”
011_00	Dhe, Ne ia kemi hapur dyert e qiellit me ujë (shi) të rrëmbyeshëm,
012_00	dhe, i kemi hapur burimet e tokës, e u takuan ujërat për një veprim që ka qenë i caktuar.
013_00	E, atë e bartëm (në barkën) prej dërrasave dhe gozhdave
014_00	e cila lundronte nën kujdesin Tonë, - ky ishte shpërblim për atë që ishte i përgënjeshtruar.
015_00	Dhe, Ne atë e kemi lënë si dokument, e a ka kush që këshillohet (me të)?
016_00	dhe, çfarë ka qenë dënimi Im dhe paralajmërimet e Mia?!
017_00	Në të vërtetë, Ne Kur’anin e kemi bërë të lehtë për këshillim, – e a ka kush që këshillohet (me të)?
018_00	Dhe, Adi ka përgënjeshtruar (të vërtetën), - e çfarë ka qenë dënimi Im dhe paralajmërimet e Mia?!
019_00	Ne u dërguam atyre në një ditë fatkeqe frymë të stuhieshme – të pandërprerë –
020_00	e cila i nxirrte njerëzit (prej strehimeve të tyre), thuase të ishin rrënjë të shkulura të hurmeve,
021_00	e, çfarë ka qenë dënimi Im dhe paralajmërimet e Mia?!
022_00	Në të vërtetë, Ne, Kur’anin e kemi bërë të lehtë për këshillim, - e a ka kush që këshillohet (me të)?
023_00	Dhe Themudi i përgënjeshtroi paralajmëruesit Tonë –
024_00	ata thanë: “Vallë, a ta pasojmë një njeri nga mesi ynë?! Atëherë, ne, me të vërtetë, do të ishim në rrugë të humbur dhe të çmendur.
025_00	Vallë, në mesin (e sa) prej nesh, t’i dërgohet Shpallja atij?! Jo, ai është gënjeshtar mendjemadh!”
026_00	Nesër (së shpejti), do ta dinë ata se kush është gënjeshtari mendjemadh!
027_00	Ne, do ta dërgojmë devën për t’i sprovuar, andaj priti ti ata dhe bëhu i durueshëm.
028_00	Dhe, lajmëroi ata se uji do të ndahet në mes tyre e devës, në çdo racion (shujtë) do të jetë prezent (ai që e ka rendin)!
029_00	Ata e thirrën shokun e tyre, e ai mori guximin dhe e preu atë (devën) –
