001_00	Kur të shkyhet qielli,
002_00	dhe kur të rrëzohen (derdhën) yjet,
003_00	dhe kur përzihen detërat (njëri me tjetrin),
004_00	dhe kur të rrotullohen varret,
005_00	çdokush do të di për veprat që ka punuar dhe lëshimet (që ka bërë).
006_00	O njeri, ç’të mashtroi ty që nuk i besove Zotit tënd bujar?
007_00	Ai të krijoi ty dh bëri që ta kesh (në formë) të harmonizuar tërë organizmin, -
008_00	dhe çfarë forme deshi (Ai), të dha!
009_00	Jo, jo! Kurrsesi! Ju po e konsideroni besimin gënjeshtër.
010_00	Me të vërtetë, ka rojtarë për ju,
011_00	që janë të nderueshëm tek ne,
012_00	që i shënojnë veprat tuaja, dinë çka punoni.
013_00	Të ndershmit, me të vërtetë, do të gjenden në xhennet,
014_00	kurse fajtorët, me të vërtetë, do të gjenden në skëterrë.
015_00	Në Ditën e Kijametit (ata) do të digjen në zjarr,
016_00	dhe kurrë nuk do të dalin prej tij.
017_00	E, kush të shpjegon ty për Ditën e Kijametit? –
018_00	dhe edhe njëherë: kush të shpjegon ty ç’është Dita e Kijametit?!
019_00	Ajo është Ditë kur askush nuk mund t’i ndihmojë ndokujt asgjë, atë ditë pushteti i tërë është vetëm i Perëndisë.
