001_00	Pa dyshim ka qenë kohë e gjatë (ajo), e që njeriu nuk është përmendur (nuk ka ekzistuar).
002_00	Me të vërtetë, Ne e kemi krijuar njeriun nga një farë e përzier (spermës); për ta provuar, dhe e bëmë atë që të dëgjojë dhe të shoh;
003_00	Na, ia treguam atij rrugën, e ai (do të jetë) ose mirënjohës ose jomirënjohës;
004_00	Na, me të vërtetë, për jobesimtarët kemi përgatitur zingjirë e pranga dhe flakë të zjarrit.
005_00	Sigurisht, të ndershmit besimtarë do të pinë nga kupa (në xhennet), pije të përbërë me kambor.
006_00	Nga burimi që vetëm adhuruesit e Perëndisë pinë, dhe të cilin mund ta çojnë (bartin) kah të duan;
007_00	ata (njerëz) që e zbatojnë premtimin dhe i druajnë Ditës, tmerri i së cilës përhapet gjithëkah,
008_00	dhe i ushqejnë të varfërit, bonjakët dhe të zënët robë (në luftë), madje edhe pse janë vetë nevojtarë për te (ushqim).
009_00	(Thonë ata): “Na, ju ushqejmë vetëm për hir të Zotit. Na – për këtë, nuk duam shpërblim as falenderim!
010_00	Na i druajmë Zotit tonë atë Ditë kur fytyrat janë të vrenjtura dhe të ashpra”.
011_00	Perëndia i ruan ata nga tmerret e asaj Dite; Ai atyre u jep shkëlqim (në fytyrat e tyre) dhe gëzim,
012_00	dhe, për durimin e tyre (në të drejtë), Ai i shpërblen ata me xhennet dhe (petka) të mëndafshta:
013_00	(ata) të mbështetur në kanape, nuk do ta ndjejnë as vapën (e Diellit) dhe as të ftohtit (e dimërit),
014_00	dhe do t’u jetë afër tyre hija e pemëve, frutet e të cilave do të mund t’i shfrytëzojnë (kapin) lehtë.
015_00	Do të shërbehen ata nga enët e argjendta dhe kupat (si shtamba) e tejdukshme,
016_00	të tejdukshme, nga argjendi, madhësinë e të cilave (do ta zgjedhin) sipas dëshirës.
017_00	Në të (xhennet) do të pinë shishe pijesh të përziera me Zenxhebil
018_00	nga burimi i xhennetit, (pija) e quajtur Selsebil.
019_00	Atyre do t’u shërbejnë djelmoshat (shërbyesit) përherë të rinj, - që, kur t’i shikosh, duken se janë margaritarë të shpërndarë.
020_00	Dhe, kahdo të shikosh (në xhennet), do të shohësh komoditet e begati të gjerë.
021_00	Ata do të janë të veshur me petka të holla mëndafshi të gjelbërt, dhe nga mëndafsi i trashë, të stolisur me bylyzykë të argjendtë, dhe do t’u jap Zoti i tyre të pinë pije të pastërta (të mrekullueshme).
022_00	(Ju thuhet atyre): “Ky është shpërblimi juaj; përpjekja juaj (në vepra të mira) është e falenderuar.
023_00	Me të vërtetë, Na ta kemi shpallur Kur’anin ty në intervale (kohë pas kohe),
024_00	Duro (prite) vendimin e Zotit tënd, e mos dëgjo as mëkatarët, as jobesimtarët!
025_00	Dhe, përmende emrin e Zotit tënd në mëngjes dhe në mbrëmje,
026_00	dhe, në një pjesë të natës kryej detyrat (falu) për Zotin, dhe falenderoje Atë natën, gjatë!
027_00	E, me të vërtetë, këta (jobesimtarët) e duan jetën e këtushme, e nuk e përfillin Ditën e vështirë (Kijametin) që do t’u vie.
028_00	Na i kemi krijuar ata dhe Na ua kemi dhënë forcën (e trupit të tyre).
029_00	Kjo, me të vërtetë, është këshillë, e kush të dojë, ndjekë rrugën që shpie te Zoti i tij, -
030_00	por ju nuk mund të duani, përveç nëse don Perëndia – se, Perëndia, me të vërtetë, është i Plotëdijshëm dhe i Gjithëdijshëm,
031_00	atë që don Ai, e shpie në mëshirën e Vet, e jobesimtarëve u ka përgatitur vuajtje të rënda.
