001_00	حم (حا. میم).
002_00	سوگند به کتاب روشنگر.
003_00	بی گمان ما آن را در شب مبارک (وفرخندۀ قدر) نازل کردیم, بی شک ما (همواره) هشدار دهنده بوده ایم.
004_00	در آن شب هر امر با حکمت (و استواری) فیصله (وتدبیر) می شود( ).
005_00	فرمانی از جانب ما (بود), بی گمان ما فرستنده (آن) بوده ایم.
006_00	رحمتی است از سوی پروردگارت, بی گمان او ست که شنوای داناست.
007_00	پروردگار آسمانها وزمین وآنچه در میان آن دوست, اگر شما یقین دارید.
008_00	هیچ معبودی (به حق) جز او نیست, زنده می کند ومی میراند, پروردگار شما و پروردگار پدران نخستین شماست.
009_00	بلکه, آنها در شک اند (و) بازی می کنند.
010_00	پس (ای پیامبر) منتظر روزی باش که آسمان دودی آشکار (پدید) آورد( ).
011_00	که (تمام) مردم را فرا می گیرد, این عذابی دردناک است.
012_00	(آنگاه کافران می گویند:) «پروردگارا! (این) عذاب را از ما برطرف کن, بی گمان ما ایمان می آوریم»( ).
013_00	چگونه (واز کجا) پند می پذیرند در حالی که پیامبر روشنگر برای شان آمد!
014_00	سپس از او روی گرداندند, وگفتند: «(او) آموزش یافته ای دیوانه است».
015_00	بی گمان ما اندکی عذاب را برطرف می کنیم, (ولی) شما (به کفر واعمال زشت خود) باز می گردید.
016_00	روزی که به گرفتنی سخت (آنها را) فروگیریم, بی گمان ما انتقام گیرنده ایم.
017_00	وبه راستی ما پیش از آنها قوم فرعون را آزمودیم, وپیامبری بزرگوار به سوی شان آمد.
018_00	(وبه آنها گفت:) که «بندگان خدا (= بنی اسرائیل) را به من واگذارید, بی گمان من برای شما فرستادۀ امینی هستم.
019_00	و(نیز) بر خدا برتری مجویید, بی تردید من برای شما دلیل روشنی آورده ام.
020_00	وهمانا من به پروردگار خود وپروردگار شما پناه می برم, از اینکه مرا سنگسار کنید.
021_00	واگر به من ایمان نمی آورید, پس از من کناره بگیرید.
022_00	آنگاه به درگاه پروردگارش دعا کرد که: اینها گروهی مجرمند.
023_00	پس (به او حکم داده شد:) بندگان مرا شبانه ببر, یقیناً شما تعقیب می شوید.
024_00	ودر یا را آرام واگذار, بی گمان آنها لشکری غرق شده خواهند بود.
025_00	چه بسیار باغها وچشمه ها را (بعد از غرق شدنشان) رها کردند.
026_00	و (نیز) زراعتها وقصرهای نیکو (وزیبا).
027_00	و نعمتی که در آن (شادمان) بودند.
028_00	اینچنین بود, وما (همۀ) آنها را به مرد می دیگر واگذاشتیم.
029_00	پس آسمان وزمین بر آنها نگریست, و(به آنها) مهلت داده نشد.
030_00	ومسلماً بنی اسرائیل را از عذاب ذلت بار نجات دادیم.
031_00	از فرعون, که او سرکشی از اسرافکاران بود.
032_00	وبه راستی ما آنها را با علم (وآگاهی) بر جهانیان (زمانشان) برگزیدیم.
033_00	و از نشانه ها آنچه به آنها دادیم که آزمایش آشکاری در آن بود.
034_00	بی گمان اینها (= مشرکان) می گویند:
035_00	«سرانجام جز همین مرگ نخستین ما نیست, و ما هرگز بر انگیخته نخواهیم شد.
036_00	پس اگر راست می گویید: نیاکان ما را (زنده کنید و) بیاورید».
037_00	آیا آنها بهترند یا قوم "تبّع" وکسانی که پیش از آنها بودند؟ ما آنها را هلاک نمودیم, بی گمان آنها مجرم بودند.
038_00	و(ما) آسمانها وزمین وآنچه را که در میان دو است, به بازیچه نیافریده ایم.
039_00	و (ما) آن دو را جز به حق نیافریدیم, ولیکن بیشتر آنها نمی دانند.
040_00	بی گمان (روز جدایی (= روز قیامت) وعده گاه همۀ آنهاست.
041_00	روزی که هیچ دوستی برای دوست خود سودمند نباشد, وآنها (از سوی کسی) یاری نمی شوند.
042_00	مگر کسی که خدا اورا مورد رحمت قرار داده, یقیناً او پیروزمند مهربان است.
043_00	بی گمان درخت زقوم.
044_00	غذای گناهکاران است.
045_00	همانند مس گداخته در شکمها می جوشد.
046_00	جوششی همچون آب جوشان.
047_00	(آنگاه به فرشتگان می گوییم:) او را بگیرید, پس به سختی او را میان دوزخ بکشید.
048_00	سپس بر سرش از عذاب جوشان بریزید.
049_00	(و به او می گوییم:) بچش که تو (به پندار خود) پیروزمند بزرگواری.
050_00	بی گمان این (همان) چیزی است که در آن شک داشتید.
051_00	یقیناً پر هیزگاران در جایگاه امنی هستند.
052_00	در (میان) باغها و(کنار) چشمه ها.
053_00	(لباسهایی) از دیبای نازک ودیبای ضخیم می پوشند, رو بروی هم می نشینند.
054_00	بدین سان (است) وحوریان گشاده چشم (بهشتی) را به همسری آنها در می آوریم.
055_00	در آن (بهشت) با امن (وآرامش خاطر) هر میوه ای را (که بخواهند) می طلبند.
056_00	در آن (بهشت) مرگ را نمی چشند, مگر همان مرگ نخستین (که در دنیا چشیده اند)( ) و(خداوند) آنها را از عذاب دوزخ حفظ کند.
057_00	(این) بخششی است از (سوی) پروردگارت, این همان کامیابی بزرگ است.
058_00	پس (ای پیامبر) ما آن (= قرآن) را به زبان تو آسان کردیم, تا که آنها پند گیرند.
059_00	پس (ای پیامبر) منتظر (وعده های الهی) باش, بی گمان آنها (نیز) منتظرند.
